sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.6495268,29.87612568,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.6495268,29.87612568,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.6495268,29.87612568,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1026.379,32.64315237,29.88309701,0..30cm,12.0,6.0,20.0,72.0,57.0,86.0,16.0,8.0,24.0,1520.0,1400.0,1640.0,2.5,1.0,5.1,8.5,8.1,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1026.379,32.64315237,29.88309701,30..60cm,14.0,4.0,21.0,70.0,55.0,91.0,16.0,4.0,24.0,1560.0,1400.0,1670.0,2.1,0.5,6.4,8.7,8.1,9.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1026.379,32.64315237,29.88309701,60..100cm,13.0,3.0,19.0,71.0,59.0,92.0,16.0,4.0,26.0,1590.0,1380.0,1780.0,1.8,0.3,4.2,8.7,8.1,9.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2052.759,32.63677775,29.89006852,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2052.759,32.63677775,29.89006852,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2052.759,32.63677775,29.89006852,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3079.138,32.62904333,29.89588046,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3079.138,32.62904333,29.89588046,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3079.138,32.62904333,29.89588046,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4105.518,32.62273567,29.90279386,0..30cm,11.0,4.0,20.0,73.0,55.0,88.0,16.0,7.0,26.0,1510.0,1390.0,1660.0,2.0,1.0,3.3,8.2,7.8,8.6
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4105.518,32.62273567,29.90279386,30..60cm,11.0,3.0,20.0,75.0,55.0,92.0,14.0,4.0,26.0,1540.0,1390.0,1660.0,1.7,0.4,3.5,8.3,7.8,8.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4105.518,32.62273567,29.90279386,60..100cm,11.0,3.0,19.0,75.0,55.0,93.0,14.0,3.0,27.0,1580.0,1380.0,1730.0,1.4,0.3,3.4,8.3,7.9,8.8
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5131.897,32.61696113,29.91014445,0..30cm,11.0,4.0,20.0,73.0,55.0,88.0,16.0,7.0,26.0,1500.0,1390.0,1660.0,1.9,0.9,3.6,8.2,7.7,8.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5131.897,32.61696113,29.91014445,30..60cm,11.0,3.0,22.0,74.0,54.0,92.0,14.0,4.0,28.0,1550.0,1390.0,1670.0,1.6,0.4,3.4,8.3,7.8,8.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5131.897,32.61696113,29.91014445,60..100cm,11.0,3.0,20.0,74.0,55.0,94.0,15.0,3.0,30.0,1590.0,1380.0,1740.0,1.4,0.3,3.9,8.3,7.8,8.8
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6158.277,32.61447844,29.91855739,0..30cm,11.0,4.0,19.0,74.0,56.0,88.0,15.0,7.0,27.0,1510.0,1380.0,1650.0,1.9,0.9,3.4,8.2,7.8,8.7
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6158.277,32.61447844,29.91855739,30..60cm,12.0,4.0,22.0,74.0,55.0,92.0,14.0,4.0,26.0,1550.0,1390.0,1670.0,1.6,0.4,2.9,8.3,7.8,8.8
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6158.277,32.61447844,29.91855739,60..100cm,11.0,3.0,20.0,75.0,55.0,94.0,14.0,3.0,27.0,1600.0,1380.0,1760.0,1.3,0.0,2.7,8.3,7.9,8.8
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7184.656,32.60963637,29.92585898,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7184.656,32.60963637,29.92585898,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7184.656,32.60963637,29.92585898,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8211.036,32.60229933,29.93222592,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8211.036,32.60229933,29.93222592,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8211.036,32.60229933,29.93222592,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9237.415,32.59496205,29.93859307,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9237.415,32.59496205,29.93859307,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9237.415,32.59496205,29.93859307,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10263.795,32.58762454,29.94496041,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10263.795,32.58762454,29.94496041,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10263.795,32.58762454,29.94496041,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11290.174,32.5783859,29.94739858,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11290.174,32.5783859,29.94739858,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11290.174,32.5783859,29.94739858,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,12297.55,32.57091131,29.95279126,0..30cm,20.0,6.0,34.0,56.0,22.0,85.0,24.0,8.0,38.0,1470.0,1310.0,1620.0,3.9,1.7,8.0,8.2,7.5,9.0
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,12297.55,32.57091131,29.95279126,30..60cm,20.0,5.0,34.0,56.0,21.0,86.0,24.0,7.0,41.0,1480.0,1250.0,1680.0,2.5,1.0,5.0,8.4,7.8,9.6
