sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,47.11038242,31.89358061,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,47.11038242,31.89358061,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,47.11038242,31.89358061,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.522,47.11280666,31.88575887,0..30cm,25.0,16.0,36.0,40.0,19.0,65.0,34.0,15.0,52.0,1450.0,1290.0,1640.0,3.1,1.2,6.7,7.8,7.2,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.522,47.11280666,31.88575887,30..60cm,27.0,10.0,39.0,42.0,17.0,75.0,31.0,10.0,50.0,1330.0,1090.0,1650.0,2.7,0.6,7.3,8.2,7.6,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.522,47.11280666,31.88575887,60..100cm,27.0,10.0,39.0,41.0,18.0,71.0,31.0,10.0,48.0,1260.0,760.0,1660.0,2.4,0.3,7.6,8.4,7.8,9.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2091.044,47.12090877,31.88012441,0..30cm,20.0,7.0,31.0,51.0,32.0,72.0,29.0,13.0,41.0,1460.0,1290.0,1640.0,3.1,0.7,8.2,7.8,7.2,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2091.044,47.12090877,31.88012441,30..60cm,23.0,10.0,35.0,51.0,24.0,82.0,27.0,7.0,42.0,1340.0,1000.0,1650.0,2.0,0.3,5.9,8.2,7.6,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2091.044,47.12090877,31.88012441,60..100cm,23.0,10.0,34.0,51.0,22.0,83.0,26.0,8.0,44.0,1280.0,760.0,1700.0,1.8,0.1,5.3,8.4,7.8,9.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3136.566,47.12929399,31.87482655,0..30cm,22.0,14.0,31.0,45.0,26.0,65.0,33.0,18.0,47.0,1470.0,1300.0,1640.0,3.3,1.3,7.2,7.8,7.2,8.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3136.566,47.12929399,31.87482655,30..60cm,24.0,12.0,34.0,46.0,20.0,74.0,31.0,9.0,48.0,1350.0,970.0,1670.0,2.6,0.8,6.1,8.2,7.6,8.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3136.566,47.12929399,31.87482655,60..100cm,24.0,11.0,34.0,46.0,20.0,71.0,30.0,10.0,49.0,1290.0,760.0,1670.0,2.2,0.4,6.1,8.4,7.8,9.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3483.85,47.13210078,31.87309248,0..30cm,20.0,9.0,31.0,48.0,26.0,71.0,32.0,15.0,45.0,1470.0,1310.0,1660.0,3.1,0.7,7.0,7.8,7.1,8.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3483.85,47.13210078,31.87309248,30..60cm,23.0,11.0,35.0,47.0,18.0,77.0,30.0,10.0,49.0,1350.0,970.0,1660.0,2.2,0.5,6.5,8.2,7.6,9.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3483.85,47.13210078,31.87309248,60..100cm,23.0,11.0,38.0,48.0,18.0,79.0,29.0,10.0,50.0,1280.0,760.0,1690.0,1.9,0.1,5.4,8.4,7.8,9.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4182.088,47.13773036,31.86958995,0..30cm,21.0,11.0,31.0,48.0,26.0,69.0,31.0,15.0,45.0,1470.0,1300.0,1660.0,2.8,0.9,6.3,7.8,7.1,8.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4182.088,47.13773036,31.86958995,30..60cm,23.0,10.0,36.0,49.0,23.0,73.0,28.0,10.0,45.0,1360.0,970.0,1660.0,1.9,0.0,5.1,8.1,7.2,8.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4182.088,47.13773036,31.86958995,60..100cm,24.0,11.0,35.0,49.0,21.0,73.0,27.0,10.0,45.0,1290.0,760.0,1680.0,1.8,0.1,5.1,8.3,7.4,9.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5227.611,47.14609659,31.86427065,0..30cm,27.0,18.0,35.0,35.0,16.0,53.0,38.0,26.0,55.0,1480.0,1330.0,1640.0,3.2,1.5,5.7,7.8,7.1,8.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5227.611,47.14609659,31.86427065,30..60cm,28.0,19.0,37.0,37.0,14.0,55.0,35.0,21.0,52.0,1390.0,1090.0,1660.0,2.4,1.3,4.2,8.1,7.2,8.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5227.611,47.14609659,31.86427065,60..100cm,28.0,19.0,38.0,38.0,14.0,58.0,34.0,20.0,52.0,1320.0,760.0,1680.0,1.8,0.5,3.7,8.2,7.6,9.0
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6273.133,47.15463915,31.85916125,0..30cm,20.0,7.0,31.0,50.0,27.0,72.0,30.0,16.0,46.0,1470.0,1300.0,1650.0,2.7,0.7,5.8,7.8,7.1,8.4
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6273.133,47.15463915,31.85916125,30..60cm,22.0,5.0,33.0,51.0,25.0,82.0,28.0,8.0,47.0,1340.0,960.0,1660.0,1.9,0.0,4.4,8.2,7.6,8.9
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6273.133,47.15463915,31.85916125,60..100cm,22.0,6.0,34.0,51.0,25.0,82.0,27.0,7.0,47.0,1280.0,760.0,1660.0,1.7,0.1,4.8,8.5,7.7,9.5
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,6967.7,47.1583329,31.85447744,0..30cm,21.0,8.0,31.0,48.0,24.0,72.0,31.0,18.0,47.0,1460.0,1230.0,1640.0,3.7,1.6,7.2,7.8,7.3,8.3
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,6967.7,47.1583329,31.85447744,30..60cm,22.0,6.0,33.0,48.0,16.0,75.0,30.0,10.0,50.0,1380.0,1090.0,1690.0,2.5,1.0,6.3,8.1,7.4,8.9
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,6967.7,47.1583329,31.85447744,60..100cm,23.0,7.0,35.0,48.0,18.0,76.0,29.0,6.0,50.0,1320.0,760.0,1700.0,2.2,0.5,5.9,8.3,7.6,9.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,6967.7,47.1583329,31.85447744,0..30cm,21.0,8.0,31.0,48.0,24.0,72.0,31.0,18.0,47.0,1460.0,1230.0,1640.0,3.7,1.6,7.2,7.8,7.3,8.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,6967.7,47.1583329,31.85447744,30..60cm,22.0,6.0,33.0,48.0,16.0,75.0,30.0,10.0,50.0,1380.0,1090.0,1690.0,2.5,1.0,6.3,8.1,7.4,8.9
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,6967.7,47.1583329,31.85447744,60..100cm,23.0,7.0,35.0,48.0,18.0,76.0,29.0,6.0,50.0,1320.0,760.0,1700.0,2.2,0.5,5.9,8.3,7.6,9.0
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,7080.85,47.15829251,31.853713,0..30cm,24.0,13.0,32.0,42.0,21.0,63.0,34.0,22.0,47.0,1490.0,1350.0,1640.0,3.4,1.2,7.0,7.7,7.1,8.1
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,7080.85,47.15829251,31.853713,30..60cm,26.0,12.0,35.0,42.0,15.0,68.0,32.0,17.0,50.0,1390.0,1090.0,1650.0,2.4,0.8,5.9,8.1,7.2,8.8
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,7080.85,47.15829251,31.853713,60..100cm,25.0,11.0,35.0,43.0,18.0,69.0,32.0,12.0,50.0,1330.0,910.0,1660.0,2.2,0.4,6.0,8.3,7.4,9.0
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,7194.0,47.15910199,31.85302419,0..30cm,21.0,10.0,32.0,48.0,27.0,70.0,32.0,17.0,47.0,1470.0,1300.0,1650.0,2.9,0.8,7.0,7.8,7.2,8.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,7194.0,47.15910199,31.85302419,30..60cm,23.0,9.0,36.0,47.0,21.0,74.0,30.0,8.0,48.0,1350.0,970.0,1660.0,1.8,0.0,4.4,8.3,7.6,8.9
