sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,43.90375744,36.30821222,0..30cm,31.0,20.0,42.0,28.0,12.0,45.0,40.0,27.0,52.0,1430.0,1240.0,1630.0,4.3,2.1,7.6,7.3,6.4,7.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,43.90375744,36.30821222,30..60cm,34.0,22.0,45.0,32.0,13.0,55.0,34.0,19.0,49.0,1470.0,1230.0,1680.0,3.0,1.6,5.5,7.3,6.4,7.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,43.90375744,36.30821222,60..100cm,36.0,21.0,45.0,35.0,16.0,60.0,29.0,10.0,46.0,1470.0,1240.0,1670.0,2.3,1.0,4.4,7.2,6.4,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1048.158,43.91120102,36.31376249,0..30cm,33.0,22.0,42.0,26.0,10.0,41.0,41.0,29.0,54.0,1430.0,1270.0,1610.0,3.8,2.0,7.3,7.3,6.7,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1048.158,43.91120102,36.31376249,30..60cm,35.0,24.0,45.0,31.0,12.0,50.0,34.0,21.0,51.0,1460.0,1200.0,1660.0,3.1,1.5,5.4,7.3,6.4,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1048.158,43.91120102,36.31376249,60..100cm,37.0,24.0,50.0,34.0,15.0,54.0,29.0,11.0,43.0,1430.0,1190.0,1650.0,2.5,0.9,5.0,7.2,6.4,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2096.317,43.91803629,36.30674615,0..30cm,32.0,22.0,41.0,28.0,11.0,44.0,40.0,25.0,53.0,1430.0,1280.0,1630.0,5.0,2.6,8.8,7.4,6.7,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2096.317,43.91803629,36.30674615,30..60cm,35.0,22.0,45.0,32.0,14.0,55.0,33.0,19.0,48.0,1450.0,1200.0,1660.0,3.8,2.1,6.2,7.3,6.4,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2096.317,43.91803629,36.30674615,60..100cm,37.0,22.0,46.0,35.0,14.0,58.0,28.0,10.0,43.0,1430.0,1240.0,1650.0,2.7,1.4,4.8,7.2,6.4,7.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3144.475,43.92497715,36.29975539,0..30cm,33.0,23.0,41.0,27.0,13.0,42.0,40.0,25.0,53.0,1440.0,1260.0,1620.0,3.7,1.8,6.8,7.3,6.5,7.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3144.475,43.92497715,36.29975539,30..60cm,35.0,22.0,46.0,32.0,13.0,55.0,33.0,20.0,48.0,1460.0,1260.0,1630.0,3.0,1.4,5.1,7.3,6.4,8.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3144.475,43.92497715,36.29975539,60..100cm,37.0,22.0,47.0,35.0,14.0,60.0,28.0,13.0,43.0,1440.0,1250.0,1650.0,2.4,0.8,4.8,7.2,6.4,7.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4192.634,43.93173307,36.29264215,0..30cm,33.0,24.0,41.0,26.0,11.0,42.0,41.0,26.0,56.0,1430.0,1260.0,1620.0,4.7,2.5,7.5,7.3,6.6,7.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4192.634,43.93173307,36.29264215,30..60cm,35.0,27.0,45.0,30.0,12.0,51.0,34.0,20.0,47.0,1470.0,1290.0,1660.0,3.9,2.1,7.1,7.3,6.4,7.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4192.634,43.93173307,36.29264215,60..100cm,37.0,27.0,46.0,34.0,13.0,54.0,29.0,13.0,44.0,1470.0,1280.0,1680.0,2.9,1.8,4.9,7.2,6.4,7.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5240.792,43.93885695,36.28577384,0..30cm,25.0,13.0,36.0,41.0,18.0,60.0,34.0,18.0,49.0,1430.0,1200.0,1600.0,3.2,1.5,6.8,7.3,6.0,8.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5240.792,43.93885695,36.28577384,30..60cm,28.0,11.0,43.0,46.0,17.0,79.0,26.0,8.0,42.0,1450.0,1230.0,1660.0,2.8,1.3,5.2,7.3,6.1,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5240.792,43.93885695,36.28577384,60..100cm,29.0,12.0,44.0,50.0,22.0,81.0,21.0,0.0,38.0,1430.0,1210.0,1660.0,2.3,0.8,5.1,7.2,6.0,8.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6288.95,43.94567568,36.2787031,0..30cm,27.0,15.0,35.0,39.0,21.0,60.0,35.0,18.0,52.0,1420.0,1220.0,1600.0,3.7,1.7,7.0,7.2,6.0,8.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6288.95,43.94567568,36.2787031,30..60cm,29.0,16.0,43.0,44.0,16.0,69.0,27.0,12.0,42.0,1470.0,1290.0,1660.0,2.7,1.5,5.0,7.2,6.0,8.2
