sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,43.68333374,33.39646007,0..30cm,24.0,14.0,35.0,43.0,17.0,65.0,33.0,17.0,48.0,1470.0,1280.0,1620.0,3.1,1.3,6.2,8.3,7.5,9.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,43.68333374,33.39646007,30..60cm,25.0,11.0,38.0,41.0,13.0,69.0,34.0,16.0,47.0,1440.0,1290.0,1640.0,2.4,0.5,5.7,8.5,7.7,9.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,43.68333374,33.39646007,60..100cm,25.0,10.0,36.0,41.0,13.0,74.0,34.0,17.0,49.0,1440.0,1240.0,1660.0,1.9,0.4,4.2,8.5,7.8,9.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1014.726,43.6931157,33.39475388,0..30cm,29.0,18.0,38.0,32.0,10.0,54.0,39.0,25.0,55.0,1480.0,1340.0,1630.0,5.7,2.7,9.6,8.2,7.5,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1014.726,43.6931157,33.39475388,30..60cm,29.0,14.0,40.0,33.0,9.0,66.0,38.0,16.0,56.0,1490.0,1330.0,1680.0,3.2,1.4,6.4,8.3,7.6,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1014.726,43.6931157,33.39475388,60..100cm,29.0,14.0,40.0,33.0,9.0,67.0,38.0,18.0,54.0,1490.0,1260.0,1710.0,2.2,0.6,5.6,8.3,7.6,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2029.452,43.70128356,33.38944139,0..30cm,29.0,18.0,39.0,31.0,9.0,55.0,39.0,19.0,55.0,1470.0,1300.0,1630.0,5.8,3.2,10.3,8.2,7.4,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2029.452,43.70128356,33.38944139,30..60cm,30.0,15.0,41.0,32.0,7.0,66.0,38.0,19.0,54.0,1490.0,1330.0,1690.0,3.0,1.3,6.6,8.4,7.4,9.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2029.452,43.70128356,33.38944139,60..100cm,30.0,16.0,40.0,32.0,6.0,59.0,38.0,22.0,54.0,1490.0,1290.0,1670.0,2.1,0.6,5.9,8.3,7.4,9.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3044.179,43.71203157,33.38944139,0..30cm,26.0,15.0,35.0,39.0,16.0,64.0,35.0,20.0,48.0,1480.0,1290.0,1610.0,4.9,2.4,8.9,8.3,7.6,8.8
