asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality,product_family
HIL-SYS-001,hillah,system,whole railway,Hillah railway system,,,,,,"32.37,44.3 to 32.57,44.55",system,
HIL-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-019,line-1-019,rolling-stock,revenue,line-1 trainset 019,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-020,line-1-020,rolling-stock,revenue,line-1 trainset 020,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-021,line-1-021,rolling-stock,revenue,line-1 trainset 021,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-022,line-1-022,rolling-stock,revenue,line-1 trainset 022,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-023,line-1-023,rolling-stock,revenue,line-1 trainset 023,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-024,line-1-024,rolling-stock,revenue,line-1 trainset 024,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-025,line-1-025,rolling-stock,revenue,line-1 trainset 025,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-026,line-1-026,rolling-stock,revenue,line-1 trainset 026,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-027,line-1-027,rolling-stock,revenue,line-1 trainset 027,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-028,line-1-028,rolling-stock,revenue,line-1 trainset 028,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-029,line-1-029,rolling-stock,revenue,line-1 trainset 029,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-030,line-1-030,rolling-stock,revenue,line-1 trainset 030,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-031,line-1-031,rolling-stock,revenue,line-1 trainset 031,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-032,line-1-032,rolling-stock,revenue,line-1 trainset 032,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-033,line-1-033,rolling-stock,revenue,line-1 trainset 033,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-034,line-1-034,rolling-stock,revenue,line-1 trainset 034,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-035,line-1-035,rolling-stock,revenue,line-1 trainset 035,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-036,line-1-036,rolling-stock,revenue,line-1 trainset 036,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-037,line-1-037,rolling-stock,revenue,line-1 trainset 037,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-038,line-1-038,rolling-stock,revenue,line-1 trainset 038,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-039,line-1-039,rolling-stock,spare,line-1 trainset 039,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-040,line-1-040,rolling-stock,spare,line-1 trainset 040,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-041,line-1-041,rolling-stock,spare,line-1 trainset 041,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L1-042,line-1-042,rolling-stock,cold-reserve,line-1 trainset 042,line-1,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-001,line-2-001,rolling-stock,revenue,line-2 trainset 001,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-002,line-2-002,rolling-stock,revenue,line-2 trainset 002,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-003,line-2-003,rolling-stock,revenue,line-2 trainset 003,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-004,line-2-004,rolling-stock,revenue,line-2 trainset 004,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-005,line-2-005,rolling-stock,revenue,line-2 trainset 005,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-006,line-2-006,rolling-stock,revenue,line-2 trainset 006,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-007,line-2-007,rolling-stock,revenue,line-2 trainset 007,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-008,line-2-008,rolling-stock,revenue,line-2 trainset 008,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-009,line-2-009,rolling-stock,revenue,line-2 trainset 009,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-010,line-2-010,rolling-stock,revenue,line-2 trainset 010,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-011,line-2-011,rolling-stock,revenue,line-2 trainset 011,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-012,line-2-012,rolling-stock,revenue,line-2 trainset 012,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-013,line-2-013,rolling-stock,revenue,line-2 trainset 013,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-014,line-2-014,rolling-stock,revenue,line-2 trainset 014,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-015,line-2-015,rolling-stock,revenue,line-2 trainset 015,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-016,line-2-016,rolling-stock,revenue,line-2 trainset 016,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-017,line-2-017,rolling-stock,revenue,line-2 trainset 017,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-018,line-2-018,rolling-stock,revenue,line-2 trainset 018,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-019,line-2-019,rolling-stock,revenue,line-2 trainset 019,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-020,line-2-020,rolling-stock,revenue,line-2 trainset 020,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-021,line-2-021,rolling-stock,revenue,line-2 trainset 021,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-022,line-2-022,rolling-stock,revenue,line-2 trainset 022,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-023,line-2-023,rolling-stock,revenue,line-2 trainset 023,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-024,line-2-024,rolling-stock,revenue,line-2 trainset 024,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-025,line-2-025,rolling-stock,revenue,line-2 trainset 025,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-026,line-2-026,rolling-stock,revenue,line-2 trainset 026,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-027,line-2-027,rolling-stock,revenue,line-2 trainset 027,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-028,line-2-028,rolling-stock,revenue,line-2 trainset 028,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-029,line-2-029,rolling-stock,revenue,line-2 trainset 029,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-030,line-2-030,rolling-stock,revenue,line-2 trainset 030,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-031,line-2-031,rolling-stock,revenue,line-2 trainset 031,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-032,line-2-032,rolling-stock,revenue,line-2 trainset 032,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-033,line-2-033,rolling-stock,revenue,line-2 trainset 033,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-034,line-2-034,rolling-stock,revenue,line-2 trainset 034,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-035,line-2-035,rolling-stock,revenue,line-2 trainset 035,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-036,line-2-036,rolling-stock,revenue,line-2 trainset 036,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-037,line-2-037,rolling-stock,revenue,line-2 trainset 037,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-038,line-2-038,rolling-stock,spare,line-2 trainset 038,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-039,line-2-039,rolling-stock,spare,line-2 trainset 039,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-040,line-2-040,rolling-stock,spare,line-2 trainset 040,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L2-041,line-2-041,rolling-stock,cold-reserve,line-2 trainset 041,line-2,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-001,line-3-001,rolling-stock,revenue,line-3 trainset 001,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-002,line-3-002,rolling-stock,revenue,line-3 trainset 002,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-003,line-3-003,rolling-stock,revenue,line-3 trainset 003,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-004,line-3-004,rolling-stock,revenue,line-3 trainset 004,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-005,line-3-005,rolling-stock,revenue,line-3 trainset 005,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-006,line-3-006,rolling-stock,revenue,line-3 trainset 006,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-007,line-3-007,rolling-stock,revenue,line-3 trainset 007,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-008,line-3-008,rolling-stock,revenue,line-3 trainset 008,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-009,line-3-009,rolling-stock,revenue,line-3 trainset 009,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-010,line-3-010,rolling-stock,revenue,line-3 trainset 010,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-011,line-3-011,rolling-stock,revenue,line-3 trainset 011,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-012,line-3-012,rolling-stock,revenue,line-3 trainset 012,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-013,line-3-013,rolling-stock,revenue,line-3 trainset 013,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-014,line-3-014,rolling-stock,revenue,line-3 trainset 014,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-015,line-3-015,rolling-stock,revenue,line-3 trainset 015,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-016,line-3-016,rolling-stock,revenue,line-3 trainset 016,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-017,line-3-017,rolling-stock,revenue,line-3 trainset 017,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-018,line-3-018,rolling-stock,revenue,line-3 trainset 018,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-019,line-3-019,rolling-stock,revenue,line-3 trainset 019,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-020,line-3-020,rolling-stock,revenue,line-3 trainset 020,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-021,line-3-021,rolling-stock,revenue,line-3 trainset 021,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-022,line-3-022,rolling-stock,revenue,line-3 trainset 022,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-023,line-3-023,rolling-stock,revenue,line-3 trainset 023,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-024,line-3-024,rolling-stock,revenue,line-3 trainset 024,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-025,line-3-025,rolling-stock,revenue,line-3 trainset 025,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-026,line-3-026,rolling-stock,revenue,line-3 trainset 026,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-027,line-3-027,rolling-stock,revenue,line-3 trainset 027,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-028,line-3-028,rolling-stock,revenue,line-3 trainset 028,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-029,line-3-029,rolling-stock,revenue,line-3 trainset 029,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-030,line-3-030,rolling-stock,revenue,line-3 trainset 030,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-031,line-3-031,rolling-stock,revenue,line-3 trainset 031,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-032,line-3-032,rolling-stock,revenue,line-3 trainset 032,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-033,line-3-033,rolling-stock,revenue,line-3 trainset 033,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-034,line-3-034,rolling-stock,revenue,line-3 trainset 034,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-035,line-3-035,rolling-stock,revenue,line-3 trainset 035,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-036,line-3-036,rolling-stock,revenue,line-3 trainset 036,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-037,line-3-037,rolling-stock,revenue,line-3 trainset 037,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-038,line-3-038,rolling-stock,revenue,line-3 trainset 038,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-039,line-3-039,rolling-stock,spare,line-3 trainset 039,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
HIL-RS-L3-040,line-3-040,rolling-stock,spare,line-3 trainset 040,line-3,HIL-SYS-001,,,,fleet,service,light-metro-3car
