sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,45.77017262,32.53216463,0..30cm,21.0,8.0,30.0,47.0,29.0,66.0,32.0,19.0,44.0,1460.0,1310.0,1640.0,3.2,1.5,5.9,8.0,7.4,8.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,45.77017262,32.53216463,30..60cm,24.0,12.0,35.0,46.0,23.0,75.0,30.0,19.0,44.0,1450.0,1250.0,1670.0,2.8,0.9,5.9,8.2,7.5,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,45.77017262,32.53216463,60..100cm,24.0,9.0,36.0,46.0,25.0,75.0,30.0,14.0,44.0,1430.0,1230.0,1700.0,2.4,0.5,6.0,8.3,7.6,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,228.0,45.77184852,32.53074896,0..30cm,21.0,8.0,32.0,47.0,25.0,70.0,32.0,18.0,44.0,1460.0,1330.0,1640.0,3.8,1.9,6.7,8.0,7.2,8.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,228.0,45.77184852,32.53074896,30..60cm,23.0,7.0,35.0,48.0,25.0,75.0,29.0,13.0,42.0,1490.0,1290.0,1670.0,2.9,1.1,5.9,8.3,7.2,9.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,228.0,45.77184852,32.53074896,60..100cm,24.0,7.0,35.0,47.0,23.0,73.0,29.0,10.0,47.0,1480.0,1240.0,1700.0,2.5,0.5,8.4,8.4,7.2,10.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,456.0,45.77314165,32.52920095,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,456.0,45.77314165,32.52920095,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,456.0,45.77314165,32.52920095,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,456.0,45.77314165,32.52920095,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,456.0,45.77314165,32.52920095,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,456.0,45.77314165,32.52920095,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1480.635,45.78316008,32.52694917,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1480.635,45.78316008,32.52694917,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1480.635,45.78316008,32.52694917,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2505.271,45.79105492,32.52100363,0..30cm,,,,,,,,,,,,,,,,,,
