sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,46.35834689,30.95644639,0..30cm,18.0,5.0,30.0,53.0,34.0,76.0,28.0,15.0,39.0,1490.0,1340.0,1690.0,3.5,1.2,8.0,8.3,7.7,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,46.35834689,30.95644639,30..60cm,20.0,4.0,32.0,53.0,31.0,91.0,27.0,6.0,42.0,1450.0,1240.0,1670.0,2.6,0.7,6.5,8.5,7.7,9.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,46.35834689,30.95644639,60..100cm,20.0,4.0,31.0,53.0,28.0,91.0,28.0,6.0,44.0,1450.0,1230.0,1720.0,2.1,0.5,5.3,8.6,7.8,9.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,697.3,46.35278678,30.95857679,0..30cm,18.0,8.0,30.0,53.0,33.0,72.0,29.0,17.0,40.0,1490.0,1340.0,1690.0,4.1,1.5,9.7,8.2,7.7,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,697.3,46.35278678,30.95857679,30..60cm,21.0,5.0,33.0,52.0,28.0,87.0,27.0,10.0,43.0,1450.0,1220.0,1660.0,2.8,0.6,7.2,8.5,7.7,9.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,697.3,46.35278678,30.95857679,60..100cm,20.0,4.0,33.0,52.0,24.0,85.0,28.0,11.0,44.0,1450.0,1230.0,1730.0,2.3,0.5,5.9,8.5,7.8,9.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1041.075,46.35121675,30.96037791,0..30cm,22.0,11.0,31.0,46.0,22.0,65.0,32.0,19.0,45.0,1490.0,1370.0,1620.0,3.9,1.7,8.6,8.1,7.5,8.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1041.075,46.35121675,30.96037791,30..60cm,23.0,8.0,35.0,48.0,24.0,76.0,29.0,15.0,40.0,1490.0,1320.0,1650.0,2.5,0.6,5.9,8.2,7.8,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1041.075,46.35121675,30.96037791,60..100cm,23.0,7.0,35.0,47.0,23.0,76.0,30.0,14.0,45.0,1470.0,1240.0,1690.0,2.3,0.5,5.3,8.3,7.7,9.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1394.6,46.35121675,30.96344078,0..30cm,18.0,9.0,29.0,53.0,32.0,77.0,29.0,16.0,40.0,1490.0,1330.0,1650.0,2.6,0.6,6.0,8.2,7.8,8.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1394.6,46.35121675,30.96344078,30..60cm,21.0,3.0,34.0,51.0,21.0,91.0,28.0,9.0,43.0,1440.0,1250.0,1660.0,2.5,0.5,6.5,8.4,7.8,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1394.6,46.35121675,30.96344078,60..100cm,21.0,2.0,34.0,51.0,22.0,91.0,28.0,9.0,44.0,1430.0,1230.0,1700.0,2.5,0.7,5.9,8.4,7.8,9.6
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,1394.6,46.35121675,30.96344078,0..30cm,18.0,9.0,29.0,53.0,32.0,77.0,29.0,16.0,40.0,1490.0,1330.0,1650.0,2.6,0.6,6.0,8.2,7.8,8.8
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,1394.6,46.35121675,30.96344078,30..60cm,21.0,3.0,34.0,51.0,21.0,91.0,28.0,9.0,43.0,1440.0,1250.0,1660.0,2.5,0.5,6.5,8.4,7.8,9.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,1394.6,46.35121675,30.96344078,60..100cm,21.0,2.0,34.0,51.0,22.0,91.0,28.0,9.0,44.0,1430.0,1230.0,1700.0,2.5,0.7,5.9,8.4,7.8,9.6
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,1444.6,46.35121675,30.96387276,0..30cm,18.0,9.0,29.0,53.0,32.0,77.0,29.0,16.0,40.0,1490.0,1330.0,1650.0,2.6,0.6,6.0,8.2,7.8,8.8
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,1444.6,46.35121675,30.96387276,30..60cm,21.0,3.0,34.0,51.0,21.0,91.0,28.0,9.0,43.0,1440.0,1250.0,1660.0,2.5,0.5,6.5,8.4,7.8,9.0
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,1444.6,46.35121675,30.96387276,60..100cm,21.0,2.0,34.0,51.0,22.0,91.0,28.0,9.0,44.0,1430.0,1230.0,1700.0,2.5,0.7,5.9,8.4,7.8,9.6
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,1494.6,46.35121675,30.96430475,0..30cm,23.0,11.0,33.0,44.0,20.0,66.0,33.0,19.0,45.0,1490.0,1380.0,1610.0,4.2,1.7,7.8,8.1,7.5,8.8
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,1494.6,46.35121675,30.96430475,30..60cm,23.0,8.0,35.0,48.0,19.0,74.0,30.0,16.0,43.0,1520.0,1340.0,1710.0,2.5,0.6,5.8,8.2,7.5,8.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,1494.6,46.35121675,30.96430475,60..100cm,22.0,8.0,36.0,47.0,20.0,76.0,31.0,15.0,45.0,1520.0,1290.0,1710.0,2.2,0.5,5.2,8.2,7.6,9.0
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,1494.6,46.35121675,30.96430475,0..30cm,23.0,11.0,33.0,44.0,20.0,66.0,33.0,19.0,45.0,1490.0,1380.0,1610.0,4.2,1.7,7.8,8.1,7.5,8.8
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,1494.6,46.35121675,30.96430475,30..60cm,23.0,8.0,35.0,48.0,19.0,74.0,30.0,16.0,43.0,1520.0,1340.0,1710.0,2.5,0.6,5.8,8.2,7.5,8.9
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,1494.6,46.35121675,30.96430475,60..100cm,22.0,8.0,36.0,47.0,20.0,76.0,31.0,15.0,45.0,1520.0,1290.0,1710.0,2.2,0.5,5.2,8.2,7.6,9.0
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,2536.285,46.3437075,30.96899213,0..30cm,18.0,7.0,27.0,55.0,34.0,79.0,26.0,15.0,41.0,1460.0,1290.0,1640.0,3.2,1.1,8.1,8.2,7.7,8.8
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,2536.285,46.3437075,30.96899213,30..60cm,21.0,4.0,34.0,53.0,28.0,90.0,26.0,5.0,40.0,1450.0,1250.0,1670.0,2.4,0.3,7.9,8.4,7.7,9.0
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,2536.285,46.3437075,30.96899213,60..100cm,21.0,4.0,34.0,53.0,27.0,88.0,27.0,5.0,44.0,1440.0,1230.0,1750.0,2.1,0.6,5.5,8.4,7.8,9.6
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,2595.4,46.34350165,30.9694702,0..30cm,22.0,11.0,34.0,47.0,22.0,66.0,30.0,18.0,44.0,1460.0,1300.0,1620.0,4.4,1.7,9.7,8.0,7.1,8.6
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,2595.4,46.34350165,30.9694702,30..60cm,23.0,11.0,35.0,50.0,23.0,75.0,28.0,13.0,42.0,1510.0,1310.0,1680.0,2.7,0.6,6.1,8.1,7.4,8.9
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,2595.4,46.34350165,30.9694702,60..100cm,22.0,10.0,34.0,49.0,23.0,75.0,29.0,13.0,43.0,1530.0,1240.0,1720.0,2.6,0.9,5.9,8.0,7.4,9.0
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,3577.97,46.34050865,30.97742904,0..30cm,22.0,12.0,33.0,48.0,28.0,68.0,30.0,18.0,41.0,1490.0,1330.0,1660.0,3.5,1.4,7.5,8.2,7.8,8.8
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,3577.97,46.34050865,30.97742904,30..60cm,24.0,11.0,36.0,47.0,22.0,74.0,29.0,15.0,43.0,1460.0,1250.0,1670.0,2.8,1.0,6.4,8.3,7.8,8.9
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,3577.97,46.34050865,30.97742904,60..100cm,24.0,10.0,35.0,47.0,23.0,74.0,30.0,15.0,45.0,1450.0,1240.0,1720.0,2.4,0.9,5.7,8.3,7.8,9.1
segment:line-1-civil-003:0004,civil_segment,line-1-civil-003,line-1,at-grade,3696.2,46.33956126,30.97796658,0..30cm,21.0,10.0,32.0,51.0,32.0,71.0,29.0,16.0,40.0,1480.0,1320.0,1650.0,3.0,0.8,7.3,8.2,7.8,8.9
segment:line-1-civil-003:0004,civil_segment,line-1-civil-003,line-1,at-grade,3696.2,46.33956126,30.97796658,30..60cm,23.0,8.0,38.0,49.0,17.0,77.0,28.0,12.0,44.0,1450.0,1250.0,1660.0,2.9,1.0,6.7,8.4,7.7,9.0
segment:line-1-civil-003:0004,civil_segment,line-1-civil-003,line-1,at-grade,3696.2,46.33956126,30.97796658,60..100cm,23.0,6.0,36.0,49.0,20.0,77.0,29.0,13.0,44.0,1440.0,1230.0,1700.0,2.9,1.0,6.2,8.4,7.8,9.6
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,3696.2,46.33956126,30.97796658,0..30cm,21.0,10.0,32.0,51.0,32.0,71.0,29.0,16.0,40.0,1480.0,1320.0,1650.0,3.0,0.8,7.3,8.2,7.8,8.9
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,3696.2,46.33956126,30.97796658,30..60cm,23.0,8.0,38.0,49.0,17.0,77.0,28.0,12.0,44.0,1450.0,1250.0,1660.0,2.9,1.0,6.7,8.4,7.7,9.0
