sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,45.29744511,31.37345499,0..30cm,24.0,11.0,36.0,41.0,16.0,63.0,35.0,21.0,47.0,1510.0,1360.0,1640.0,3.3,1.4,7.2,8.3,7.7,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,45.29744511,31.37345499,30..60cm,26.0,13.0,39.0,41.0,16.0,70.0,33.0,16.0,45.0,1470.0,1290.0,1690.0,2.7,0.5,8.3,8.5,7.9,9.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,45.29744511,31.37345499,60..100cm,26.0,15.0,38.0,40.0,15.0,63.0,34.0,19.0,47.0,1470.0,1240.0,1700.0,2.2,0.5,5.9,8.5,7.8,9.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1024.541,45.29012471,31.36701013,0..30cm,23.0,11.0,34.0,42.0,15.0,65.0,34.0,20.0,45.0,1510.0,1340.0,1650.0,3.0,0.9,6.6,8.3,7.7,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1024.541,45.29012471,31.36701013,30..60cm,24.0,11.0,40.0,45.0,14.0,73.0,31.0,16.0,45.0,1490.0,1270.0,1720.0,2.5,0.3,6.4,8.4,7.8,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1024.541,45.29012471,31.36701013,60..100cm,24.0,11.0,39.0,44.0,13.0,73.0,32.0,16.0,46.0,1480.0,1240.0,1700.0,2.3,0.5,5.0,8.5,7.8,9.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2049.082,45.28714106,31.35913883,0..30cm,20.0,12.0,29.0,49.0,33.0,68.0,31.0,19.0,44.0,1510.0,1330.0,1690.0,2.9,0.8,8.2,8.4,7.9,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2049.082,45.28714106,31.35913883,30..60cm,23.0,10.0,36.0,46.0,15.0,74.0,31.0,16.0,47.0,1490.0,1270.0,1730.0,2.4,0.5,6.5,8.6,7.8,9.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2049.082,45.28714106,31.35913883,60..100cm,23.0,8.0,36.0,46.0,17.0,75.0,31.0,14.0,49.0,1480.0,1240.0,1730.0,1.9,0.3,5.3,8.6,7.8,9.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3073.623,45.28840278,31.35037595,0..30cm,19.0,8.0,28.0,52.0,34.0,69.0,30.0,18.0,41.0,1510.0,1370.0,1690.0,3.0,0.8,8.2,8.4,7.9,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3073.623,45.28840278,31.35037595,30..60cm,21.0,7.0,33.0,51.0,29.0,75.0,28.0,8.0,45.0,1490.0,1270.0,1710.0,2.4,0.5,7.2,8.6,7.9,9.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3073.623,45.28840278,31.35037595,60..100cm,20.0,7.0,30.0,51.0,29.0,75.0,29.0,10.0,46.0,1490.0,1260.0,1710.0,2.1,0.3,5.9,8.6,7.9,9.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3557.35,45.28895757,31.34623034,0..30cm,22.0,9.0,35.0,44.0,20.0,67.0,34.0,21.0,47.0,1520.0,1380.0,1650.0,3.7,1.4,8.2,8.4,7.9,9.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3557.35,45.28895757,31.34623034,30..60cm,24.0,9.0,37.0,45.0,20.0,76.0,31.0,14.0,46.0,1490.0,1280.0,1710.0,2.7,0.3,7.5,8.5,7.8,9.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3557.35,45.28895757,31.34623034,60..100cm,23.0,7.0,37.0,45.0,17.0,82.0,32.0,12.0,49.0,1510.0,1260.0,1750.0,2.3,0.4,5.9,8.5,7.8,9.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4098.164,45.2896645,31.34161309,0..30cm,20.0,8.0,30.0,48.0,27.0,70.0,32.0,18.0,46.0,1510.0,1370.0,1650.0,3.2,0.9,6.8,8.4,7.9,9.0
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4098.164,45.2896645,31.34161309,30..60cm,22.0,7.0,33.0,48.0,17.0,79.0,30.0,13.0,47.0,1460.0,1270.0,1670.0,2.6,0.5,7.3,8.6,7.9,9.5
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4098.164,45.2896645,31.34161309,60..100cm,21.0,9.0,33.0,48.0,19.0,79.0,31.0,12.0,51.0,1490.0,1240.0,1710.0,2.2,0.4,6.2,8.6,7.9,9.8
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5122.705,45.28767385,31.33490027,0..30cm,19.0,7.0,28.0,51.0,32.0,71.0,30.0,18.0,44.0,1500.0,1370.0,1650.0,3.1,0.7,9.6,8.4,7.9,8.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5122.705,45.28767385,31.33490027,30..60cm,20.0,5.0,34.0,52.0,26.0,88.0,28.0,11.0,42.0,1460.0,1250.0,1650.0,2.4,0.5,7.2,8.5,7.9,9.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5122.705,45.28767385,31.33490027,60..100cm,20.0,4.0,34.0,52.0,26.0,81.0,28.0,11.0,42.0,1480.0,1240.0,1720.0,1.9,0.2,6.0,8.6,7.8,9.8
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6147.246,45.28129183,31.33274944,0..30cm,24.0,14.0,31.0,42.0,27.0,65.0,34.0,21.0,49.0,1500.0,1370.0,1650.0,3.2,1.2,7.7,8.5,7.8,9.2
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6147.246,45.28129183,31.33274944,30..60cm,25.0,14.0,35.0,42.0,18.0,66.0,32.0,19.0,45.0,1450.0,1270.0,1670.0,2.4,0.5,6.5,8.7,7.9,9.8
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6147.246,45.28129183,31.33274944,60..100cm,24.0,12.0,35.0,43.0,20.0,64.0,33.0,20.0,46.0,1460.0,1240.0,1670.0,1.9,0.2,5.4,8.7,8.0,10.2
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7114.7,45.28051779,31.32589926,0..30cm,20.0,10.0,28.0,51.0,34.0,68.0,29.0,17.0,42.0,1520.0,1370.0,1670.0,3.1,0.6,8.2,8.4,7.8,9.0
