sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.82018366,31.87045315,0..30cm,25.0,11.0,38.0,45.0,17.0,73.0,30.0,16.0,43.0,1420.0,1240.0,1580.0,3.7,2.0,7.6,7.6,7.2,8.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.82018366,31.87045315,30..60cm,27.0,11.0,38.0,43.0,12.0,74.0,30.0,12.0,47.0,1480.0,1290.0,1720.0,3.2,1.2,6.1,7.6,6.9,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.82018366,31.87045315,60..100cm,28.0,11.0,38.0,43.0,12.0,74.0,29.0,10.0,47.0,1480.0,1250.0,1730.0,2.3,0.6,4.8,7.7,6.8,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1057.162,35.82829334,31.87337196,0..30cm,28.0,15.0,40.0,39.0,12.0,66.0,33.0,16.0,50.0,1370.0,1160.0,1520.0,8.7,4.0,15.9,7.7,7.3,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1057.162,35.82829334,31.87337196,30..60cm,29.0,14.0,40.0,38.0,12.0,67.0,33.0,17.0,48.0,1510.0,1360.0,1690.0,5.0,1.8,12.0,7.5,6.9,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1057.162,35.82829334,31.87337196,60..100cm,30.0,14.0,42.0,38.0,12.0,68.0,32.0,16.0,47.0,1550.0,1360.0,1760.0,3.4,1.7,6.5,7.5,6.7,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2114.324,35.83324062,31.88092144,0..30cm,27.0,14.0,38.0,41.0,14.0,65.0,33.0,16.0,50.0,1380.0,1200.0,1570.0,10.1,4.9,21.1,7.6,7.1,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2114.324,35.83324062,31.88092144,30..60cm,28.0,15.0,40.0,41.0,16.0,67.0,32.0,16.0,47.0,1510.0,1380.0,1690.0,4.2,2.1,7.3,7.6,6.9,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2114.324,35.83324062,31.88092144,60..100cm,28.0,14.0,42.0,41.0,15.0,68.0,31.0,15.0,44.0,1560.0,1400.0,1740.0,2.9,1.2,5.0,7.7,6.8,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3171.487,35.84220108,31.88466882,0..30cm,28.0,15.0,38.0,38.0,14.0,65.0,34.0,18.0,50.0,1370.0,1200.0,1530.0,8.6,3.7,18.5,7.7,7.3,8.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3171.487,35.84220108,31.88466882,30..60cm,30.0,15.0,41.0,36.0,11.0,61.0,34.0,22.0,49.0,1520.0,1360.0,1700.0,4.9,2.4,9.4,7.6,7.0,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3171.487,35.84220108,31.88466882,60..100cm,31.0,15.0,44.0,35.0,11.0,59.0,34.0,19.0,49.0,1550.0,1390.0,1760.0,3.2,1.4,5.9,7.6,6.7,8.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4228.649,35.84950819,31.89097151,0..30cm,28.0,17.0,38.0,35.0,12.0,61.0,36.0,22.0,50.0,1410.0,1300.0,1540.0,4.0,1.6,8.6,7.8,7.4,8.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4228.649,35.84950819,31.89097151,30..60cm,30.0,17.0,40.0,34.0,10.0,54.0,36.0,23.0,50.0,1520.0,1360.0,1710.0,3.6,1.4,7.7,7.7,7.0,8.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4228.649,35.84950819,31.89097151,60..100cm,32.0,18.0,44.0,33.0,9.0,55.0,35.0,21.0,49.0,1520.0,1370.0,1710.0,2.7,0.8,5.5,7.7,6.8,8.7
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5285.811,35.85684951,31.89705146,0..30cm,29.0,19.0,38.0,35.0,11.0,56.0,36.0,24.0,49.0,1420.0,1280.0,1560.0,7.0,3.3,12.4,7.8,7.4,8.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5285.811,35.85684951,31.89705146,30..60cm,30.0,20.0,40.0,36.0,11.0,56.0,34.0,22.0,48.0,1500.0,1340.0,1640.0,4.7,2.0,8.4,7.6,7.0,8.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5285.811,35.85684951,31.89705146,60..100cm,31.0,20.0,43.0,35.0,9.0,56.0,34.0,19.0,47.0,1500.0,1380.0,1670.0,3.5,1.5,7.1,7.7,6.7,8.6
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6342.973,35.8668285,31.8990208,0..30cm,27.0,15.0,38.0,38.0,13.0,58.0,35.0,21.0,50.0,1430.0,1280.0,1580.0,4.0,2.0,7.9,7.8,7.3,8.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6342.973,35.8668285,31.8990208,30..60cm,27.0,11.0,40.0,41.0,12.0,71.0,32.0,16.0,48.0,1490.0,1340.0,1610.0,3.5,1.3,7.0,7.8,7.0,8.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6342.973,35.8668285,31.8990208,60..100cm,27.0,9.0,40.0,42.0,13.0,72.0,31.0,13.0,46.0,1490.0,1340.0,1620.0,2.8,0.9,6.3,7.8,6.9,9.0
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7400.135,35.87634653,31.90278186,0..30cm,27.0,17.0,37.0,37.0,13.0,61.0,36.0,20.0,50.0,1410.0,1240.0,1560.0,5.4,2.9,10.1,7.7,7.4,8.1
