sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.08878779,31.44282551,0..30cm,28.0,15.0,41.0,40.0,15.0,66.0,32.0,18.0,44.0,1390.0,1220.0,1570.0,4.2,2.1,9.0,7.9,7.3,8.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.08878779,31.44282551,30..60cm,29.0,16.0,42.0,39.0,12.0,69.0,31.0,16.0,45.0,1460.0,1310.0,1650.0,4.0,1.9,7.8,7.9,7.0,8.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,35.08878779,31.44282551,60..100cm,30.0,15.0,42.0,39.0,10.0,71.0,31.0,14.0,45.0,1460.0,1290.0,1640.0,2.7,1.1,4.9,8.0,6.9,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1028.508,35.08994569,31.44867563,0..30cm,27.0,14.0,40.0,41.0,15.0,71.0,32.0,14.0,48.0,1420.0,1250.0,1590.0,4.0,2.1,7.3,7.8,7.2,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1028.508,35.08994569,31.44867563,30..60cm,28.0,12.0,41.0,41.0,13.0,75.0,31.0,14.0,47.0,1480.0,1310.0,1660.0,3.4,1.4,6.5,7.8,7.1,8.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1028.508,35.08994569,31.44867563,60..100cm,28.0,12.0,42.0,41.0,14.0,75.0,31.0,11.0,47.0,1490.0,1320.0,1690.0,2.4,0.6,5.0,8.0,6.9,8.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2057.017,35.09279274,31.4558237,0..30cm,26.0,13.0,39.0,43.0,18.0,70.0,31.0,16.0,44.0,1420.0,1270.0,1610.0,9.9,4.9,18.8,7.7,7.3,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2057.017,35.09279274,31.4558237,30..60cm,26.0,11.0,40.0,46.0,19.0,75.0,28.0,17.0,43.0,1500.0,1330.0,1650.0,4.4,2.0,8.1,7.7,7.0,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2057.017,35.09279274,31.4558237,60..100cm,26.0,14.0,40.0,46.0,20.0,76.0,28.0,16.0,43.0,1520.0,1310.0,1660.0,2.9,1.2,5.4,7.8,6.9,8.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3085.525,35.09279274,31.46484267,0..30cm,25.0,14.0,37.0,45.0,26.0,66.0,30.0,16.0,40.0,1420.0,1240.0,1600.0,8.4,4.9,15.7,7.6,7.2,8.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3085.525,35.09279274,31.46484267,30..60cm,25.0,11.0,37.0,48.0,26.0,74.0,27.0,15.0,39.0,1500.0,1310.0,1650.0,4.2,2.5,7.6,7.6,7.1,8.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3085.525,35.09279274,31.46484267,60..100cm,24.0,13.0,36.0,50.0,28.0,72.0,26.0,15.0,37.0,1510.0,1310.0,1690.0,2.7,1.0,5.2,7.7,6.9,8.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4114.034,35.09279274,31.47386163,0..30cm,27.0,14.0,38.0,42.0,20.0,70.0,31.0,15.0,44.0,1410.0,1250.0,1610.0,9.7,4.9,18.3,7.7,7.3,8.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4114.034,35.09279274,31.47386163,30..60cm,27.0,13.0,40.0,45.0,21.0,75.0,29.0,13.0,39.0,1510.0,1330.0,1690.0,4.5,2.5,8.0,7.7,7.0,8.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4114.034,35.09279274,31.47386163,60..100cm,26.0,14.0,38.0,46.0,22.0,74.0,28.0,14.0,44.0,1530.0,1330.0,1720.0,3.1,1.5,5.7,7.8,6.9,8.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5142.542,35.09279274,31.48288057,0..30cm,27.0,16.0,38.0,41.0,20.0,60.0,32.0,20.0,44.0,1430.0,1260.0,1610.0,6.5,3.4,11.2,7.6,7.2,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5142.542,35.09279274,31.48288057,30..60cm,27.0,14.0,39.0,43.0,20.0,72.0,30.0,16.0,43.0,1500.0,1310.0,1700.0,4.8,2.8,7.3,7.6,6.9,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5142.542,35.09279274,31.48288057,60..100cm,27.0,15.0,38.0,45.0,21.0,72.0,29.0,16.0,41.0,1520.0,1310.0,1690.0,3.0,1.4,5.3,7.7,6.9,8.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6171.05,35.09279274,31.4918995,0..30cm,27.0,15.0,38.0,40.0,20.0,58.0,32.0,21.0,43.0,1420.0,1260.0,1610.0,9.4,4.7,17.9,7.7,7.2,8.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6171.05,35.09279274,31.4918995,30..60cm,27.0,14.0,39.0,43.0,20.0,70.0,30.0,16.0,44.0,1500.0,1330.0,1700.0,4.6,2.6,7.9,7.6,7.0,8.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6171.05,35.09279274,31.4918995,60..100cm,27.0,13.0,38.0,44.0,20.0,70.0,29.0,17.0,44.0,1520.0,1340.0,1700.0,3.0,1.2,6.1,7.7,6.8,8.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7199.559,35.09532217,31.49942724,0..30cm,27.0,14.0,38.0,40.0,16.0,67.0,33.0,19.0,43.0,1430.0,1280.0,1570.0,8.9,4.3,16.5,7.7,7.2,8.1
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7199.559,35.09532217,31.49942724,30..60cm,28.0,13.0,40.0,42.0,19.0,73.0,30.0,15.0,43.0,1500.0,1310.0,1660.0,5.0,2.7,9.4,7.6,6.9,8.2
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7199.559,35.09532217,31.49942724,60..100cm,28.0,13.0,42.0,43.0,20.0,72.0,30.0,17.0,43.0,1520.0,1310.0,1720.0,3.0,1.3,7.7,7.7,6.8,8.4
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8228.067,35.08913977,31.50497325,0..30cm,28.0,15.0,40.0,40.0,15.0,63.0,32.0,17.0,48.0,1410.0,1280.0,1550.0,9.6,4.2,18.7,7.7,7.3,8.1
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8228.067,35.08913977,31.50497325,30..60cm,29.0,15.0,44.0,40.0,14.0,70.0,31.0,18.0,48.0,1510.0,1310.0,1650.0,4.6,2.1,8.2,7.7,7.0,8.2
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8228.067,35.08913977,31.50497325,60..100cm,29.0,15.0,44.0,40.0,13.0,70.0,31.0,18.0,48.0,1530.0,1350.0,1640.0,3.2,1.7,5.9,7.8,6.9,8.5
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9256.576,35.09131723,31.51335378,0..30cm,27.0,16.0,38.0,40.0,17.0,62.0,33.0,18.0,48.0,1400.0,1270.0,1550.0,4.5,2.0,9.5,7.7,7.3,8.1
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9256.576,35.09131723,31.51335378,30..60cm,27.0,15.0,38.0,40.0,15.0,66.0,33.0,18.0,48.0,1530.0,1370.0,1710.0,3.9,1.5,8.0,7.7,7.3,8.2
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9256.576,35.09131723,31.51335378,60..100cm,28.0,13.0,39.0,40.0,14.0,67.0,33.0,20.0,48.0,1540.0,1390.0,1750.0,2.6,0.8,5.5,7.7,6.9,8.4
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9749.15,35.08853863,31.5161045,0..30cm,26.0,13.0,37.0,42.0,16.0,68.0,32.0,17.0,48.0,1420.0,1290.0,1590.0,4.6,2.2,9.7,7.7,7.4,8.1
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9749.15,35.08853863,31.5161045,30..60cm,27.0,13.0,43.0,42.0,14.0,73.0,31.0,13.0,46.0,1510.0,1360.0,1660.0,3.9,1.5,7.9,7.7,7.3,8.2
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9749.15,35.08853863,31.5161045,60..100cm,27.0,11.0,41.0,42.0,14.0,73.0,31.0,13.0,47.0,1520.0,1380.0,1690.0,2.5,0.8,5.8,7.7,6.8,8.4
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10285.084,35.08770865,31.51962801,0..30cm,28.0,15.0,38.0,39.0,17.0,63.0,33.0,19.0,49.0,1400.0,1250.0,1550.0,6.0,2.5,12.0,7.7,7.4,8.1
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10285.084,35.08770865,31.51962801,30..60cm,28.0,15.0,40.0,39.0,14.0,63.0,32.0,18.0,47.0,1510.0,1340.0,1750.0,4.4,2.4,8.3,7.7,7.2,8.2
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10285.084,35.08770865,31.51962801,60..100cm,29.0,11.0,41.0,39.0,14.0,70.0,32.0,19.0,49.0,1530.0,1360.0,1750.0,3.1,1.3,6.2,7.7,6.8,8.4
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11313.593,35.09152802,31.5272622,0..30cm,27.0,15.0,38.0,38.0,14.0,62.0,35.0,21.0,49.0,1410.0,1280.0,1550.0,9.2,3.9,21.6,7.8,7.4,8.2
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11313.593,35.09152802,31.5272622,30..60cm,28.0,15.0,38.0,39.0,14.0,63.0,33.0,19.0,48.0,1520.0,1340.0,1680.0,4.0,2.0,8.2,7.8,7.4,8.5
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11313.593,35.09152802,31.5272622,60..100cm,29.0,15.0,40.0,39.0,12.0,66.0,33.0,19.0,49.0,1520.0,1320.0,1710.0,3.2,1.4,5.9,7.8,6.9,8.5
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12342.101,35.09846862,31.53145937,0..30cm,27.0,18.0,38.0,38.0,18.0,57.0,35.0,21.0,47.0,1410.0,1260.0,1530.0,8.9,3.6,19.4,7.8,7.5,8.2
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12342.101,35.09846862,31.53145937,30..60cm,28.0,18.0,38.0,39.0,15.0,60.0,33.0,19.0,47.0,1510.0,1310.0,1710.0,5.2,2.3,9.2,7.8,7.5,8.3
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12342.101,35.09846862,31.53145937,60..100cm,28.0,17.0,39.0,39.0,13.0,66.0,33.0,19.0,48.0,1520.0,1350.0,1720.0,3.5,1.2,7.5,7.8,6.9,8.5
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13370.609,35.09911633,31.53958749,0..30cm,26.0,16.0,36.0,39.0,15.0,59.0,34.0,22.0,47.0,1400.0,1250.0,1530.0,7.7,2.4,17.8,7.8,7.4,8.1
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13370.609,35.09911633,31.53958749,30..60cm,27.0,16.0,37.0,40.0,12.0,60.0,33.0,19.0,49.0,1500.0,1320.0,1720.0,4.7,2.0,10.7,7.7,7.2,8.2
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13370.609,35.09911633,31.53958749,60..100cm,28.0,15.0,39.0,39.0,11.0,60.0,33.0,19.0,49.0,1530.0,1360.0,1750.0,3.5,1.2,7.5,7.7,6.9,8.4
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14399.118,35.09764082,31.54830723,0..30cm,26.0,17.0,38.0,39.0,15.0,60.0,35.0,21.0,49.0,1410.0,1240.0,1560.0,4.5,2.0,8.9,7.7,7.3,8.1
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14399.118,35.09764082,31.54830723,30..60cm,28.0,16.0,39.0,38.0,13.0,62.0,33.0,15.0,49.0,1510.0,1360.0,1700.0,3.6,1.4,7.4,7.7,7.3,8.2
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14399.118,35.09764082,31.54830723,60..100cm,29.0,16.0,39.0,38.0,12.0,66.0,33.0,14.0,47.0,1520.0,1360.0,1730.0,2.3,0.6,4.5,7.7,6.9,8.4
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,15427.626,35.10038104,31.55642763,0..30cm,26.0,17.0,36.0,41.0,15.0,60.0,33.0,19.0,47.0,1390.0,1220.0,1560.0,4.3,2.0,8.3,7.7,7.3,8.2
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,15427.626,35.10038104,31.55642763,30..60cm,27.0,16.0,37.0,41.0,13.0,62.0,32.0,19.0,47.0,1510.0,1310.0,1690.0,3.8,1.7,9.1,7.7,7.1,8.2
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,15427.626,35.10038104,31.55642763,60..100cm,28.0,15.0,38.0,41.0,12.0,66.0,32.0,16.0,47.0,1520.0,1340.0,1700.0,2.6,0.7,5.9,7.7,6.9,8.3
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,16456.135,35.09995947,31.56519015,0..30cm,26.0,18.0,34.0,41.0,24.0,63.0,33.0,19.0,46.0,1380.0,1250.0,1600.0,10.9,6.0,21.6,7.7,7.3,8.1
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,16456.135,35.09995947,31.56519015,30..60cm,27.0,18.0,35.0,41.0,20.0,62.0,32.0,19.0,45.0,1480.0,1290.0,1680.0,4.7,2.4,8.2,7.7,7.0,8.3
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,16456.135,35.09995947,31.56519015,60..100cm,28.0,17.0,36.0,41.0,19.0,67.0,31.0,16.0,46.0,1500.0,1270.0,1700.0,3.3,1.7,6.2,7.6,6.8,8.2
segment:line-1-civil-001:0018,civil_segment,line-1-civil-001,line-1,at-grade,17484.643,35.09848397,31.57391001,0..30cm,27.0,15.0,37.0,39.0,17.0,57.0,34.0,21.0,46.0,1400.0,1260.0,1530.0,8.6,2.8,19.5,7.7,7.3,8.1
segment:line-1-civil-001:0018,civil_segment,line-1-civil-001,line-1,at-grade,17484.643,35.09848397,31.57391001,30..60cm,28.0,15.0,37.0,39.0,15.0,59.0,33.0,19.0,48.0,1500.0,1350.0,1650.0,5.1,2.3,10.3,7.7,6.9,8.2
segment:line-1-civil-001:0018,civil_segment,line-1-civil-001,line-1,at-grade,17484.643,35.09848397,31.57391001,60..100cm,29.0,14.0,39.0,39.0,15.0,62.0,32.0,16.0,49.0,1510.0,1350.0,1670.0,3.5,1.7,7.5,7.7,6.8,8.2
segment:line-1-civil-001:0019,civil_segment,line-1-civil-001,line-1,at-grade,18513.151,35.09609971,31.58145547,0..30cm,26.0,15.0,37.0,40.0,14.0,62.0,34.0,21.0,46.0,1380.0,1240.0,1500.0,9.8,4.5,21.6,7.7,7.3,8.1
segment:line-1-civil-001:0019,civil_segment,line-1-civil-001,line-1,at-grade,18513.151,35.09609971,31.58145547,30..60cm,28.0,15.0,38.0,39.0,14.0,61.0,33.0,20.0,46.0,1480.0,1310.0,1650.0,4.7,2.3,7.9,7.7,6.9,8.3
segment:line-1-civil-001:0019,civil_segment,line-1-civil-001,line-1,at-grade,18513.151,35.09609971,31.58145547,60..100cm,28.0,15.0,40.0,39.0,14.0,64.0,32.0,19.0,46.0,1500.0,1290.0,1670.0,3.4,1.4,7.4,7.7,6.8,8.4
segment:line-1-civil-001:0020,civil_segment,line-1-civil-001,line-1,at-grade,19498.3,35.08963094,31.58625854,0..30cm,27.0,17.0,34.0,39.0,18.0,57.0,34.0,21.0,46.0,1410.0,1270.0,1550.0,8.5,3.8,17.1,7.7,7.2,8.1
segment:line-1-civil-001:0020,civil_segment,line-1-civil-001,line-1,at-grade,19498.3,35.08963094,31.58625854,30..60cm,27.0,17.0,35.0,41.0,19.0,56.0,32.0,23.0,47.0,1490.0,1320.0,1640.0,4.9,2.2,9.4,7.6,6.8,8.2
segment:line-1-civil-001:0020,civil_segment,line-1-civil-001,line-1,at-grade,19498.3,35.08963094,31.58625854,60..100cm,28.0,17.0,38.0,40.0,20.0,55.0,32.0,19.0,44.0,1500.0,1320.0,1670.0,3.2,1.3,7.1,7.6,6.8,8.2
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,35.02639503,31.50653353,0..30cm,27.0,14.0,39.0,40.0,16.0,61.0,33.0,20.0,47.0,1410.0,1250.0,1610.0,5.7,2.8,11.5,7.6,7.2,8.1
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,35.02639503,31.50653353,30..60cm,28.0,14.0,40.0,40.0,15.0,67.0,32.0,14.0,48.0,1500.0,1310.0,1700.0,4.3,1.8,8.2,7.6,6.9,8.2
segment:line-2-civil-002:0000,civil_segment,line-2-civil-002,line-2,at-grade,0.0,35.02639503,31.50653353,60..100cm,29.0,15.0,40.0,39.0,14.0,67.0,32.0,16.0,50.0,1520.0,1360.0,1740.0,2.8,1.1,5.0,7.6,6.7,8.4
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1000.557,35.03518596,31.50581367,0..30cm,27.0,12.0,38.0,42.0,17.0,67.0,32.0,18.0,46.0,1410.0,1250.0,1580.0,8.4,3.3,16.6,7.7,7.2,8.1
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1000.557,35.03518596,31.50581367,30..60cm,27.0,10.0,39.0,42.0,15.0,71.0,31.0,13.0,47.0,1500.0,1310.0,1700.0,5.1,2.8,9.6,7.6,7.0,8.2
segment:line-2-civil-002:0001,civil_segment,line-2-civil-002,line-2,at-grade,1000.557,35.03518596,31.50581367,60..100cm,28.0,10.0,41.0,41.0,15.0,71.0,31.0,15.0,50.0,1520.0,1350.0,1690.0,3.5,1.4,7.5,7.7,6.8,8.4
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2001.113,35.04360231,31.50592772,0..30cm,27.0,13.0,40.0,40.0,16.0,66.0,33.0,19.0,46.0,1420.0,1250.0,1570.0,9.0,3.9,16.8,7.7,7.2,8.1
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2001.113,35.04360231,31.50592772,30..60cm,28.0,9.0,42.0,40.0,14.0,70.0,32.0,13.0,47.0,1500.0,1310.0,1700.0,5.0,2.6,9.5,7.6,6.9,8.2
segment:line-2-civil-002:0002,civil_segment,line-2-civil-002,line-2,at-grade,2001.113,35.04360231,31.50592772,60..100cm,29.0,10.0,43.0,39.0,13.0,71.0,32.0,16.0,47.0,1510.0,1310.0,1640.0,3.3,1.3,6.6,7.7,6.7,8.4
segment:line-2-civil-002:0003,civil_segment,line-2-civil-002,line-2,at-grade,3001.67,35.053272,31.50590511,0..30cm,25.0,12.0,38.0,44.0,21.0,62.0,31.0,18.0,41.0,1410.0,1280.0,1560.0,9.8,4.5,20.7,7.7,7.3,8.2
segment:line-2-civil-002:0003,civil_segment,line-2-civil-002,line-2,at-grade,3001.67,35.053272,31.50590511,30..60cm,25.0,7.0,37.0,46.0,19.0,77.0,29.0,13.0,42.0,1500.0,1340.0,1650.0,4.4,2.2,7.8,7.7,7.0,8.2
segment:line-2-civil-002:0003,civil_segment,line-2-civil-002,line-2,at-grade,3001.67,35.053272,31.50590511,60..100cm,25.0,8.0,38.0,46.0,21.0,75.0,29.0,12.0,45.0,1520.0,1350.0,1740.0,3.0,1.2,5.6,7.7,6.8,8.5
segment:line-2-civil-002:0004,civil_segment,line-2-civil-002,line-2,at-grade,4002.226,35.05933995,31.51013285,0..30cm,25.0,13.0,36.0,45.0,26.0,62.0,30.0,18.0,40.0,1400.0,1250.0,1540.0,9.8,4.1,24.2,7.7,7.3,8.2
segment:line-2-civil-002:0004,civil_segment,line-2-civil-002,line-2,at-grade,4002.226,35.05933995,31.51013285,30..60cm,25.0,10.0,37.0,46.0,23.0,75.0,29.0,15.0,43.0,1520.0,1370.0,1690.0,4.7,2.3,8.6,7.8,7.0,8.5
segment:line-2-civil-002:0004,civil_segment,line-2-civil-002,line-2,at-grade,4002.226,35.05933995,31.51013285,60..100cm,26.0,10.0,37.0,46.0,21.0,74.0,29.0,13.0,47.0,1550.0,1370.0,1740.0,3.2,1.3,5.8,7.8,6.8,8.5
segment:line-2-civil-002:0005,civil_segment,line-2-civil-002,line-2,at-grade,5002.783,35.06751627,31.51464729,0..30cm,26.0,13.0,38.0,42.0,23.0,66.0,32.0,18.0,46.0,1400.0,1260.0,1580.0,10.1,4.2,22.0,7.7,7.3,8.1
segment:line-2-civil-002:0005,civil_segment,line-2-civil-002,line-2,at-grade,5002.783,35.06751627,31.51464729,30..60cm,26.0,10.0,38.0,43.0,18.0,74.0,31.0,15.0,47.0,1500.0,1310.0,1630.0,5.4,2.5,9.9,7.6,6.9,8.2
segment:line-2-civil-002:0005,civil_segment,line-2-civil-002,line-2,at-grade,5002.783,35.06751627,31.51464729,60..100cm,27.0,11.0,40.0,42.0,21.0,74.0,31.0,18.0,47.0,1510.0,1350.0,1700.0,3.8,1.5,6.6,7.6,6.7,8.5
segment:line-2-civil-002:0006,civil_segment,line-2-civil-002,line-2,at-grade,6003.339,35.07452681,31.52117268,0..30cm,27.0,18.0,38.0,40.0,16.0,61.0,33.0,19.0,46.0,1360.0,1190.0,1550.0,10.2,4.5,22.3,7.7,7.3,8.1
segment:line-2-civil-002:0006,civil_segment,line-2-civil-002,line-2,at-grade,6003.339,35.07452681,31.52117268,30..60cm,27.0,18.0,38.0,40.0,15.0,62.0,33.0,18.0,47.0,1480.0,1320.0,1700.0,5.0,2.5,8.8,7.7,7.0,8.2
segment:line-2-civil-002:0006,civil_segment,line-2-civil-002,line-2,at-grade,6003.339,35.07452681,31.52117268,60..100cm,28.0,16.0,41.0,39.0,13.0,66.0,33.0,21.0,47.0,1500.0,1280.0,1660.0,3.5,1.8,6.3,7.7,6.8,8.4
