sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,47.38720952,24.1424911,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,47.38720952,24.1424911,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,47.38720952,24.1424911,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.816,47.37878983,24.14375086,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.816,47.37878983,24.14375086,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.816,47.37878983,24.14375086,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2063.632,47.37047545,24.14806754,0..30cm,12.0,0.0,23.0,63.0,40.0,85.0,25.0,10.0,40.0,1420.0,1280.0,1600.0,4.2,1.2,12.6,8.2,7.6,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2063.632,47.37047545,24.14806754,30..60cm,17.0,0.0,34.0,56.0,28.0,88.0,26.0,7.0,45.0,1380.0,1200.0,1610.0,3.3,0.8,8.8,8.4,7.5,9.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2063.632,47.37047545,24.14806754,60..100cm,17.0,0.0,34.0,55.0,17.0,87.0,28.0,6.0,47.0,1420.0,1230.0,1660.0,2.5,0.9,6.5,8.4,7.5,9.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3095.448,47.36382825,24.15135538,0..30cm,12.0,0.0,21.0,64.0,39.0,84.0,25.0,11.0,41.0,1420.0,1240.0,1630.0,3.9,0.8,12.6,8.2,7.6,9.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3095.448,47.36382825,24.15135538,30..60cm,16.0,0.0,33.0,58.0,29.0,88.0,26.0,7.0,43.0,1390.0,1250.0,1610.0,2.8,0.7,8.3,8.4,7.5,9.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3095.448,47.36382825,24.15135538,60..100cm,16.0,0.0,33.0,56.0,21.0,88.0,27.0,6.0,47.0,1440.0,1230.0,1680.0,2.3,0.5,6.5,8.5,7.7,9.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4127.265,47.35652862,24.15152237,0..30cm,13.0,1.0,24.0,62.0,37.0,83.0,26.0,11.0,40.0,1450.0,1240.0,1630.0,4.1,0.8,12.9,8.2,7.5,9.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4127.265,47.35652862,24.15152237,30..60cm,17.0,0.0,31.0,56.0,29.0,88.0,27.0,8.0,47.0,1400.0,1220.0,1600.0,3.1,0.8,8.8,8.3,7.5,9.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4127.265,47.35652862,24.15152237,60..100cm,17.0,0.0,31.0,55.0,20.0,87.0,28.0,8.0,48.0,1450.0,1240.0,1650.0,2.4,0.6,7.1,8.3,7.7,9.5
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5159.081,47.34973534,24.15712547,0..30cm,11.0,1.0,21.0,64.0,37.0,84.0,25.0,11.0,41.0,1450.0,1280.0,1610.0,3.6,0.7,11.6,8.1,7.3,9.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5159.081,47.34973534,24.15712547,30..60cm,15.0,0.0,31.0,59.0,29.0,90.0,26.0,5.0,46.0,1400.0,1190.0,1600.0,2.8,0.7,8.3,8.2,7.4,9.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5159.081,47.34973534,24.15712547,60..100cm,15.0,0.0,31.0,58.0,25.0,88.0,27.0,6.0,52.0,1440.0,1240.0,1640.0,2.3,0.6,7.1,8.2,7.5,9.5
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6190.897,47.3434796,24.15471296,0..30cm,12.0,0.0,21.0,62.0,38.0,84.0,26.0,12.0,40.0,1460.0,1280.0,1610.0,4.0,0.7,12.6,8.2,7.3,9.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6190.897,47.3434796,24.15471296,30..60cm,16.0,0.0,31.0,58.0,29.0,88.0,26.0,7.0,48.0,1420.0,1220.0,1600.0,3.1,0.7,8.8,8.3,7.5,9.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6190.897,47.3434796,24.15471296,60..100cm,16.0,0.0,31.0,56.0,20.0,87.0,28.0,8.0,47.0,1470.0,1240.0,1690.0,2.6,0.5,7.5,8.3,7.7,9.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7222.713,47.3374209,24.1477357,0..30cm,12.0,0.0,22.0,63.0,39.0,84.0,25.0,11.0,40.0,1450.0,1240.0,1620.0,3.6,0.8,12.6,8.3,7.6,9.4
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7222.713,47.3374209,24.1477357,30..60cm,16.0,0.0,31.0,58.0,29.0,88.0,26.0,8.0,43.0,1410.0,1220.0,1600.0,2.9,0.6,8.4,8.4,7.7,9.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7222.713,47.3374209,24.1477357,60..100cm,16.0,0.0,30.0,57.0,21.0,87.0,27.0,8.0,47.0,1460.0,1240.0,1670.0,2.4,0.5,7.1,8.4,7.7,9.5
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8254.529,47.33090603,24.1514794,0..30cm,11.0,0.0,21.0,64.0,39.0,84.0,25.0,11.0,39.0,1450.0,1280.0,1610.0,3.7,0.8,12.6,8.2,7.6,9.4
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8254.529,47.33090603,24.1514794,30..60cm,15.0,0.0,30.0,59.0,30.0,88.0,26.0,7.0,43.0,1400.0,1190.0,1600.0,2.9,0.7,8.4,8.3,7.5,9.4
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8254.529,47.33090603,24.1514794,60..100cm,15.0,0.0,29.0,58.0,25.0,87.0,27.0,8.0,45.0,1450.0,1230.0,1670.0,2.3,0.5,6.6,8.3,7.7,9.5
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9286.345,47.32394851,24.15575837,0..30cm,11.0,0.0,21.0,64.0,40.0,84.0,25.0,10.0,39.0,1450.0,1250.0,1610.0,3.7,0.8,12.6,8.3,7.6,9.4
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9286.345,47.32394851,24.15575837,30..60cm,15.0,0.0,29.0,59.0,30.0,88.0,26.0,8.0,43.0,1400.0,1190.0,1610.0,2.9,0.7,8.4,8.4,7.6,9.5
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9286.345,47.32394851,24.15575837,60..100cm,15.0,0.0,29.0,57.0,25.0,87.0,27.0,9.0,47.0,1460.0,1240.0,1680.0,2.5,0.5,7.1,8.4,7.7,9.5
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10318.161,47.31640172,24.15699752,0..30cm,12.0,0.0,24.0,61.0,39.0,87.0,26.0,11.0,41.0,1440.0,1240.0,1630.0,3.7,0.7,12.4,8.4,7.9,9.1
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10318.161,47.31640172,24.15699752,30..60cm,16.0,0.0,30.0,58.0,29.0,91.0,26.0,5.0,47.0,1400.0,1190.0,1610.0,2.9,0.7,8.3,8.6,7.9,9.5
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10318.161,47.31640172,24.15699752,60..100cm,16.0,0.0,27.0,57.0,25.0,91.0,27.0,5.0,47.0,1450.0,1230.0,1690.0,2.5,0.5,7.1,8.6,7.8,9.5
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11349.978,47.30889441,24.15630192,0..30cm,14.0,0.0,27.0,60.0,34.0,84.0,27.0,12.0,42.0,1430.0,1240.0,1640.0,3.7,0.8,12.6,8.4,7.9,9.0
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11349.978,47.30889441,24.15630192,30..60cm,17.0,0.0,31.0,56.0,30.0,91.0,27.0,5.0,47.0,1390.0,1190.0,1600.0,2.9,0.7,8.4,8.6,7.8,9.5
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11349.978,47.30889441,24.15630192,60..100cm,17.0,0.0,28.0,55.0,25.0,91.0,28.0,5.0,48.0,1450.0,1230.0,1680.0,2.5,0.5,7.1,8.6,7.8,9.7
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11627.1,47.30671474,24.15510646,0..30cm,13.0,0.0,26.0,61.0,36.0,84.0,27.0,12.0,41.0,1430.0,1240.0,1610.0,3.8,0.9,12.4,8.4,7.9,9.0
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11627.1,47.30671474,24.15510646,30..60cm,16.0,0.0,30.0,57.0,29.0,91.0,26.0,7.0,47.0,1390.0,1190.0,1600.0,2.9,0.8,8.3,8.6,7.8,9.5
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11627.1,47.30671474,24.15510646,60..100cm,16.0,0.0,27.0,57.0,28.0,91.0,27.0,7.0,47.0,1450.0,1230.0,1670.0,2.4,0.6,7.1,8.6,7.8,9.5
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12381.794,47.30010742,24.15280684,0..30cm,11.0,0.0,22.0,64.0,37.0,86.0,25.0,9.0,42.0,1420.0,1280.0,1610.0,3.6,1.0,10.6,8.3,7.5,9.2
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12381.794,47.30010742,24.15280684,30..60cm,16.0,0.0,32.0,58.0,28.0,88.0,26.0,7.0,43.0,1410.0,1200.0,1650.0,2.6,0.6,8.2,8.5,7.7,9.5
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12381.794,47.30010742,24.15280684,60..100cm,16.0,1.0,31.0,57.0,21.0,87.0,27.0,9.0,47.0,1470.0,1230.0,1710.0,2.2,0.5,6.4,8.5,7.7,9.8
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13413.61,47.29147224,24.15238923,0..30cm,17.0,6.0,29.0,51.0,33.0,72.0,32.0,19.0,43.0,1400.0,1260.0,1610.0,3.6,1.1,11.9,8.3,7.6,9.0
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13413.61,47.29147224,24.15238923,30..60cm,19.0,3.0,32.0,51.0,27.0,78.0,29.0,13.0,42.0,1380.0,1180.0,1650.0,2.8,0.6,8.4,8.4,7.7,9.5
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13413.61,47.29147224,24.15238923,60..100cm,19.0,5.0,32.0,50.0,29.0,74.0,31.0,13.0,47.0,1440.0,1230.0,1710.0,2.2,0.7,4.8,8.5,7.7,9.5
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14445.426,47.28197933,24.1531091,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14445.426,47.28197933,24.1531091,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,14445.426,47.28197933,24.1531091,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,15477.242,47.27243707,24.15426866,0..30cm,15.0,4.0,23.0,57.0,36.0,78.0,28.0,15.0,42.0,1430.0,1270.0,1640.0,3.7,0.7,11.9,8.2,7.6,8.9
