sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,50.19732814,26.28162324,0..30cm,13.0,2.0,23.0,65.0,50.0,84.0,21.0,9.0,32.0,1480.0,1240.0,1650.0,3.4,0.7,7.4,8.3,7.5,9.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,50.19732814,26.28162324,30..60cm,15.0,3.0,27.0,64.0,42.0,91.0,20.0,6.0,33.0,1480.0,1250.0,1680.0,1.6,0.0,5.1,8.3,7.8,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,50.19732814,26.28162324,60..100cm,15.0,3.0,27.0,65.0,42.0,91.0,20.0,6.0,32.0,1540.0,1290.0,1780.0,1.7,0.1,4.4,8.3,7.8,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1056.753,50.18792923,26.2845792,0..30cm,11.0,1.0,20.0,69.0,56.0,87.0,20.0,8.0,30.0,1490.0,1280.0,1670.0,3.7,0.8,9.9,8.2,7.5,8.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1056.753,50.18792923,26.2845792,30..60cm,14.0,1.0,27.0,67.0,43.0,93.0,19.0,3.0,33.0,1460.0,1240.0,1650.0,1.9,0.0,6.0,8.2,7.8,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1056.753,50.18792923,26.2845792,60..100cm,14.0,2.0,26.0,68.0,44.0,93.0,19.0,3.0,32.0,1510.0,1270.0,1710.0,1.8,0.2,4.9,8.2,7.7,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2113.507,50.18228191,26.28888033,0..30cm,11.0,1.0,20.0,69.0,53.0,87.0,20.0,8.0,31.0,1500.0,1250.0,1690.0,3.4,0.7,8.6,8.2,7.6,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2113.507,50.18228191,26.28888033,30..60cm,13.0,2.0,27.0,68.0,43.0,93.0,19.0,3.0,32.0,1470.0,1240.0,1670.0,1.7,0.0,5.4,8.2,7.7,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2113.507,50.18228191,26.28888033,60..100cm,13.0,2.0,25.0,69.0,50.0,93.0,18.0,3.0,31.0,1520.0,1270.0,1740.0,1.8,0.0,4.5,8.2,7.8,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3170.26,50.18143789,26.29767107,0..30cm,13.0,3.0,23.0,65.0,44.0,85.0,22.0,9.0,33.0,1490.0,1280.0,1670.0,3.6,0.9,7.9,8.2,7.5,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3170.26,50.18143789,26.29767107,30..60cm,15.0,4.0,27.0,65.0,43.0,90.0,20.0,7.0,32.0,1470.0,1240.0,1680.0,1.8,0.0,5.3,8.3,7.7,8.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3170.26,50.18143789,26.29767107,60..100cm,15.0,3.0,26.0,66.0,43.0,87.0,19.0,6.0,32.0,1520.0,1270.0,1710.0,1.7,0.2,4.4,8.2,7.7,9.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4227.013,50.18007513,26.30653577,0..30cm,11.0,2.0,20.0,69.0,53.0,87.0,20.0,8.0,31.0,1450.0,1260.0,1620.0,3.5,0.8,10.1,8.0,7.5,8.6
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4227.013,50.18007513,26.30653577,30..60cm,13.0,2.0,25.0,70.0,43.0,91.0,18.0,5.0,32.0,1440.0,1250.0,1640.0,1.9,0.0,6.4,8.1,7.6,8.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4227.013,50.18007513,26.30653577,60..100cm,13.0,2.0,25.0,69.0,43.0,92.0,18.0,4.0,31.0,1500.0,1290.0,1700.0,1.8,0.3,4.9,8.1,7.7,8.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5283.767,50.17101437,26.30861816,0..30cm,11.0,0.0,20.0,70.0,54.0,88.0,19.0,8.0,30.0,1500.0,1260.0,1680.0,3.5,0.6,10.9,8.2,7.6,8.7
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5283.767,50.17101437,26.30861816,30..60cm,13.0,1.0,27.0,69.0,42.0,93.0,18.0,4.0,33.0,1470.0,1250.0,1680.0,1.8,0.0,6.0,8.2,7.6,8.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5283.767,50.17101437,26.30861816,60..100cm,13.0,2.0,24.0,70.0,48.0,93.0,18.0,4.0,32.0,1520.0,1270.0,1750.0,1.8,0.1,4.9,8.2,7.7,9.0
