sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,41.73135036,27.4232452,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,41.73135036,27.4232452,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,41.73135036,27.4232452,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1042.131,41.72507072,27.42707982,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1042.131,41.72507072,27.42707982,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1042.131,41.72507072,27.42707982,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2084.261,41.72544563,27.43578912,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2084.261,41.72544563,27.43578912,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2084.261,41.72544563,27.43578912,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3126.392,41.72799316,27.44427493,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3126.392,41.72799316,27.44427493,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3126.392,41.72799316,27.44427493,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4168.523,41.73054073,27.4527608,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4168.523,41.73054073,27.4527608,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4168.523,41.73054073,27.4527608,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5210.654,41.73326936,27.46120847,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5210.654,41.73326936,27.46120847,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5210.654,41.73326936,27.46120847,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6252.784,41.73600944,27.46965379,0..30cm,16.0,7.0,24.0,58.0,38.0,76.0,26.0,12.0,40.0,1480.0,1330.0,1640.0,1.7,0.5,3.7,8.4,7.6,9.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6252.784,41.73600944,27.46965379,30..60cm,19.0,5.0,33.0,57.0,29.0,90.0,24.0,6.0,38.0,1460.0,1270.0,1630.0,1.5,0.1,3.6,8.7,7.7,9.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6252.784,41.73600944,27.46965379,60..100cm,19.0,4.0,33.0,57.0,28.0,87.0,25.0,7.0,41.0,1510.0,1260.0,1740.0,1.3,0.1,3.7,8.8,7.8,10.1
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7294.915,41.73378898,27.47759499,0..30cm,16.0,4.0,26.0,60.0,35.0,79.0,25.0,13.0,35.0,1460.0,1360.0,1600.0,2.1,0.7,4.5,8.3,7.9,8.8
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7294.915,41.73378898,27.47759499,30..60cm,18.0,4.0,31.0,59.0,32.0,88.0,23.0,8.0,37.0,1490.0,1290.0,1640.0,1.5,0.2,4.0,8.6,8.0,9.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7294.915,41.73378898,27.47759499,60..100cm,18.0,3.0,32.0,58.0,33.0,87.0,24.0,8.0,38.0,1550.0,1320.0,1740.0,1.4,0.2,3.9,8.7,8.0,9.6
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8337.046,41.72446301,27.48009083,0..30cm,16.0,5.0,26.0,60.0,40.0,82.0,24.0,12.0,36.0,1470.0,1360.0,1600.0,2.3,0.7,4.8,8.3,7.8,8.8
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8337.046,41.72446301,27.48009083,30..60cm,17.0,3.0,33.0,61.0,32.0,90.0,22.0,6.0,37.0,1500.0,1340.0,1630.0,1.6,0.5,3.6,8.6,8.0,9.4
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8337.046,41.72446301,27.48009083,60..100cm,17.0,3.0,34.0,61.0,31.0,88.0,22.0,6.0,38.0,1560.0,1370.0,1740.0,1.3,0.2,3.0,8.7,8.0,9.6
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9379.177,41.72690829,27.4885986,0..30cm,17.0,3.0,30.0,57.0,28.0,84.0,26.0,11.0,42.0,1460.0,1330.0,1600.0,2.2,0.7,4.0,8.4,7.9,8.9
