sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,49.53057343,25.46359354,0..30cm,15.0,2.0,25.0,61.0,40.0,81.0,24.0,12.0,37.0,1510.0,1380.0,1630.0,3.0,0.9,6.8,8.3,7.8,8.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,49.53057343,25.46359354,30..60cm,19.0,1.0,33.0,56.0,29.0,83.0,25.0,13.0,38.0,1460.0,1270.0,1650.0,2.5,0.5,8.3,8.6,7.8,9.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,49.53057343,25.46359354,60..100cm,18.0,1.0,32.0,56.0,30.0,83.0,26.0,14.0,41.0,1470.0,1240.0,1710.0,2.1,0.2,7.1,8.6,7.8,9.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1038.715,49.53653923,25.45929372,0..30cm,11.0,0.0,21.0,68.0,51.0,92.0,20.0,6.0,32.0,1490.0,1340.0,1650.0,2.9,0.7,7.7,8.2,7.7,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1038.715,49.53653923,25.45929372,30..60cm,16.0,0.0,29.0,62.0,36.0,93.0,22.0,4.0,38.0,1430.0,1230.0,1620.0,2.6,0.6,7.3,8.5,7.8,9.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1038.715,49.53653923,25.45929372,60..100cm,16.0,0.0,28.0,61.0,37.0,92.0,23.0,4.0,41.0,1440.0,1240.0,1690.0,2.2,0.2,7.2,8.6,7.8,9.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2077.43,49.5430562,25.45567502,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2077.43,49.5430562,25.45567502,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2077.43,49.5430562,25.45567502,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3116.144,49.54727768,25.44890289,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3116.144,49.54727768,25.44890289,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3116.144,49.54727768,25.44890289,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4154.859,49.54804078,25.4401394,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4154.859,49.54804078,25.4401394,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4154.859,49.54804078,25.4401394,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5193.574,49.5466811,25.43140478,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5193.574,49.5466811,25.43140478,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5193.574,49.5466811,25.43140478,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6232.289,49.5471343,25.4232309,0..30cm,12.0,0.0,22.0,67.0,45.0,92.0,21.0,5.0,36.0,1470.0,1340.0,1640.0,3.3,0.9,9.7,8.2,7.6,9.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6232.289,49.5471343,25.4232309,30..60cm,16.0,0.0,29.0,61.0,35.0,93.0,23.0,4.0,38.0,1410.0,1250.0,1600.0,2.4,0.3,7.0,8.5,7.6,9.5
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6232.289,49.5471343,25.4232309,60..100cm,16.0,0.0,29.0,60.0,33.0,93.0,24.0,4.0,42.0,1450.0,1240.0,1660.0,2.2,0.3,6.0,8.5,7.7,9.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7271.004,49.55632718,25.42058162,0..30cm,12.0,0.0,20.0,68.0,51.0,92.0,20.0,6.0,34.0,1440.0,1280.0,1640.0,2.7,0.5,7.8,8.2,7.5,9.1
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7271.004,49.55632718,25.42058162,30..60cm,16.0,0.0,29.0,62.0,38.0,92.0,22.0,4.0,38.0,1400.0,1220.0,1600.0,2.2,0.5,6.6,8.5,7.6,9.6
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7271.004,49.55632718,25.42058162,60..100cm,16.0,0.0,29.0,60.0,33.0,92.0,24.0,4.0,41.0,1440.0,1240.0,1650.0,2.2,0.4,6.0,8.5,7.7,10.1
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7487.05,49.55839464,25.42058162,0..30cm,13.0,1.0,21.0,66.0,42.0,90.0,21.0,7.0,36.0,1460.0,1300.0,1640.0,2.9,0.5,7.9,8.2,7.6,9.1
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7487.05,49.55839464,25.42058162,30..60cm,17.0,1.0,29.0,60.0,35.0,92.0,23.0,4.0,38.0,1420.0,1240.0,1600.0,2.5,0.6,6.6,8.5,7.7,9.5
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7487.05,49.55839464,25.42058162,60..100cm,17.0,0.0,28.0,59.0,33.0,91.0,25.0,5.0,41.0,1450.0,1240.0,1660.0,2.8,0.5,6.5,8.5,7.8,9.5
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8309.719,49.56622053,25.42040166,0..30cm,13.0,1.0,20.0,66.0,41.0,92.0,21.0,6.0,35.0,1450.0,1270.0,1630.0,2.7,0.5,7.2,8.3,7.6,9.2
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8309.719,49.56622053,25.42040166,30..60cm,17.0,1.0,30.0,60.0,35.0,92.0,23.0,4.0,38.0,1410.0,1230.0,1620.0,2.1,0.4,6.4,8.6,7.7,9.6
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8309.719,49.56622053,25.42040166,60..100cm,17.0,0.0,30.0,59.0,32.0,92.0,24.0,4.0,41.0,1450.0,1240.0,1720.0,2.1,0.2,6.0,8.6,7.8,10.1
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9348.433,49.57332836,25.41741638,0..30cm,12.0,2.0,20.0,67.0,46.0,91.0,21.0,5.0,34.0,1450.0,1270.0,1620.0,2.9,0.8,7.2,8.3,7.6,9.2
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9348.433,49.57332836,25.41741638,30..60cm,16.0,1.0,29.0,62.0,38.0,92.0,23.0,4.0,38.0,1410.0,1240.0,1620.0,2.2,0.3,6.6,8.6,7.7,9.6
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9348.433,49.57332836,25.41741638,60..100cm,15.0,0.0,28.0,61.0,33.0,92.0,23.0,4.0,41.0,1450.0,1230.0,1690.0,2.0,0.2,5.3,8.6,7.8,10.0
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10387.148,49.57437234,25.40861394,0..30cm,14.0,2.0,26.0,62.0,38.0,88.0,23.0,8.0,36.0,1470.0,1330.0,1640.0,2.8,0.5,7.8,8.2,7.8,8.9
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10387.148,49.57437234,25.40861394,30..60cm,18.0,2.0,31.0,57.0,28.0,91.0,25.0,4.0,44.0,1430.0,1250.0,1620.0,2.2,0.4,6.6,8.3,7.8,9.3
