sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,39.24479595,21.35565511,0..30cm,13.0,5.0,23.0,77.0,62.0,87.0,10.0,1.0,20.0,1440.0,1240.0,1640.0,1.9,0.4,5.4,8.2,7.6,8.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,39.24479595,21.35565511,30..60cm,14.0,4.0,21.0,76.0,54.0,91.0,10.0,0.0,27.0,1490.0,1310.0,1680.0,1.0,0.0,2.9,8.3,8.0,8.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,39.24479595,21.35565511,60..100cm,15.0,4.0,25.0,75.0,51.0,91.0,10.0,0.0,27.0,1510.0,1310.0,1700.0,1.1,0.0,2.5,8.3,7.9,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1056.601,39.23980148,21.36318984,0..30cm,13.0,4.0,21.0,77.0,65.0,87.0,10.0,2.0,20.0,1440.0,1240.0,1640.0,2.2,0.5,6.5,8.3,7.8,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1056.601,39.23980148,21.36318984,30..60cm,14.0,3.0,21.0,76.0,54.0,93.0,10.0,0.0,27.0,1490.0,1340.0,1690.0,1.2,0.0,3.8,8.4,8.0,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1056.601,39.23980148,21.36318984,60..100cm,15.0,3.0,24.0,74.0,51.0,93.0,11.0,0.0,27.0,1530.0,1320.0,1690.0,1.3,0.0,3.2,8.5,8.0,9.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2113.201,39.23296679,21.36956033,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2113.201,39.23296679,21.36956033,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2113.201,39.23296679,21.36956033,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3169.802,39.22702125,21.37603362,0..30cm,14.0,5.0,22.0,74.0,58.0,87.0,11.0,2.0,22.0,1440.0,1200.0,1710.0,2.0,0.6,5.5,8.4,7.7,8.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3169.802,39.22702125,21.37603362,30..60cm,16.0,5.0,30.0,72.0,47.0,91.0,11.0,0.0,27.0,1500.0,1350.0,1660.0,1.4,0.0,3.8,8.4,8.0,8.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3169.802,39.22702125,21.37603362,60..100cm,17.0,5.0,32.0,70.0,46.0,92.0,12.0,0.0,28.0,1530.0,1280.0,1710.0,1.3,0.1,3.1,8.5,8.0,9.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4226.403,39.22904049,21.38480889,0..30cm,13.0,6.0,21.0,76.0,58.0,90.0,10.0,2.0,22.0,1440.0,1220.0,1660.0,2.5,0.9,5.5,8.3,7.9,8.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4226.403,39.22904049,21.38480889,30..60cm,15.0,4.0,23.0,74.0,52.0,94.0,11.0,0.0,26.0,1510.0,1340.0,1670.0,1.3,0.0,4.1,8.3,8.0,8.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4226.403,39.22904049,21.38480889,60..100cm,16.0,4.0,24.0,72.0,50.0,93.0,11.0,0.0,27.0,1530.0,1290.0,1710.0,1.3,0.0,3.5,8.3,7.9,8.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5283.003,39.23043407,21.3936204,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5283.003,39.23043407,21.3936204,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5283.003,39.23043407,21.3936204,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6339.604,39.22408271,21.40033679,0..30cm,17.0,6.0,31.0,68.0,46.0,89.0,15.0,2.0,29.0,1450.0,1220.0,1660.0,2.1,0.6,5.5,8.4,7.7,9.0
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6339.604,39.22408271,21.40033679,30..60cm,19.0,5.0,33.0,67.0,44.0,90.0,14.0,0.0,29.0,1490.0,1340.0,1660.0,1.2,0.0,2.7,8.4,8.0,9.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6339.604,39.22408271,21.40033679,60..100cm,20.0,5.0,35.0,66.0,37.0,91.0,14.0,0.0,33.0,1520.0,1280.0,1740.0,1.4,0.3,2.8,8.4,7.9,9.1
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7396.205,39.21724717,21.40670808,0..30cm,19.0,7.0,33.0,65.0,44.0,86.0,16.0,2.0,32.0,1420.0,1200.0,1630.0,2.4,0.9,5.6,8.5,7.9,9.0
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7396.205,39.21724717,21.40670808,30..60cm,21.0,6.0,34.0,62.0,39.0,86.0,17.0,0.0,34.0,1470.0,1320.0,1600.0,1.4,0.4,3.4,8.6,8.0,9.1
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7396.205,39.21724717,21.40670808,60..100cm,22.0,6.0,39.0,61.0,35.0,86.0,17.0,0.0,35.0,1520.0,1280.0,1710.0,1.5,0.3,2.7,8.6,8.0,9.2
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8452.805,39.21083728,21.41313549,0..30cm,18.0,6.0,32.0,67.0,41.0,82.0,14.0,3.0,27.0,1450.0,1210.0,1680.0,2.4,0.7,5.8,8.5,7.9,9.1
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8452.805,39.21083728,21.41313549,30..60cm,21.0,6.0,36.0,64.0,34.0,89.0,16.0,3.0,34.0,1480.0,1330.0,1620.0,1.5,0.0,4.0,8.6,8.0,9.0
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8452.805,39.21083728,21.41313549,60..100cm,21.0,6.0,37.0,64.0,33.0,90.0,16.0,3.0,33.0,1510.0,1330.0,1640.0,1.6,0.2,3.5,8.6,8.0,9.1
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9509.406,39.2123078,21.42186378,0..30cm,17.0,3.0,34.0,70.0,46.0,93.0,13.0,0.0,26.0,1440.0,1210.0,1640.0,2.6,0.9,6.4,8.4,7.9,8.9
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9509.406,39.2123078,21.42186378,30..60cm,18.0,2.0,34.0,68.0,44.0,90.0,14.0,0.0,31.0,1490.0,1330.0,1650.0,1.6,0.3,4.0,8.4,8.0,8.9
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9509.406,39.2123078,21.42186378,60..100cm,19.0,2.0,36.0,67.0,37.0,91.0,15.0,0.0,34.0,1530.0,1330.0,1710.0,1.4,0.1,2.9,8.4,8.0,9.1
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10566.007,39.21857209,21.42862291,0..30cm,16.0,6.0,27.0,71.0,50.0,87.0,13.0,0.0,30.0,1440.0,1220.0,1670.0,2.1,0.7,5.8,8.3,7.8,8.9
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10566.007,39.21857209,21.42862291,30..60cm,18.0,4.0,31.0,68.0,39.0,89.0,14.0,0.0,34.0,1480.0,1350.0,1600.0,1.2,0.3,2.3,8.3,8.0,9.1
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,10566.007,39.21857209,21.42862291,60..100cm,18.0,5.0,36.0,67.0,37.0,90.0,14.0,0.0,33.0,1510.0,1350.0,1660.0,1.4,0.4,2.8,8.3,8.0,9.1
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11622.607,39.2201113,21.43553255,0..30cm,16.0,5.0,29.0,71.0,53.0,88.0,13.0,2.0,26.0,1430.0,1180.0,1660.0,2.0,0.5,5.0,8.3,7.8,8.9
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11622.607,39.2201113,21.43553255,30..60cm,18.0,2.0,33.0,68.0,42.0,91.0,14.0,0.0,30.0,1470.0,1320.0,1610.0,1.1,0.0,2.1,8.3,8.0,8.9
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,11622.607,39.2201113,21.43553255,60..100cm,18.0,2.0,36.0,68.0,41.0,91.0,14.0,0.0,30.0,1520.0,1330.0,1670.0,1.3,0.2,2.9,8.3,8.0,8.9
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,12679.208,39.21899866,21.44214857,0..30cm,16.0,3.0,29.0,71.0,46.0,93.0,14.0,2.0,30.0,1410.0,1210.0,1600.0,2.0,0.5,5.4,8.4,7.9,8.9
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,12679.208,39.21899866,21.44214857,30..60cm,18.0,3.0,33.0,70.0,43.0,94.0,12.0,0.0,28.0,1470.0,1330.0,1600.0,1.1,0.0,2.3,8.4,8.0,9.1
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,12679.208,39.21899866,21.44214857,60..100cm,18.0,3.0,38.0,69.0,37.0,93.0,13.0,0.0,30.0,1520.0,1280.0,1690.0,1.4,0.3,2.8,8.3,8.0,9.1
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,13735.809,39.21216216,21.44852076,0..30cm,17.0,6.0,28.0,70.0,49.0,88.0,13.0,0.0,29.0,1430.0,1220.0,1670.0,2.0,0.6,4.5,8.3,7.9,8.9
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,13735.809,39.21216216,21.44852076,30..60cm,20.0,5.0,33.0,66.0,40.0,90.0,14.0,0.0,32.0,1480.0,1330.0,1610.0,1.1,0.0,2.3,8.4,8.0,9.0
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,13735.809,39.21216216,21.44852076,60..100cm,20.0,5.0,39.0,65.0,38.0,87.0,15.0,0.0,33.0,1510.0,1350.0,1640.0,1.2,0.1,2.8,8.4,8.0,9.1
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,14792.409,39.20753158,21.45573578,0..30cm,19.0,7.0,29.0,67.0,48.0,83.0,14.0,2.0,30.0,1430.0,1220.0,1650.0,2.0,0.7,4.5,8.4,7.9,8.9
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,14792.409,39.20753158,21.45573578,30..60cm,22.0,7.0,36.0,63.0,41.0,87.0,15.0,2.0,32.0,1490.0,1350.0,1610.0,1.1,0.0,2.1,8.5,8.0,9.0
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,14792.409,39.20753158,21.45573578,60..100cm,22.0,7.0,36.0,63.0,40.0,88.0,15.0,2.0,31.0,1520.0,1350.0,1640.0,1.2,0.2,2.6,8.6,8.0,9.1
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,15849.01,39.20039842,21.45877573,0..30cm,19.0,6.0,29.0,64.0,39.0,86.0,16.0,0.0,33.0,1440.0,1220.0,1640.0,2.2,0.9,5.5,8.4,7.9,8.8
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,15849.01,39.20039842,21.45877573,30..60cm,23.0,8.0,39.0,60.0,34.0,86.0,17.0,2.0,34.0,1500.0,1330.0,1600.0,1.3,0.4,3.1,8.5,8.0,8.9
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,15849.01,39.20039842,21.45877573,60..100cm,23.0,8.0,40.0,59.0,31.0,86.0,18.0,3.0,35.0,1530.0,1350.0,1670.0,1.3,0.4,2.7,8.5,8.0,9.2
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,16905.611,39.19941356,21.46590092,0..30cm,17.0,6.0,29.0,68.0,50.0,86.0,14.0,0.0,27.0,1440.0,1260.0,1650.0,2.2,0.8,5.5,8.3,7.8,8.9
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,16905.611,39.19941356,21.46590092,30..60cm,21.0,5.0,36.0,64.0,33.0,85.0,15.0,0.0,34.0,1490.0,1340.0,1610.0,1.3,0.2,3.3,8.3,8.0,9.0
segment:line-1-civil-001:0016,civil_segment,line-1-civil-001,line-1,at-grade,16905.611,39.19941356,21.46590092,60..100cm,21.0,5.0,39.0,63.0,35.0,86.0,15.0,0.0,34.0,1520.0,1350.0,1660.0,1.2,0.2,2.6,8.4,8.0,9.1
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,17962.211,39.19931361,21.47415157,0..30cm,17.0,5.0,29.0,68.0,46.0,91.0,14.0,0.0,31.0,1440.0,1260.0,1640.0,2.3,0.7,5.2,8.3,7.8,8.9
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,17962.211,39.19931361,21.47415157,30..60cm,20.0,4.0,36.0,65.0,33.0,91.0,15.0,0.0,33.0,1510.0,1370.0,1650.0,1.4,0.3,3.8,8.3,8.0,9.0
segment:line-1-civil-001:0017,civil_segment,line-1-civil-001,line-1,at-grade,17962.211,39.19931361,21.47415157,60..100cm,20.0,4.0,39.0,64.0,31.0,91.0,15.0,0.0,37.0,1530.0,1350.0,1690.0,1.3,0.3,2.7,8.3,8.0,9.2
segment:line-1-civil-001:0018,civil_segment,line-1-civil-001,line-1,at-grade,19018.812,39.20594788,21.48069519,0..30cm,16.0,4.0,29.0,70.0,47.0,92.0,14.0,0.0,27.0,1440.0,1260.0,1640.0,2.1,0.6,5.5,8.4,7.7,9.0
segment:line-1-civil-001:0018,civil_segment,line-1-civil-001,line-1,at-grade,19018.812,39.20594788,21.48069519,30..60cm,19.0,3.0,34.0,67.0,41.0,90.0,14.0,0.0,30.0,1510.0,1340.0,1650.0,1.3,0.4,3.1,8.3,8.1,9.0
segment:line-1-civil-001:0018,civil_segment,line-1-civil-001,line-1,at-grade,19018.812,39.20594788,21.48069519,60..100cm,20.0,4.0,38.0,66.0,40.0,89.0,15.0,0.0,30.0,1530.0,1350.0,1690.0,1.3,0.2,2.6,8.4,8.1,9.1
segment:line-1-civil-001:0019,civil_segment,line-1-civil-001,line-1,at-grade,20075.413,39.20225729,21.48624996,0..30cm,18.0,7.0,29.0,66.0,48.0,84.0,15.0,3.0,30.0,1430.0,1220.0,1640.0,2.1,0.8,5.2,8.4,7.9,8.9
segment:line-1-civil-001:0019,civil_segment,line-1-civil-001,line-1,at-grade,20075.413,39.20225729,21.48624996,30..60cm,22.0,7.0,36.0,62.0,40.0,83.0,16.0,3.0,32.0,1500.0,1330.0,1600.0,1.3,0.4,3.0,8.5,8.0,9.0
segment:line-1-civil-001:0019,civil_segment,line-1-civil-001,line-1,at-grade,20075.413,39.20225729,21.48624996,60..100cm,22.0,7.0,39.0,62.0,41.0,83.0,16.0,2.0,30.0,1520.0,1330.0,1670.0,1.3,0.2,2.7,8.6,8.0,9.2
segment:line-1-civil-001:0020,civil_segment,line-1-civil-001,line-1,at-grade,21132.013,39.1931742,21.48718084,0..30cm,19.0,7.0,29.0,65.0,48.0,83.0,16.0,4.0,27.0,1430.0,1240.0,1630.0,2.3,0.9,5.2,8.5,8.0,8.9
segment:line-1-civil-001:0020,civil_segment,line-1-civil-001,line-1,at-grade,21132.013,39.1931742,21.48718084,30..60cm,22.0,9.0,38.0,61.0,34.0,82.0,17.0,3.0,32.0,1500.0,1320.0,1610.0,1.3,0.2,3.4,8.5,8.0,9.1
segment:line-1-civil-001:0020,civil_segment,line-1-civil-001,line-1,at-grade,21132.013,39.1931742,21.48718084,60..100cm,23.0,10.0,38.0,61.0,36.0,82.0,17.0,3.0,32.0,1520.0,1350.0,1670.0,1.3,0.4,2.6,8.6,8.0,9.2
segment:line-1-civil-001:0021,civil_segment,line-1-civil-001,line-1,at-grade,22188.614,39.18925404,21.49281776,0..30cm,18.0,5.0,30.0,67.0,43.0,89.0,15.0,0.0,34.0,1430.0,1220.0,1650.0,2.3,0.7,5.5,8.3,7.8,9.0
segment:line-1-civil-001:0021,civil_segment,line-1-civil-001,line-1,at-grade,22188.614,39.18925404,21.49281776,30..60cm,20.0,5.0,38.0,65.0,33.0,92.0,15.0,0.0,33.0,1510.0,1370.0,1660.0,1.3,0.4,3.1,8.3,7.9,9.0
segment:line-1-civil-001:0021,civil_segment,line-1-civil-001,line-1,at-grade,22188.614,39.18925404,21.49281776,60..100cm,21.0,5.0,38.0,64.0,33.0,92.0,15.0,0.0,34.0,1540.0,1350.0,1690.0,1.3,0.5,2.6,8.3,8.0,9.2
segment:line-1-civil-001:0022,civil_segment,line-1-civil-001,line-1,at-grade,23245.215,39.18752695,21.501615,0..30cm,19.0,7.0,33.0,65.0,43.0,85.0,16.0,4.0,29.0,1430.0,1220.0,1640.0,2.3,0.8,5.5,8.5,7.9,8.9
segment:line-1-civil-001:0022,civil_segment,line-1-civil-001,line-1,at-grade,23245.215,39.18752695,21.501615,30..60cm,23.0,8.0,38.0,60.0,35.0,83.0,17.0,6.0,33.0,1500.0,1330.0,1610.0,1.4,0.3,3.3,8.6,8.0,9.1
segment:line-1-civil-001:0022,civil_segment,line-1-civil-001,line-1,at-grade,23245.215,39.18752695,21.501615,60..100cm,23.0,8.0,39.0,59.0,34.0,83.0,18.0,5.0,33.0,1530.0,1330.0,1670.0,1.3,0.2,2.8,8.6,8.0,9.2
segment:line-1-civil-001:0023,civil_segment,line-1-civil-001,line-1,at-grade,24301.815,39.18614547,21.51038339,0..30cm,20.0,7.0,33.0,63.0,40.0,86.0,17.0,4.0,32.0,1440.0,1200.0,1680.0,2.5,0.9,5.5,8.5,7.9,9.1
segment:line-1-civil-001:0023,civil_segment,line-1-civil-001,line-1,at-grade,24301.815,39.18614547,21.51038339,30..60cm,23.0,8.0,39.0,60.0,34.0,84.0,17.0,2.0,33.0,1530.0,1350.0,1700.0,1.6,0.4,4.0,8.5,7.9,9.1
segment:line-1-civil-001:0023,civil_segment,line-1-civil-001,line-1,at-grade,24301.815,39.18614547,21.51038339,60..100cm,23.0,7.0,39.0,60.0,33.0,85.0,18.0,3.0,34.0,1550.0,1350.0,1750.0,1.5,0.3,2.7,8.5,7.9,9.1
segment:line-1-civil-001:0024,civil_segment,line-1-civil-001,line-1,at-grade,25116.4,39.18243122,21.51477981,0..30cm,19.0,6.0,33.0,66.0,45.0,86.0,15.0,0.0,28.0,1430.0,1220.0,1640.0,2.5,0.8,5.7,8.5,7.9,9.1
segment:line-1-civil-001:0024,civil_segment,line-1-civil-001,line-1,at-grade,25116.4,39.18243122,21.51477981,30..60cm,21.0,6.0,38.0,63.0,34.0,87.0,16.0,2.0,33.0,1510.0,1330.0,1690.0,1.6,0.1,4.1,8.6,8.0,9.1
segment:line-1-civil-001:0024,civil_segment,line-1-civil-001,line-1,at-grade,25116.4,39.18243122,21.51477981,60..100cm,21.0,6.0,38.0,63.0,34.0,87.0,16.0,2.0,34.0,1530.0,1330.0,1690.0,1.5,0.3,3.8,8.6,8.1,9.2
segment:line-1-civil-001:0025,civil_segment,line-1-civil-001,line-1,at-grade,25358.416,39.18232949,21.51683903,0..30cm,18.0,7.0,27.0,66.0,47.0,82.0,16.0,5.0,27.0,1410.0,1220.0,1630.0,2.3,0.9,4.6,8.5,7.9,8.9
segment:line-1-civil-001:0025,civil_segment,line-1-civil-001,line-1,at-grade,25358.416,39.18232949,21.51683903,30..60cm,21.0,8.0,36.0,62.0,34.0,87.0,16.0,0.0,33.0,1500.0,1320.0,1610.0,1.4,0.1,3.4,8.5,8.0,9.1
segment:line-1-civil-001:0025,civil_segment,line-1-civil-001,line-1,at-grade,25358.416,39.18232949,21.51683903,60..100cm,21.0,8.0,35.0,63.0,40.0,86.0,16.0,0.0,31.0,1530.0,1330.0,1640.0,1.3,0.2,2.7,8.6,8.0,9.1
segment:line-1-civil-001:0026,civil_segment,line-1-civil-001,line-1,at-grade,26415.017,39.18118154,21.5256083,0..30cm,19.0,8.0,30.0,65.0,43.0,84.0,16.0,3.0,29.0,1420.0,1240.0,1620.0,2.2,0.7,5.2,8.5,7.9,9.0
segment:line-1-civil-001:0026,civil_segment,line-1-civil-001,line-1,at-grade,26415.017,39.18118154,21.5256083,30..60cm,22.0,7.0,39.0,62.0,33.0,89.0,16.0,1.0,33.0,1500.0,1370.0,1610.0,1.3,0.4,2.8,8.6,8.0,9.1
segment:line-1-civil-001:0026,civil_segment,line-1-civil-001,line-1,at-grade,26415.017,39.18118154,21.5256083,60..100cm,22.0,7.0,39.0,62.0,34.0,88.0,16.0,2.0,31.0,1530.0,1350.0,1660.0,1.3,0.2,2.6,8.6,8.1,9.2
segment:line-1-civil-001:0027,civil_segment,line-1-civil-001,line-1,at-grade,27471.617,39.1782502,21.53402604,0..30cm,18.0,6.0,29.0,66.0,44.0,88.0,15.0,0.0,32.0,1430.0,1210.0,1620.0,2.3,0.8,5.5,8.4,7.7,9.1
segment:line-1-civil-001:0027,civil_segment,line-1-civil-001,line-1,at-grade,27471.617,39.1782502,21.53402604,30..60cm,21.0,5.0,38.0,63.0,33.0,92.0,16.0,0.0,34.0,1530.0,1370.0,1720.0,1.4,0.2,3.0,8.3,8.0,9.1
segment:line-1-civil-001:0027,civil_segment,line-1-civil-001,line-1,at-grade,27471.617,39.1782502,21.53402604,60..100cm,22.0,6.0,38.0,63.0,32.0,91.0,16.0,0.0,35.0,1530.0,1340.0,1750.0,1.4,0.5,2.6,8.4,7.9,9.4
segment:line-1-civil-001:0028,civil_segment,line-1-civil-001,line-1,at-grade,28528.218,39.17650803,21.54288964,0..30cm,23.0,8.0,39.0,56.0,31.0,83.0,21.0,7.0,34.0,1430.0,1200.0,1600.0,2.9,1.0,7.5,8.5,8.0,8.9
