sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,44.13300909,17.48896304,0..30cm,16.0,4.0,29.0,63.0,34.0,89.0,21.0,7.0,36.0,1500.0,1360.0,1650.0,1.6,0.5,2.9,8.5,7.9,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,44.13300909,17.48896304,30..60cm,19.0,3.0,32.0,61.0,34.0,92.0,20.0,4.0,37.0,1520.0,1400.0,1610.0,1.5,0.3,3.3,8.6,7.8,9.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,44.13300909,17.48896304,60..100cm,20.0,3.0,37.0,58.0,26.0,93.0,22.0,4.0,42.0,1560.0,1420.0,1680.0,1.2,0.3,1.8,8.6,7.8,9.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1043.329,44.14078432,17.49375545,0..30cm,16.0,5.0,29.0,63.0,35.0,85.0,21.0,9.0,34.0,1490.0,1340.0,1650.0,1.6,0.7,2.8,8.4,7.8,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1043.329,44.14078432,17.49375545,30..60cm,19.0,3.0,34.0,59.0,28.0,92.0,22.0,5.0,38.0,1520.0,1400.0,1610.0,1.4,0.2,3.2,8.6,7.8,9.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1043.329,44.14078432,17.49375545,60..100cm,20.0,4.0,33.0,57.0,26.0,92.0,23.0,5.0,39.0,1550.0,1410.0,1670.0,1.1,0.2,2.0,8.6,7.8,9.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2086.659,44.14731401,17.49529475,0..30cm,15.0,4.0,29.0,63.0,34.0,86.0,21.0,8.0,37.0,1480.0,1330.0,1650.0,1.6,0.6,3.1,8.4,7.9,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2086.659,44.14731401,17.49529475,30..60cm,19.0,3.0,33.0,59.0,26.0,91.0,22.0,5.0,40.0,1520.0,1390.0,1610.0,1.4,0.4,2.6,8.6,7.9,9.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2086.659,44.14731401,17.49529475,60..100cm,20.0,3.0,33.0,57.0,22.0,92.0,23.0,5.0,42.0,1560.0,1420.0,1690.0,1.0,0.3,1.9,8.6,7.9,9.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3129.988,44.1563189,17.49613404,0..30cm,15.0,4.0,29.0,64.0,41.0,86.0,21.0,9.0,34.0,1490.0,1330.0,1650.0,1.5,0.6,2.2,8.4,7.9,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3129.988,44.1563189,17.49613404,30..60cm,18.0,3.0,34.0,61.0,32.0,89.0,22.0,6.0,37.0,1520.0,1390.0,1620.0,1.4,0.3,2.8,8.6,8.1,9.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3129.988,44.1563189,17.49613404,60..100cm,18.0,3.0,32.0,60.0,27.0,89.0,22.0,6.0,38.0,1560.0,1430.0,1670.0,1.0,0.2,2.5,8.6,7.9,9.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4173.317,44.16385658,17.50135292,0..30cm,17.0,5.0,26.0,61.0,42.0,84.0,23.0,8.0,35.0,1490.0,1350.0,1630.0,3.0,1.5,5.1,8.7,8.0,9.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4173.317,44.16385658,17.50135292,30..60cm,20.0,5.0,33.0,57.0,34.0,86.0,24.0,8.0,35.0,1530.0,1380.0,1630.0,2.0,1.2,3.3,8.7,8.1,9.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4173.317,44.16385658,17.50135292,60..100cm,20.0,5.0,33.0,56.0,32.0,84.0,24.0,8.0,35.0,1550.0,1400.0,1660.0,1.5,0.8,2.3,8.8,8.3,9.5
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5216.647,44.17149358,17.50643926,0..30cm,14.0,2.0,26.0,65.0,42.0,86.0,21.0,7.0,34.0,1480.0,1330.0,1660.0,1.7,0.9,3.0,8.6,8.0,9.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5216.647,44.17149358,17.50643926,30..60cm,17.0,3.0,32.0,62.0,35.0,89.0,21.0,6.0,36.0,1520.0,1350.0,1620.0,1.3,0.5,2.5,8.6,8.1,9.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5216.647,44.17149358,17.50643926,60..100cm,18.0,3.0,32.0,61.0,32.0,89.0,21.0,7.0,35.0,1550.0,1420.0,1660.0,1.0,0.3,2.1,8.7,8.0,9.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6259.976,44.17936761,17.50996945,0..30cm,16.0,5.0,27.0,62.0,42.0,85.0,22.0,9.0,31.0,1470.0,1330.0,1620.0,2.7,1.4,4.8,8.6,7.8,9.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6259.976,44.17936761,17.50996945,30..60cm,19.0,6.0,32.0,59.0,36.0,86.0,22.0,8.0,34.0,1500.0,1370.0,1610.0,1.7,0.5,3.3,8.7,8.1,9.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6259.976,44.17936761,17.50996945,60..100cm,19.0,6.0,34.0,58.0,32.0,84.0,23.0,8.0,35.0,1530.0,1400.0,1660.0,1.2,0.5,2.1,8.7,8.0,9.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7303.305,44.18499257,17.51505813,0..30cm,16.0,1.0,30.0,61.0,32.0,85.0,23.0,10.0,34.0,1490.0,1330.0,1640.0,1.9,0.6,4.7,8.6,8.2,9.2
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7303.305,44.18499257,17.51505813,30..60cm,20.0,2.0,34.0,57.0,27.0,91.0,23.0,5.0,40.0,1520.0,1370.0,1650.0,1.7,0.2,6.4,8.8,8.1,9.6
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7303.305,44.18499257,17.51505813,60..100cm,20.0,2.0,35.0,56.0,22.0,91.0,23.0,5.0,43.0,1570.0,1460.0,1700.0,1.6,0.3,3.7,8.8,7.9,9.6
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8346.635,44.1927738,17.51940244,0..30cm,17.0,4.0,30.0,60.0,34.0,86.0,23.0,9.0,36.0,1490.0,1340.0,1650.0,1.6,0.6,3.0,8.5,7.9,9.1
