sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,40.61861346,21.36732179,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,40.61861346,21.36732179,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,40.61861346,21.36732179,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.091,40.61242242,21.36985488,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.091,40.61242242,21.36985488,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.091,40.61242242,21.36985488,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2062.181,40.60526631,21.37562735,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2062.181,40.60526631,21.37562735,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2062.181,40.60526631,21.37562735,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3093.272,40.59751065,21.37410042,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3093.272,40.59751065,21.37410042,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3093.272,40.59751065,21.37410042,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4124.362,40.58901485,21.37398053,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4124.362,40.58901485,21.37398053,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4124.362,40.58901485,21.37398053,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4771.4,40.58404573,21.37687675,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4771.4,40.58404573,21.37687675,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4771.4,40.58404573,21.37687675,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5155.453,40.58102886,21.37863476,0..30cm,20.0,8.0,31.0,60.0,40.0,80.0,21.0,11.0,30.0,1470.0,1310.0,1620.0,2.0,0.8,4.2,8.5,8.0,9.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5155.453,40.58102886,21.37863476,30..60cm,20.0,6.0,32.0,58.0,37.0,85.0,22.0,8.0,35.0,1500.0,1310.0,1690.0,1.5,0.5,3.1,8.6,8.0,9.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5155.453,40.58102886,21.37863476,60..100cm,21.0,6.0,37.0,56.0,25.0,88.0,23.0,7.0,39.0,1560.0,1350.0,1740.0,1.4,0.1,3.3,8.6,8.0,9.4
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6186.544,40.57279148,21.38310488,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6186.544,40.57279148,21.38310488,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6186.544,40.57279148,21.38310488,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7217.634,40.56524076,21.38847149,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7217.634,40.56524076,21.38847149,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7217.634,40.56524076,21.38847149,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8248.725,40.55693695,21.39292574,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8248.725,40.55693695,21.39292574,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8248.725,40.55693695,21.39292574,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9279.815,40.54944898,21.39833654,0..30cm,21.0,9.0,29.0,58.0,41.0,81.0,21.0,9.0,34.0,1500.0,1400.0,1610.0,3.7,1.6,6.8,8.5,7.9,9.0
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9279.815,40.54944898,21.39833654,30..60cm,22.0,11.0,33.0,54.0,35.0,76.0,24.0,13.0,36.0,1530.0,1390.0,1650.0,3.1,1.3,5.4,8.6,8.1,9.2
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9279.815,40.54944898,21.39833654,60..100cm,23.0,10.0,34.0,52.0,34.0,79.0,24.0,12.0,36.0,1580.0,1420.0,1730.0,2.3,1.1,4.6,8.6,8.1,9.2
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,9542.8,40.54762541,21.39985686,0..30cm,23.0,10.0,36.0,54.0,30.0,76.0,23.0,12.0,33.0,1480.0,1340.0,1600.0,3.4,1.7,6.9,8.6,8.3,9.1
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,9542.8,40.54762541,21.39985686,30..60cm,24.0,9.0,40.0,51.0,22.0,80.0,25.0,7.0,40.0,1510.0,1350.0,1650.0,2.4,1.2,4.3,8.7,8.1,9.4
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,9542.8,40.54762541,21.39985686,60..100cm,24.0,7.0,39.0,51.0,21.0,85.0,25.0,9.0,41.0,1570.0,1380.0,1740.0,1.8,0.6,3.6,8.8,8.0,9.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,9542.8,40.54762541,21.39985686,0..30cm,23.0,10.0,36.0,54.0,30.0,76.0,23.0,12.0,33.0,1480.0,1340.0,1600.0,3.4,1.7,6.9,8.6,8.3,9.1
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,9542.8,40.54762541,21.39985686,30..60cm,24.0,9.0,40.0,51.0,22.0,80.0,25.0,7.0,40.0,1510.0,1350.0,1650.0,2.4,1.2,4.3,8.7,8.1,9.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,9542.8,40.54762541,21.39985686,60..100cm,24.0,7.0,39.0,51.0,21.0,85.0,25.0,9.0,41.0,1570.0,1380.0,1740.0,1.8,0.6,3.6,8.8,8.0,9.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,9821.5,40.54577908,21.40157836,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,9821.5,40.54577908,21.40157836,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,9821.5,40.54577908,21.40157836,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,10100.2,40.5436672,21.40277512,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,10100.2,40.5436672,21.40277512,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,10100.2,40.5436672,21.40277512,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,10100.2,40.5436672,21.40277512,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,10100.2,40.5436672,21.40277512,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,10100.2,40.5436672,21.40277512,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,11131.499,40.53516916,21.40607199,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,11131.499,40.53516916,21.40607199,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,11131.499,40.53516916,21.40607199,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,11139.75,40.53511448,21.40612297,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,11139.75,40.53511448,21.40612297,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,11139.75,40.53511448,21.40612297,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,12162.798,40.52833462,21.41244446,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,12162.798,40.52833462,21.41244446,30..60cm,,,,,,,,,,,,,,,,,,
