sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,37.03350101,36.11186913,0..30cm,30.0,19.0,41.0,35.0,22.0,52.0,35.0,21.0,46.0,1450.0,1300.0,1600.0,8.0,4.5,12.4,7.7,7.2,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,37.03350101,36.11186913,30..60cm,32.0,19.0,43.0,36.0,21.0,54.0,32.0,20.0,44.0,1530.0,1410.0,1670.0,3.9,2.5,7.4,7.6,7.0,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,37.03350101,36.11186913,60..100cm,33.0,21.0,47.0,37.0,20.0,54.0,30.0,17.0,44.0,1540.0,1410.0,1710.0,2.5,1.1,4.7,7.6,6.9,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,37.03365156,36.11186913,0..30cm,30.0,19.0,41.0,35.0,22.0,52.0,35.0,21.0,46.0,1450.0,1300.0,1600.0,8.0,4.5,12.4,7.7,7.2,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,37.03365156,36.11186913,30..60cm,32.0,19.0,43.0,36.0,21.0,54.0,32.0,20.0,44.0,1530.0,1410.0,1670.0,3.9,2.5,7.4,7.6,7.0,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,37.03365156,36.11186913,60..100cm,33.0,21.0,47.0,37.0,20.0,54.0,30.0,17.0,44.0,1540.0,1410.0,1710.0,2.5,1.1,4.7,7.6,6.9,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,37.03380211,36.11186913,0..30cm,30.0,19.0,41.0,35.0,22.0,52.0,35.0,21.0,46.0,1450.0,1300.0,1600.0,8.0,4.5,12.4,7.7,7.2,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,37.03380211,36.11186913,30..60cm,32.0,19.0,43.0,36.0,21.0,54.0,32.0,20.0,44.0,1530.0,1410.0,1670.0,3.9,2.5,7.4,7.6,7.0,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,37.03380211,36.11186913,60..100cm,33.0,21.0,47.0,37.0,20.0,54.0,30.0,17.0,44.0,1540.0,1410.0,1710.0,2.5,1.1,4.7,7.6,6.9,8.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,37.03380211,36.11186913,0..30cm,30.0,19.0,41.0,35.0,22.0,52.0,35.0,21.0,46.0,1450.0,1300.0,1600.0,8.0,4.5,12.4,7.7,7.2,8.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,37.03380211,36.11186913,30..60cm,32.0,19.0,43.0,36.0,21.0,54.0,32.0,20.0,44.0,1530.0,1410.0,1670.0,3.9,2.5,7.4,7.6,7.0,8.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,37.03380211,36.11186913,60..100cm,33.0,21.0,47.0,37.0,20.0,54.0,30.0,17.0,44.0,1540.0,1410.0,1710.0,2.5,1.1,4.7,7.6,6.9,8.4
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1074.966,37.04390544,36.11446419,0..30cm,28.0,17.0,41.0,38.0,16.0,61.0,34.0,18.0,48.0,1460.0,1320.0,1620.0,8.7,5.6,13.2,7.6,7.1,8.1
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1074.966,37.04390544,36.11446419,30..60cm,30.0,17.0,42.0,39.0,19.0,62.0,31.0,16.0,42.0,1570.0,1430.0,1710.0,4.4,2.3,7.8,7.5,6.9,8.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1074.966,37.04390544,36.11446419,60..100cm,31.0,17.0,45.0,41.0,18.0,63.0,28.0,15.0,42.0,1600.0,1440.0,1790.0,2.5,1.2,4.5,7.5,6.7,8.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2121.632,37.05397805,36.11438705,0..30cm,27.0,16.0,36.0,40.0,21.0,61.0,33.0,20.0,49.0,1390.0,1250.0,1560.0,7.6,4.1,13.3,7.7,7.2,8.2
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2121.632,37.05397805,36.11438705,30..60cm,29.0,17.0,41.0,42.0,20.0,66.0,29.0,14.0,42.0,1460.0,1260.0,1620.0,3.5,1.8,7.2,7.7,7.0,8.4
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2121.632,37.05397805,36.11438705,60..100cm,30.0,16.0,45.0,43.0,23.0,66.0,26.0,12.0,37.0,1460.0,1230.0,1620.0,2.1,1.0,3.6,7.7,7.0,8.4
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3168.299,37.06124755,36.12048642,0..30cm,25.0,13.0,33.0,42.0,21.0,64.0,33.0,20.0,48.0,1380.0,1250.0,1540.0,5.1,3.1,7.9,7.7,7.2,8.2
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3168.299,37.06124755,36.12048642,30..60cm,27.0,14.0,38.0,44.0,26.0,67.0,29.0,13.0,43.0,1460.0,1260.0,1620.0,3.5,1.8,6.7,7.8,7.1,8.4
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3168.299,37.06124755,36.12048642,60..100cm,28.0,15.0,45.0,46.0,27.0,68.0,26.0,11.0,38.0,1460.0,1240.0,1630.0,2.6,0.8,5.5,7.8,7.0,8.4
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4214.965,37.07089347,36.12266385,0..30cm,25.0,13.0,37.0,42.0,20.0,66.0,32.0,16.0,49.0,1370.0,1240.0,1520.0,4.7,2.5,9.0,7.8,7.3,8.3
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4214.965,37.07089347,36.12266385,30..60cm,26.0,12.0,40.0,47.0,18.0,79.0,27.0,10.0,47.0,1440.0,1260.0,1610.0,3.2,1.5,6.6,7.9,7.4,8.5
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4214.965,37.07089347,36.12266385,60..100cm,27.0,11.0,45.0,48.0,19.0,76.0,25.0,6.0,41.0,1430.0,1220.0,1620.0,2.5,0.8,5.5,7.9,7.0,8.5
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,5261.631,37.07601725,36.12959336,0..30cm,27.0,14.0,40.0,41.0,21.0,61.0,32.0,17.0,46.0,1390.0,1250.0,1540.0,6.5,4.1,10.5,7.7,7.4,8.2
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,5261.631,37.07601725,36.12959336,30..60cm,29.0,16.0,45.0,44.0,21.0,69.0,27.0,12.0,44.0,1470.0,1270.0,1620.0,3.6,2.1,6.9,7.8,7.2,8.3
