sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.43329329,33.58332254,0..30cm,27.0,14.0,38.0,40.0,18.0,64.0,33.0,18.0,47.0,1430.0,1310.0,1560.0,5.1,2.9,8.2,7.9,7.5,8.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.43329329,33.58332254,30..60cm,28.0,14.0,40.0,42.0,21.0,65.0,31.0,20.0,42.0,1480.0,1360.0,1600.0,3.2,1.7,5.1,8.2,7.6,8.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.43329329,33.58332254,60..100cm,28.0,13.0,43.0,43.0,21.0,68.0,30.0,16.0,43.0,1500.0,1370.0,1620.0,2.1,1.0,3.4,8.3,7.7,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1041.104,36.42590714,33.57798904,0..30cm,28.0,15.0,41.0,39.0,14.0,66.0,33.0,18.0,47.0,1440.0,1320.0,1590.0,4.2,2.1,7.4,8.0,7.5,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1041.104,36.42590714,33.57798904,30..60cm,29.0,12.0,44.0,38.0,14.0,65.0,33.0,20.0,45.0,1480.0,1350.0,1600.0,2.8,1.3,5.5,8.2,7.5,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1041.104,36.42590714,33.57798904,60..100cm,29.0,11.0,45.0,38.0,18.0,65.0,32.0,19.0,45.0,1490.0,1330.0,1620.0,2.0,0.9,4.4,8.3,7.7,9.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2082.209,36.41680859,33.57333619,0..30cm,24.0,12.0,36.0,46.0,21.0,69.0,30.0,16.0,45.0,1430.0,1310.0,1570.0,3.5,2.1,5.8,8.0,7.5,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2082.209,36.41680859,33.57333619,30..60cm,26.0,12.0,41.0,46.0,18.0,68.0,29.0,17.0,42.0,1490.0,1360.0,1620.0,2.9,1.3,5.2,8.2,7.2,9.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2082.209,36.41680859,33.57333619,60..100cm,26.0,10.0,42.0,46.0,19.0,71.0,28.0,11.0,43.0,1500.0,1350.0,1690.0,2.2,0.8,4.1,8.3,7.0,9.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3123.313,36.40795069,33.5685121,0..30cm,20.0,10.0,32.0,55.0,34.0,77.0,25.0,11.0,42.0,1460.0,1310.0,1590.0,2.4,1.0,5.2,7.9,7.4,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3123.313,36.40795069,33.5685121,30..60cm,23.0,9.0,38.0,51.0,29.0,77.0,26.0,9.0,39.0,1540.0,1380.0,1710.0,2.0,0.7,4.0,8.1,7.1,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3123.313,36.40795069,33.5685121,60..100cm,24.0,9.0,40.0,50.0,25.0,76.0,26.0,11.0,41.0,1560.0,1420.0,1710.0,1.6,0.5,3.3,8.1,6.9,9.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4164.418,36.3983574,33.56514595,0..30cm,21.0,6.0,32.0,54.0,29.0,75.0,25.0,13.0,41.0,1450.0,1310.0,1590.0,2.7,1.0,5.4,7.8,7.4,8.3
