sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.66790462,35.19589658,0..30cm,28.0,17.0,38.0,37.0,13.0,64.0,34.0,18.0,54.0,1390.0,1260.0,1540.0,5.9,2.7,11.3,7.6,7.0,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.66790462,35.19589658,30..60cm,31.0,18.0,43.0,38.0,11.0,62.0,32.0,17.0,48.0,1510.0,1300.0,1700.0,3.8,1.9,6.8,7.6,7.0,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.66790462,35.19589658,60..100cm,31.0,19.0,46.0,40.0,15.0,68.0,29.0,15.0,48.0,1510.0,1300.0,1680.0,2.6,1.3,4.4,7.6,6.7,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1029.99,36.67489285,35.18927189,0..30cm,29.0,16.0,38.0,38.0,15.0,56.0,34.0,20.0,51.0,1400.0,1260.0,1520.0,9.2,5.2,17.0,7.7,7.0,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1029.99,36.67489285,35.18927189,30..60cm,30.0,17.0,43.0,39.0,17.0,62.0,31.0,16.0,45.0,1500.0,1290.0,1640.0,4.0,2.1,6.3,7.6,7.0,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1029.99,36.67489285,35.18927189,60..100cm,30.0,19.0,43.0,41.0,17.0,68.0,29.0,11.0,45.0,1490.0,1290.0,1640.0,2.9,1.6,4.7,7.7,6.8,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2059.98,36.68266462,35.18290515,0..30cm,28.0,18.0,39.0,38.0,14.0,63.0,34.0,18.0,50.0,1420.0,1260.0,1550.0,11.1,6.4,18.8,7.5,6.9,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2059.98,36.68266462,35.18290515,30..60cm,30.0,17.0,40.0,39.0,15.0,65.0,31.0,15.0,47.0,1560.0,1420.0,1690.0,4.8,2.9,7.9,7.4,6.3,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2059.98,36.68266462,35.18290515,60..100cm,31.0,16.0,40.0,41.0,15.0,69.0,29.0,14.0,47.0,1570.0,1390.0,1790.0,2.9,1.6,5.3,7.5,6.5,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3089.97,36.69052788,35.17664342,0..30cm,29.0,15.0,40.0,37.0,11.0,68.0,34.0,16.0,51.0,1430.0,1250.0,1600.0,10.8,6.2,18.8,7.5,6.8,8.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3089.97,36.69052788,35.17664342,30..60cm,31.0,16.0,41.0,37.0,10.0,70.0,32.0,12.0,49.0,1550.0,1380.0,1690.0,4.6,2.8,7.0,7.4,6.4,8.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3089.97,36.69052788,35.17664342,60..100cm,32.0,13.0,44.0,38.0,12.0,73.0,30.0,11.0,51.0,1560.0,1430.0,1770.0,2.7,1.4,5.0,7.5,6.6,8.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4119.961,36.70019762,35.1733109,0..30cm,29.0,19.0,39.0,37.0,15.0,63.0,34.0,16.0,47.0,1420.0,1330.0,1530.0,9.8,5.4,17.7,7.7,7.1,8.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4119.961,36.70019762,35.1733109,30..60cm,31.0,15.0,41.0,38.0,15.0,66.0,32.0,14.0,46.0,1550.0,1420.0,1690.0,4.1,2.1,6.5,7.7,7.1,8.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4119.961,36.70019762,35.1733109,60..100cm,31.0,15.0,43.0,38.0,16.0,68.0,31.0,16.0,45.0,1560.0,1410.0,1710.0,2.6,1.4,4.3,7.8,6.8,8.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5149.951,36.70700793,35.16840464,0..30cm,30.0,19.0,40.0,36.0,11.0,57.0,34.0,18.0,50.0,1430.0,1270.0,1540.0,8.9,5.1,16.2,7.7,7.0,8.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5149.951,36.70700793,35.16840464,30..60cm,32.0,19.0,43.0,35.0,13.0,60.0,34.0,14.0,46.0,1560.0,1360.0,1740.0,4.6,2.4,7.2,7.7,7.1,8.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5149.951,36.70700793,35.16840464,60..100cm,32.0,19.0,46.0,35.0,14.0,55.0,33.0,15.0,45.0,1580.0,1380.0,1790.0,2.9,1.5,5.0,7.7,6.9,8.6
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6179.941,36.70846582,35.15967429,0..30cm,30.0,17.0,39.0,36.0,14.0,63.0,34.0,17.0,50.0,1420.0,1240.0,1580.0,9.5,5.8,16.8,7.6,7.0,8.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6179.941,36.70846582,35.15967429,30..60cm,32.0,19.0,42.0,35.0,14.0,60.0,34.0,14.0,46.0,1520.0,1350.0,1680.0,4.5,2.8,7.3,7.5,6.8,8.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6179.941,36.70846582,35.15967429,60..100cm,32.0,18.0,45.0,35.0,15.0,55.0,33.0,16.0,47.0,1520.0,1390.0,1710.0,2.8,1.6,4.8,7.5,6.8,8.3
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6713.8,36.71078345,35.15551709,0..30cm,30.0,20.0,37.0,35.0,15.0,58.0,35.0,17.0,49.0,1430.0,1240.0,1560.0,10.0,5.7,16.2,7.6,7.1,8.2
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6713.8,36.71078345,35.15551709,30..60cm,32.0,20.0,42.0,35.0,15.0,60.0,33.0,15.0,48.0,1550.0,1400.0,1670.0,4.5,2.6,7.3,7.6,6.9,8.4
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6713.8,36.71078345,35.15551709,60..100cm,33.0,20.0,45.0,36.0,16.0,56.0,31.0,12.0,47.0,1550.0,1410.0,1700.0,2.7,1.4,4.7,7.6,6.9,8.6
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7209.931,36.71331369,35.15173141,0..30cm,31.0,18.0,40.0,34.0,14.0,62.0,35.0,16.0,47.0,1390.0,1250.0,1520.0,5.0,2.5,8.6,7.7,7.1,8.3
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7209.931,36.71331369,35.15173141,30..60cm,32.0,16.0,45.0,36.0,14.0,66.0,32.0,14.0,47.0,1500.0,1330.0,1620.0,3.5,1.9,6.3,7.6,7.1,8.3
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7209.931,36.71331369,35.15173141,60..100cm,32.0,15.0,46.0,38.0,16.0,63.0,30.0,13.0,45.0,1490.0,1290.0,1630.0,2.7,1.0,5.3,7.6,6.8,8.4
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8239.921,36.71995238,35.14514612,0..30cm,28.0,17.0,38.0,38.0,17.0,59.0,33.0,16.0,47.0,1390.0,1270.0,1480.0,4.8,2.6,8.3,7.8,7.3,8.2
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8239.921,36.71995238,35.14514612,30..60cm,30.0,15.0,44.0,39.0,16.0,64.0,31.0,16.0,45.0,1490.0,1360.0,1610.0,3.4,1.9,5.8,7.7,7.2,8.4
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8239.921,36.71995238,35.14514612,60..100cm,31.0,15.0,45.0,40.0,18.0,63.0,29.0,13.0,45.0,1490.0,1320.0,1620.0,2.4,1.1,4.5,7.8,6.9,8.6
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9269.911,36.7292172,35.14407511,0..30cm,29.0,17.0,41.0,37.0,14.0,60.0,33.0,18.0,48.0,1390.0,1270.0,1520.0,5.1,2.5,9.3,7.7,7.3,8.2
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9269.911,36.7292172,35.14407511,30..60cm,32.0,17.0,44.0,37.0,16.0,62.0,32.0,16.0,45.0,1500.0,1310.0,1620.0,3.5,1.7,6.5,7.7,7.2,8.4
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9269.911,36.7292172,35.14407511,60..100cm,32.0,17.0,47.0,38.0,19.0,62.0,29.0,14.0,45.0,1490.0,1310.0,1640.0,2.4,1.0,4.6,7.7,6.9,8.4
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10299.901,36.73864206,35.14382047,0..30cm,28.0,15.0,38.0,38.0,14.0,65.0,34.0,17.0,51.0,1380.0,1250.0,1520.0,9.5,3.9,20.6,7.8,7.4,8.3
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10299.901,36.73864206,35.14382047,30..60cm,30.0,16.0,40.0,39.0,18.0,71.0,31.0,16.0,43.0,1480.0,1310.0,1610.0,3.9,2.2,6.2,7.7,7.2,8.4
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10299.901,36.73864206,35.14382047,60..100cm,31.0,16.0,45.0,41.0,20.0,70.0,28.0,13.0,40.0,1480.0,1310.0,1610.0,3.0,1.6,5.9,7.8,6.9,8.6
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11329.891,36.73908143,35.13497765,0..30cm,29.0,16.0,42.0,38.0,17.0,60.0,33.0,18.0,48.0,1390.0,1260.0,1500.0,4.7,2.4,8.3,7.8,7.4,8.2
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11329.891,36.73908143,35.13497765,30..60cm,31.0,19.0,44.0,38.0,17.0,61.0,31.0,17.0,44.0,1480.0,1330.0,1610.0,3.1,1.6,5.6,7.7,7.1,8.3
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11329.891,36.73908143,35.13497765,60..100cm,32.0,17.0,46.0,39.0,19.0,64.0,29.0,12.0,45.0,1480.0,1290.0,1650.0,2.4,1.0,4.7,7.7,6.9,8.4
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12359.882,36.74487555,35.13092879,0..30cm,26.0,14.0,38.0,43.0,19.0,67.0,31.0,15.0,48.0,1390.0,1260.0,1500.0,3.7,2.0,6.2,7.8,7.4,8.3
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12359.882,36.74487555,35.13092879,30..60cm,27.0,11.0,42.0,45.0,15.0,76.0,28.0,10.0,46.0,1460.0,1280.0,1630.0,2.7,1.0,5.9,7.7,7.1,8.4
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12359.882,36.74487555,35.13092879,60..100cm,28.0,13.0,42.0,45.0,15.0,75.0,26.0,10.0,45.0,1450.0,1250.0,1700.0,2.1,0.6,4.4,7.7,6.8,8.4
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13389.872,36.75532678,35.13142265,0..30cm,25.0,13.0,38.0,46.0,17.0,72.0,29.0,11.0,45.0,1400.0,1250.0,1530.0,4.4,2.1,8.1,7.8,7.4,8.3
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13389.872,36.75532678,35.13142265,30..60cm,27.0,12.0,40.0,46.0,16.0,72.0,27.0,12.0,46.0,1530.0,1280.0,1710.0,3.1,1.5,6.1,7.7,7.1,8.4
segment:line-1-civil-001:0014,civil_segment,line-1-civil-001,line-1,at-grade,13389.872,36.75532678,35.13142265,60..100cm,28.0,11.0,40.0,47.0,18.0,75.0,26.0,10.0,45.0,1540.0,1280.0,1720.0,2.2,0.7,4.9,7.7,6.9,8.4
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,13427.6,36.7553559,35.13171105,0..30cm,25.0,13.0,38.0,46.0,17.0,72.0,29.0,11.0,45.0,1400.0,1250.0,1530.0,4.4,2.1,8.1,7.8,7.4,8.3
segment:line-1-civil-001:0015,civil_segment,line-1-civil-001,line-1,at-grade,13427.6,36.7553559,35.13171105,30..60cm,27.0,12.0,40.0,46.0,16.0,72.0,27.0,12.0,46.0,1530.0,1280.0,1710.0,3.1,1.5,6.1,7.7,7.1,8.4
