sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,36.67356166,34.74686751,0..30cm,31.0,20.0,41.0,30.0,12.0,50.0,39.0,26.0,53.0,1400.0,1280.0,1520.0,4.4,1.9,9.2,7.9,7.4,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,36.67356166,34.74686751,30..60cm,33.0,21.0,44.0,29.0,11.0,47.0,37.0,25.0,49.0,1500.0,1340.0,1640.0,3.3,1.4,6.6,7.8,7.1,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,36.67356166,34.74686751,60..100cm,34.0,23.0,46.0,31.0,8.0,49.0,35.0,23.0,48.0,1500.0,1340.0,1660.0,2.5,0.9,5.3,7.8,6.9,8.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,36.67345223,34.74695759,0..30cm,31.0,20.0,41.0,30.0,12.0,50.0,39.0,26.0,53.0,1400.0,1280.0,1520.0,4.4,1.9,9.2,7.9,7.4,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,36.67345223,34.74695759,30..60cm,33.0,21.0,44.0,29.0,11.0,47.0,37.0,25.0,49.0,1500.0,1340.0,1640.0,3.3,1.4,6.6,7.8,7.1,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,36.67345223,34.74695759,60..100cm,34.0,23.0,46.0,31.0,8.0,49.0,35.0,23.0,48.0,1500.0,1340.0,1660.0,2.5,0.9,5.3,7.8,6.9,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,36.67334271,34.74704748,0..30cm,30.0,19.0,41.0,32.0,12.0,53.0,38.0,26.0,53.0,1400.0,1250.0,1530.0,9.1,4.9,18.5,7.9,7.4,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,36.67334271,34.74704748,30..60cm,32.0,21.0,44.0,32.0,14.0,47.0,36.0,26.0,47.0,1510.0,1330.0,1670.0,5.0,2.7,8.4,7.9,7.1,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,36.67334271,34.74704748,60..100cm,33.0,22.0,46.0,33.0,15.0,50.0,34.0,21.0,45.0,1510.0,1300.0,1690.0,3.1,1.8,4.9,7.9,6.9,8.5
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,36.67334271,34.74704748,0..30cm,30.0,19.0,41.0,32.0,12.0,53.0,38.0,26.0,53.0,1400.0,1250.0,1530.0,9.1,4.9,18.5,7.9,7.4,8.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,36.67334271,34.74704748,30..60cm,32.0,21.0,44.0,32.0,14.0,47.0,36.0,26.0,47.0,1510.0,1330.0,1670.0,5.0,2.7,8.4,7.9,7.1,8.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,36.67334271,34.74704748,60..100cm,33.0,22.0,46.0,33.0,15.0,50.0,34.0,21.0,45.0,1510.0,1300.0,1690.0,3.1,1.8,4.9,7.9,6.9,8.5
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,821.55,36.66700341,34.74549471,0..30cm,30.0,18.0,41.0,33.0,14.0,53.0,37.0,21.0,50.0,1400.0,1240.0,1540.0,8.3,4.0,17.2,7.9,7.4,8.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,821.55,36.66700341,34.74549471,30..60cm,32.0,19.0,43.0,33.0,14.0,50.0,35.0,25.0,48.0,1500.0,1300.0,1650.0,4.6,2.5,7.6,7.9,7.1,8.4
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,821.55,36.66700341,34.74549471,60..100cm,32.0,20.0,45.0,34.0,15.0,56.0,33.0,18.0,47.0,1500.0,1290.0,1690.0,3.0,1.7,5.0,7.9,6.9,8.6
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,1028.186,36.66809645,34.74400626,0..30cm,29.0,17.0,40.0,35.0,14.0,55.0,36.0,21.0,48.0,1400.0,1210.0,1580.0,7.6,3.7,14.2,7.9,7.3,8.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,1028.186,36.66809645,34.74400626,30..60cm,31.0,19.0,42.0,34.0,12.0,54.0,35.0,23.0,48.0,1530.0,1350.0,1690.0,4.4,2.7,7.0,7.8,7.1,8.4
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,1028.186,36.66809645,34.74400626,60..100cm,32.0,19.0,44.0,35.0,14.0,58.0,33.0,20.0,46.0,1550.0,1410.0,1690.0,2.9,1.7,4.9,7.8,6.9,8.6
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,1614.8,36.67138218,34.73984339,0..30cm,29.0,19.0,38.0,33.0,13.0,51.0,37.0,21.0,50.0,1400.0,1240.0,1570.0,9.7,5.4,15.5,7.8,7.2,8.2
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,1614.8,36.67138218,34.73984339,30..60cm,31.0,19.0,41.0,33.0,10.0,54.0,36.0,23.0,49.0,1540.0,1360.0,1680.0,4.8,2.6,7.3,7.8,7.0,8.4
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,1614.8,36.67138218,34.73984339,60..100cm,32.0,18.0,44.0,35.0,13.0,60.0,33.0,18.0,48.0,1550.0,1430.0,1710.0,2.9,1.5,5.1,7.7,6.9,8.4
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,1614.8,36.67138218,34.73984339,0..30cm,29.0,19.0,38.0,33.0,13.0,51.0,37.0,21.0,50.0,1400.0,1240.0,1570.0,9.7,5.4,15.5,7.8,7.2,8.2
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,1614.8,36.67138218,34.73984339,30..60cm,31.0,19.0,41.0,33.0,10.0,54.0,36.0,23.0,49.0,1540.0,1360.0,1680.0,4.8,2.6,7.3,7.8,7.0,8.4
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,1614.8,36.67138218,34.73984339,60..100cm,32.0,18.0,44.0,35.0,13.0,60.0,33.0,18.0,48.0,1550.0,1430.0,1710.0,2.9,1.5,5.1,7.7,6.9,8.4
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,1954.2,36.67400678,34.73768273,0..30cm,30.0,19.0,37.0,33.0,13.0,50.0,37.0,24.0,50.0,1430.0,1290.0,1570.0,8.4,5.0,14.5,7.8,7.3,8.2
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,1954.2,36.67400678,34.73768273,30..60cm,31.0,19.0,40.0,33.0,12.0,49.0,36.0,25.0,47.0,1550.0,1350.0,1710.0,4.5,2.7,6.8,7.7,7.1,8.3
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,1954.2,36.67400678,34.73768273,60..100cm,32.0,19.0,42.0,35.0,15.0,56.0,33.0,19.0,45.0,1550.0,1350.0,1700.0,2.9,1.5,5.0,7.7,6.9,8.4
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,2293.6,36.67663513,34.73552964,0..30cm,29.0,18.0,37.0,34.0,16.0,51.0,37.0,24.0,49.0,1410.0,1230.0,1580.0,9.6,5.3,14.9,7.8,7.2,8.3
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,2293.6,36.67663513,34.73552964,30..60cm,31.0,19.0,39.0,34.0,15.0,54.0,35.0,23.0,48.0,1520.0,1340.0,1650.0,5.0,2.9,7.2,7.7,7.0,8.3
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,2293.6,36.67663513,34.73552964,60..100cm,32.0,19.0,44.0,35.0,14.0,60.0,33.0,16.0,46.0,1520.0,1410.0,1700.0,3.2,1.7,5.1,7.6,6.9,8.4
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,at-grade,2293.6,36.67663513,34.73552964,0..30cm,29.0,18.0,37.0,34.0,16.0,51.0,37.0,24.0,49.0,1410.0,1230.0,1580.0,9.6,5.3,14.9,7.8,7.2,8.3
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,at-grade,2293.6,36.67663513,34.73552964,30..60cm,31.0,19.0,39.0,34.0,15.0,54.0,35.0,23.0,48.0,1520.0,1340.0,1650.0,5.0,2.9,7.2,7.7,7.0,8.3
