sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.70215473,35.97723394,0..30cm,26.0,13.0,38.0,39.0,19.0,65.0,35.0,20.0,50.0,1390.0,1270.0,1540.0,7.4,3.7,12.0,7.7,6.7,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.70215473,35.97723394,30..60cm,29.0,15.0,43.0,40.0,19.0,66.0,30.0,16.0,46.0,1490.0,1300.0,1660.0,3.8,1.9,6.0,7.6,6.8,8.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.70215473,35.97723394,60..100cm,30.0,12.0,44.0,43.0,21.0,69.0,27.0,11.0,41.0,1490.0,1290.0,1670.0,2.8,1.3,4.8,7.7,6.8,8.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.08,36.69416707,35.97383216,0..30cm,30.0,15.0,41.0,32.0,13.0,60.0,38.0,20.0,52.0,1460.0,1320.0,1620.0,7.5,4.7,10.9,7.6,6.7,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.08,36.69416707,35.97383216,30..60cm,32.0,17.0,45.0,33.0,12.0,64.0,34.0,19.0,46.0,1580.0,1450.0,1720.0,3.9,2.3,6.0,7.5,6.4,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.08,36.69416707,35.97383216,60..100cm,34.0,16.0,48.0,35.0,10.0,68.0,31.0,12.0,44.0,1590.0,1450.0,1790.0,3.0,1.5,4.9,7.5,6.7,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.159,36.68825388,35.96751577,0..30cm,30.0,17.0,39.0,31.0,11.0,57.0,39.0,20.0,55.0,1470.0,1320.0,1630.0,7.9,4.7,12.0,7.5,6.8,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.159,36.68825388,35.96751577,30..60cm,32.0,19.0,46.0,33.0,13.0,64.0,35.0,17.0,47.0,1610.0,1480.0,1770.0,4.1,2.4,6.7,7.6,6.8,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.159,36.68825388,35.96751577,60..100cm,33.0,13.0,48.0,36.0,14.0,68.0,31.0,11.0,47.0,1620.0,1450.0,1810.0,3.0,1.8,4.8,7.7,6.8,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2997.239,36.68107617,35.96191101,0..30cm,30.0,18.0,41.0,34.0,17.0,54.0,37.0,18.0,49.0,1470.0,1340.0,1620.0,7.7,4.2,12.2,7.2,6.4,8.0
