sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,42.97492355,14.81798484,0..30cm,13.0,1.0,24.0,71.0,49.0,91.0,16.0,3.0,27.0,1400.0,1080.0,1640.0,2.9,1.1,7.0,8.5,8.0,9.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,42.97492355,14.81798484,30..60cm,14.0,2.0,23.0,69.0,48.0,91.0,17.0,4.0,30.0,1510.0,1360.0,1660.0,1.3,0.1,3.0,8.5,8.0,9.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,42.97492355,14.81798484,60..100cm,14.0,2.0,26.0,68.0,47.0,90.0,18.0,4.0,35.0,1550.0,1340.0,1760.0,1.3,0.2,2.8,8.5,8.1,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.178,42.97227516,14.81083154,0..30cm,12.0,0.0,23.0,73.0,49.0,94.0,15.0,4.0,29.0,1400.0,1050.0,1670.0,2.7,1.1,5.7,8.7,8.1,9.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.178,42.97227516,14.81083154,30..60cm,13.0,1.0,22.0,71.0,49.0,92.0,16.0,4.0,28.0,1510.0,1340.0,1640.0,1.3,0.0,3.0,8.7,8.2,9.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.178,42.97227516,14.81083154,60..100cm,13.0,1.0,25.0,70.0,47.0,92.0,17.0,5.0,35.0,1550.0,1360.0,1770.0,1.2,0.0,2.7,8.7,8.1,9.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.356,42.96706247,14.80749217,0..30cm,17.0,3.0,31.0,61.0,35.0,87.0,21.0,7.0,35.0,1410.0,1060.0,1670.0,2.7,1.1,5.5,8.4,7.9,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.356,42.96706247,14.80749217,30..60cm,18.0,3.0,30.0,60.0,29.0,88.0,22.0,6.0,37.0,1500.0,1330.0,1640.0,1.4,0.1,2.8,8.6,8.0,9.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.356,42.96706247,14.80749217,60..100cm,18.0,3.0,33.0,59.0,27.0,87.0,23.0,6.0,38.0,1540.0,1330.0,1760.0,1.3,0.3,2.7,8.7,8.0,9.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3003.533,42.96120336,14.80628704,0..30cm,,,,,,,,,,,,,,,,,,
