sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,49.04230978,14.48727901,0..30cm,13.0,3.0,23.0,69.0,43.0,85.0,18.0,7.0,30.0,1460.0,1260.0,1670.0,2.3,0.9,4.7,8.5,8.1,8.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,49.04230978,14.48727901,30..60cm,16.0,3.0,28.0,64.0,41.0,89.0,20.0,4.0,34.0,1520.0,1360.0,1660.0,1.3,0.3,3.3,8.6,8.3,9.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,49.04230978,14.48727901,60..100cm,17.0,4.0,33.0,62.0,32.0,90.0,21.0,5.0,37.0,1580.0,1450.0,1710.0,1.0,0.0,2.2,8.6,8.1,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.59,49.04290106,14.48202658,0..30cm,13.0,5.0,25.0,69.0,46.0,86.0,18.0,6.0,29.0,1470.0,1270.0,1670.0,2.2,0.7,5.2,8.6,8.0,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.59,49.04290106,14.48202658,30..60cm,16.0,4.0,27.0,67.0,40.0,90.0,18.0,5.0,32.0,1520.0,1370.0,1660.0,1.3,0.3,2.9,8.6,8.2,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.59,49.04290106,14.48202658,60..100cm,16.0,4.0,32.0,65.0,37.0,89.0,19.0,5.0,33.0,1570.0,1420.0,1710.0,1.0,0.0,2.4,8.7,8.2,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.181,49.05017872,14.48141127,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.181,49.05017872,14.48141127,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.181,49.05017872,14.48141127,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2809.0,49.05470156,14.48687641,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2809.0,49.05470156,14.48687641,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2809.0,49.05470156,14.48687641,60..100cm,,,,,,,,,,,,,,,,,,
