asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality
SAY-SYS-001,sayun,system,whole railway,Sayun railway system,,,,,,"15.8754,48.717 to 16.0106,48.8576",system
SAY-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-019,line-1-019,rolling-stock,revenue,line-1 trainset 019,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-020,line-1-020,rolling-stock,revenue,line-1 trainset 020,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-021,line-1-021,rolling-stock,revenue,line-1 trainset 021,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-022,line-1-022,rolling-stock,revenue,line-1 trainset 022,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-023,line-1-023,rolling-stock,revenue,line-1 trainset 023,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-024,line-1-024,rolling-stock,revenue,line-1 trainset 024,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-025,line-1-025,rolling-stock,revenue,line-1 trainset 025,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-026,line-1-026,rolling-stock,revenue,line-1 trainset 026,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-027,line-1-027,rolling-stock,spare,line-1 trainset 027,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-028,line-1-028,rolling-stock,spare,line-1 trainset 028,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L1-029,line-1-029,rolling-stock,cold-reserve,line-1 trainset 029,line-1,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-001,line-2-001,rolling-stock,revenue,line-2 trainset 001,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-002,line-2-002,rolling-stock,revenue,line-2 trainset 002,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-003,line-2-003,rolling-stock,revenue,line-2 trainset 003,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-004,line-2-004,rolling-stock,revenue,line-2 trainset 004,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-005,line-2-005,rolling-stock,revenue,line-2 trainset 005,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-006,line-2-006,rolling-stock,revenue,line-2 trainset 006,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-007,line-2-007,rolling-stock,revenue,line-2 trainset 007,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-008,line-2-008,rolling-stock,revenue,line-2 trainset 008,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-009,line-2-009,rolling-stock,revenue,line-2 trainset 009,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-010,line-2-010,rolling-stock,revenue,line-2 trainset 010,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-011,line-2-011,rolling-stock,revenue,line-2 trainset 011,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-012,line-2-012,rolling-stock,spare,line-2 trainset 012,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L2-013,line-2-013,rolling-stock,cold-reserve,line-2 trainset 013,line-2,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-001,line-3-001,rolling-stock,revenue,line-3 trainset 001,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-002,line-3-002,rolling-stock,revenue,line-3 trainset 002,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-003,line-3-003,rolling-stock,revenue,line-3 trainset 003,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-004,line-3-004,rolling-stock,revenue,line-3 trainset 004,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-005,line-3-005,rolling-stock,revenue,line-3 trainset 005,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-006,line-3-006,rolling-stock,revenue,line-3 trainset 006,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-007,line-3-007,rolling-stock,revenue,line-3 trainset 007,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-008,line-3-008,rolling-stock,revenue,line-3 trainset 008,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-009,line-3-009,rolling-stock,revenue,line-3 trainset 009,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-010,line-3-010,rolling-stock,revenue,line-3 trainset 010,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-011,line-3-011,rolling-stock,spare,line-3 trainset 011,line-3,SAY-SYS-001,,,,fleet,service
SAY-RS-L3-012,line-3-012,rolling-stock,cold-reserve,line-3 trainset 012,line-3,SAY-SYS-001,,,,fleet,service
SAY-ST-001,line-1-0273-0600-s000000,station,terminal,كلية المجتمع,line-1,SAY-SYS-001,line-1-0273-0600-s000000,0.000,0.000,"15.961379, 48.829203",public
SAY-ST-002,line-1-0327-0472-s003007,station,standard,line-1-0327-0472-s003007,line-1,SAY-SYS-001,line-1-0327-0472-s003007,3.007,3.007,"15.951661, 48.805286",public
SAY-ST-003,line-1-0375-0375-s005392,station,interchange-elevated,line-1-0375-0375-s005392,line-1,SAY-SYS-001,line-1-0375-0375-s005392,5.392,5.392,"15.943023, 48.787162",public
SAY-ST-004,line-1-0363-0292-s008120,station,standard,line-1-0363-0292-s008120,line-1,SAY-SYS-001,line-1-0363-0292-s008120,8.120,8.120,"15.945182, 48.771653",public
SAY-ST-005,line-1-0491-0047-s014174,station,depot-terminal,الغرفة,line-1,SAY-SYS-001,line-1-0491-0047-s014174,14.174,14.174,"15.922147, 48.725875",public
SAY-ST-006,line-2-0465-0310-s000000,station,terminal,شحوح,line-2,SAY-SYS-001,line-2-0465-0310-s000000,0.000,0.000,"15.926826, 48.775017",public
SAY-ST-007,line-2-0375-0375-s002425,station,interchange-elevated,line-2-0375-0375-s002425,line-2,SAY-SYS-001,line-2-0375-0375-s002425,2.425,2.425,"15.943023, 48.787162",public
SAY-ST-008,line-2-0283-0307-s005366,station,terminal,بيت جديد اكرم,line-2,SAY-SYS-001,line-2-0283-0307-s005366,5.366,5.366,"15.959580, 48.774456",public
SAY-ST-009,line-3-0454-0403-s000000,station,terminal,مستشفى بن زيلع,line-3,SAY-SYS-001,line-3-0454-0403-s000000,0.000,0.000,"15.928805, 48.792394",public
SAY-ST-010,line-3-0375-0375-s002107,station,interchange-elevated,line-3-0375-0375-s002107,line-3,SAY-SYS-001,line-3-0375-0375-s002107,2.107,2.107,"15.943023, 48.787162",public
SAY-ST-011,line-3-0258-0373-s004861,station,terminal,مطار سيئون,line-3,SAY-SYS-001,line-3-0258-0373-s004861,4.861,4.861,"15.964079, 48.786788",public
SAY-TRK-L1-001,line-1-0273-0600-s000000--line-1-0327-0472-s003007,track-section,standard-urban,line-1 section 001,line-1,SAY-SYS-001,line-1-0273-0600-s000000 to line-1-0327-0472-s003007,0.000,3.007,كلية المجتمع to line-1-0327-0472-s003007,safety
SAY-WPT-L1-001,w-node-line-1-0273-0600-s000000--line-1-0327-0472-s003007,waypoint,wayside-node,line-1 waypoint 001,line-1,SAY-TRK-L1-001,line-1-0273-0600-s000000 to line-1-0327-0472-s003007,1.504,1.504,كلية المجتمع to line-1-0327-0472-s003007 midpoint W-Node,safety
SAY-TRK-L1-002,line-1-0327-0472-s003007--line-1-0375-0375-s005392,track-section,standard-urban,line-1 section 002,line-1,SAY-SYS-001,line-1-0327-0472-s003007 to line-1-0375-0375-s005392,3.007,5.392,line-1-0327-0472-s003007 to line-1-0375-0375-s005392,safety
SAY-WPT-L1-002,w-node-line-1-0327-0472-s003007--line-1-0375-0375-s005392,waypoint,wayside-node,line-1 waypoint 002,line-1,SAY-TRK-L1-002,line-1-0327-0472-s003007 to line-1-0375-0375-s005392,4.200,4.200,line-1-0327-0472-s003007 to line-1-0375-0375-s005392 midpoint W-Node,safety
