asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality
MAL-SYS-001,malanje,system,whole railway,Malanje railway system,,,,,,"-9.6393,16.2405 to -9.4411,16.4415",system
MAL-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-019,line-1-019,rolling-stock,revenue,line-1 trainset 019,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-020,line-1-020,rolling-stock,revenue,line-1 trainset 020,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-021,line-1-021,rolling-stock,revenue,line-1 trainset 021,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-022,line-1-022,rolling-stock,revenue,line-1 trainset 022,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-023,line-1-023,rolling-stock,revenue,line-1 trainset 023,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-024,line-1-024,rolling-stock,spare,line-1 trainset 024,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-025,line-1-025,rolling-stock,spare,line-1 trainset 025,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L1-026,line-1-026,rolling-stock,cold-reserve,line-1 trainset 026,line-1,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-001,line-2-001,rolling-stock,revenue,line-2 trainset 001,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-002,line-2-002,rolling-stock,revenue,line-2 trainset 002,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-003,line-2-003,rolling-stock,revenue,line-2 trainset 003,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-004,line-2-004,rolling-stock,revenue,line-2 trainset 004,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-005,line-2-005,rolling-stock,revenue,line-2 trainset 005,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-006,line-2-006,rolling-stock,revenue,line-2 trainset 006,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-007,line-2-007,rolling-stock,revenue,line-2 trainset 007,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-008,line-2-008,rolling-stock,revenue,line-2 trainset 008,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-009,line-2-009,rolling-stock,revenue,line-2 trainset 009,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-010,line-2-010,rolling-stock,revenue,line-2 trainset 010,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-011,line-2-011,rolling-stock,revenue,line-2 trainset 011,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-012,line-2-012,rolling-stock,revenue,line-2 trainset 012,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-013,line-2-013,rolling-stock,revenue,line-2 trainset 013,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-014,line-2-014,rolling-stock,revenue,line-2 trainset 014,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-015,line-2-015,rolling-stock,revenue,line-2 trainset 015,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-016,line-2-016,rolling-stock,spare,line-2 trainset 016,line-2,MAL-SYS-001,,,,fleet,service
MAL-RS-L2-017,line-2-017,rolling-stock,cold-reserve,line-2 trainset 017,line-2,MAL-SYS-001,,,,fleet,service
MAL-ST-001,line-1-0464-0332-s000000,station,terminal,line-1-0464-0332-s000000,line-1,MAL-SYS-001,line-1-0464-0332-s000000,0.000,0.000,"-9.524694, 16.301075",public
MAL-ST-002,line-1-0473-0396-s001582,station,interchange-elevated,Aeroporto de Malanje,line-1,MAL-SYS-001,line-1-0473-0396-s001582,1.582,1.582,"-9.526314, 16.312735",public
MAL-ST-003,line-1-0495-0475-s003587,station,standard,line-1-0495-0475-s003587,line-1,MAL-SYS-001,line-1-0495-0475-s003587,3.587,3.587,"-9.530273, 16.327127",public
MAL-ST-004,line-1-0551-0551-s005982,station,interchange-elevated,line-1-0551-0551-s005982,line-1,MAL-SYS-001,line-1-0551-0551-s005982,5.982,5.982,"-9.540351, 16.340973",public
MAL-ST-005,line-1-0584-0632-s008041,station,major,Hospital Provincial de Malanje,line-1,MAL-SYS-001,line-1-0584-0632-s008041,8.041,8.041,"-9.546290, 16.355730",public
MAL-ST-006,line-1-0582-0682-s009255,station,depot-terminal,Condominio Sonangol,line-1,MAL-SYS-001,line-1-0582-0682-s009255,9.255,9.255,"-9.545930, 16.364839",public
MAL-ST-007,line-2-0612-0583-s000000,station,terminal,Faculdade de Medicina,line-2,MAL-SYS-001,line-2-0612-0583-s000000,0.000,0.000,"-9.551329, 16.346803",public
MAL-ST-008,line-2-0551-0551-s001810,station,interchange-elevated,line-2-0551-0551-s001810,line-2,MAL-SYS-001,line-2-0551-0551-s001810,1.810,1.810,"-9.540351, 16.340973",public
MAL-ST-009,line-2-0542-0487-s003231,station,standard,line-2-0542-0487-s003231,line-2,MAL-SYS-001,line-2-0542-0487-s003231,3.231,3.231,"-9.538732, 16.329314",public
MAL-ST-010,line-2-0521-0432-s004505,station,standard,line-2-0521-0432-s004505,line-2,MAL-SYS-001,line-2-0521-0432-s004505,4.505,4.505,"-9.534952, 16.319294",public
MAL-ST-011,line-2-0471-0405-s005792,station,terminal,Aeroporto de Malanje,line-2,MAL-SYS-001,line-2-0471-0405-s005792,5.792,5.792,"-9.525954, 16.314375",public
MAL-TRK-L1-001,line-1-0464-0332-s000000--line-1-0473-0396-s001582,track-section,standard-urban,line-1 section 001,line-1,MAL-SYS-001,line-1-0464-0332-s000000 to line-1-0473-0396-s001582,0.000,1.582,line-1-0464-0332-s000000 to Aeroporto de Malanje,safety
MAL-WPT-L1-001,w-node-line-1-0464-0332-s000000--line-1-0473-0396-s001582,waypoint,wayside-node,line-1 waypoint 001,line-1,MAL-TRK-L1-001,line-1-0464-0332-s000000 to line-1-0473-0396-s001582,0.791,0.791,line-1-0464-0332-s000000 to Aeroporto de Malanje midpoint W-Node,safety
MAL-TRK-L1-002,line-1-0473-0396-s001582--line-1-0495-0475-s003587,track-section,standard-urban,line-1 section 002,line-1,MAL-SYS-001,line-1-0473-0396-s001582 to line-1-0495-0475-s003587,1.582,3.587,Aeroporto de Malanje to line-1-0495-0475-s003587,safety
MAL-WPT-L1-002,w-node-line-1-0473-0396-s001582--line-1-0495-0475-s003587,waypoint,wayside-node,line-1 waypoint 002,line-1,MAL-TRK-L1-002,line-1-0473-0396-s001582 to line-1-0495-0475-s003587,2.584,2.584,Aeroporto de Malanje to line-1-0495-0475-s003587 midpoint W-Node,safety
MAL-TRK-L1-003,line-1-0495-0475-s003587--line-1-0551-0551-s005982,track-section,standard-urban,line-1 section 003,line-1,MAL-SYS-001,line-1-0495-0475-s003587 to line-1-0551-0551-s005982,3.587,5.982,line-1-0495-0475-s003587 to line-1-0551-0551-s005982,safety
MAL-WPT-L1-003,w-node-line-1-0495-0475-s003587--line-1-0551-0551-s005982,waypoint,wayside-node,line-1 waypoint 003,line-1,MAL-TRK-L1-003,line-1-0495-0475-s003587 to line-1-0551-0551-s005982,4.785,4.785,line-1-0495-0475-s003587 to line-1-0551-0551-s005982 midpoint W-Node,safety
