asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality
SOY-SYS-001,soyo,system,whole railway,Soyo railway system,,,,,,"-6.2025,12.3009 to -6.0673,12.4369",system
SOY-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-019,line-1-019,rolling-stock,spare,line-1 trainset 019,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L1-020,line-1-020,rolling-stock,cold-reserve,line-1 trainset 020,line-1,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-001,line-2-001,rolling-stock,revenue,line-2 trainset 001,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-002,line-2-002,rolling-stock,revenue,line-2 trainset 002,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-003,line-2-003,rolling-stock,revenue,line-2 trainset 003,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-004,line-2-004,rolling-stock,revenue,line-2 trainset 004,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-005,line-2-005,rolling-stock,revenue,line-2 trainset 005,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-006,line-2-006,rolling-stock,revenue,line-2 trainset 006,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-007,line-2-007,rolling-stock,revenue,line-2 trainset 007,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-008,line-2-008,rolling-stock,revenue,line-2 trainset 008,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-009,line-2-009,rolling-stock,revenue,line-2 trainset 009,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-010,line-2-010,rolling-stock,revenue,line-2 trainset 010,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-011,line-2-011,rolling-stock,revenue,line-2 trainset 011,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-012,line-2-012,rolling-stock,revenue,line-2 trainset 012,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-013,line-2-013,rolling-stock,revenue,line-2 trainset 013,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-014,line-2-014,rolling-stock,revenue,line-2 trainset 014,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-015,line-2-015,rolling-stock,revenue,line-2 trainset 015,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-016,line-2-016,rolling-stock,revenue,line-2 trainset 016,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-017,line-2-017,rolling-stock,spare,line-2 trainset 017,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L2-018,line-2-018,rolling-stock,cold-reserve,line-2 trainset 018,line-2,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-001,line-3-001,rolling-stock,revenue,line-3 trainset 001,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-002,line-3-002,rolling-stock,revenue,line-3 trainset 002,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-003,line-3-003,rolling-stock,revenue,line-3 trainset 003,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-004,line-3-004,rolling-stock,revenue,line-3 trainset 004,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-005,line-3-005,rolling-stock,revenue,line-3 trainset 005,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-006,line-3-006,rolling-stock,revenue,line-3 trainset 006,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-007,line-3-007,rolling-stock,revenue,line-3 trainset 007,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-008,line-3-008,rolling-stock,revenue,line-3 trainset 008,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-009,line-3-009,rolling-stock,revenue,line-3 trainset 009,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-010,line-3-010,rolling-stock,revenue,line-3 trainset 010,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-011,line-3-011,rolling-stock,revenue,line-3 trainset 011,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-012,line-3-012,rolling-stock,revenue,line-3 trainset 012,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-013,line-3-013,rolling-stock,revenue,line-3 trainset 013,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-014,line-3-014,rolling-stock,revenue,line-3 trainset 014,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-015,line-3-015,rolling-stock,revenue,line-3 trainset 015,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-016,line-3-016,rolling-stock,revenue,line-3 trainset 016,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-017,line-3-017,rolling-stock,revenue,line-3 trainset 017,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-018,line-3-018,rolling-stock,revenue,line-3 trainset 018,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-019,line-3-019,rolling-stock,revenue,line-3 trainset 019,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-020,line-3-020,rolling-stock,revenue,line-3 trainset 020,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-021,line-3-021,rolling-stock,revenue,line-3 trainset 021,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-022,line-3-022,rolling-stock,revenue,line-3 trainset 022,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-023,line-3-023,rolling-stock,spare,line-3 trainset 023,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-024,line-3-024,rolling-stock,spare,line-3 trainset 024,line-3,SOY-SYS-001,,,,fleet,service
SOY-RS-L3-025,line-3-025,rolling-stock,cold-reserve,line-3 trainset 025,line-3,SOY-SYS-001,,,,fleet,service
SOY-ST-001,line-1-0319-0148-s000000,station,terminal,Aeródromo,line-1,SOY-SYS-001,line-1-0319-0148-s000000,0.000,0.000,"-6.124799, 12.327734",public
SOY-ST-002,line-1-0325-0276-s003004,station,interchange-elevated,Figueira,line-1,SOY-SYS-001,line-1-0325-0276-s003004,3.004,3.004,"-6.125879, 12.350863",public
SOY-ST-003,line-1-0381-0373-s005441,station,interchange-elevated,line-1-0381-0373-s005441,line-1,SOY-SYS-001,line-1-0381-0373-s005441,5.441,5.441,"-6.135957, 12.368390",public
SOY-ST-004,line-1-0459-0399-s007406,station,interchange-elevated,line-1-0459-0399-s007406,line-1,SOY-SYS-001,line-1-0459-0399-s007406,7.406,7.406,"-6.149994, 12.373088",public
SOY-ST-005,line-1-0531-0372-s009357,station,terminal,Quindombele,line-1,SOY-SYS-001,line-1-0531-0372-s009357,9.357,9.357,"-6.162952, 12.368210",public
SOY-ST-006,line-2-0593-0351-s000000,station,terminal,Quintambe,line-2,SOY-SYS-001,line-2-0593-0351-s000000,0.000,0.000,"-6.174110, 12.364415",public
SOY-ST-007,line-2-0481-0364-s003016,station,standard,line-2-0481-0364-s003016,line-2,SOY-SYS-001,line-2-0481-0364-s003016,3.016,3.016,"-6.153954, 12.366764",public
SOY-ST-008,line-2-0381-0373-s005090,station,interchange-elevated,line-2-0381-0373-s005090,line-2,SOY-SYS-001,line-2-0381-0373-s005090,5.090,5.090,"-6.135957, 12.368390",public
SOY-ST-009,line-2-0474-0480-s008544,station,terminal,Cajueiro Soyo,line-2,SOY-SYS-001,line-2-0474-0480-s008544,8.544,8.544,"-6.152694, 12.387725",public
SOY-ST-010,line-3-0340-0286-s000000,station,terminal,Figueira,line-3,SOY-SYS-001,line-3-0340-0286-s000000,0.000,0.000,"-6.128578, 12.352670",public
SOY-ST-011,line-3-0381-0373-s002233,station,interchange-elevated,line-3-0381-0373-s002233,line-3,SOY-SYS-001,line-3-0381-0373-s002233,2.233,2.233,"-6.135957, 12.368390",public
SOY-ST-012,line-3-0455-0427-s004195,station,interchange-elevated,line-3-0455-0427-s004195,line-3,SOY-SYS-001,line-3-0455-0427-s004195,4.195,4.195,"-6.149275, 12.378148",public
SOY-ST-013,line-3-0542-0405-s006167,station,standard,line-3-0542-0405-s006167,line-3,SOY-SYS-001,line-3-0542-0405-s006167,6.167,6.167,"-6.164932, 12.374173",public
SOY-ST-014,line-3-0744-0445-s011517,station,depot-terminal,Conde,line-3,SOY-SYS-001,line-3-0744-0445-s011517,11.517,11.517,"-6.201285, 12.381401",public
SOY-TRK-L1-001,line-1-0319-0148-s000000--line-1-0325-0276-s003004,track-section,standard-urban,line-1 section 001,line-1,SOY-SYS-001,line-1-0319-0148-s000000 to line-1-0325-0276-s003004,0.000,3.004,Aeródromo to Figueira,safety
SOY-WPT-L1-001,w-node-line-1-0319-0148-s000000--line-1-0325-0276-s003004,waypoint,wayside-node,line-1 waypoint 001,line-1,SOY-TRK-L1-001,line-1-0319-0148-s000000 to line-1-0325-0276-s003004,1.502,1.502,Aeródromo to Figueira midpoint W-Node,safety
SOY-TRK-L1-002,line-1-0325-0276-s003004--line-1-0381-0373-s005441,track-section,standard-urban,line-1 section 002,line-1,SOY-SYS-001,line-1-0325-0276-s003004 to line-1-0381-0373-s005441,3.004,5.441,Figueira to line-1-0381-0373-s005441,safety
SOY-WPT-L1-002,w-node-line-1-0325-0276-s003004--line-1-0381-0373-s005441,waypoint,wayside-node,line-1 waypoint 002,line-1,SOY-TRK-L1-002,line-1-0325-0276-s003004 to line-1-0381-0373-s005441,4.222,4.222,Figueira to line-1-0381-0373-s005441 midpoint W-Node,safety
SOY-TRK-L1-003,line-1-0381-0373-s005441--line-1-0459-0399-s007406,track-section,standard-urban,line-1 section 003,line-1,SOY-SYS-001,line-1-0381-0373-s005441 to line-1-0459-0399-s007406,5.441,7.406,line-1-0381-0373-s005441 to line-1-0459-0399-s007406,safety
SOY-WPT-L1-003,w-node-line-1-0381-0373-s005441--line-1-0459-0399-s007406,waypoint,wayside-node,line-1 waypoint 003,line-1,SOY-TRK-L1-003,line-1-0381-0373-s005441 to line-1-0459-0399-s007406,6.424,6.424,line-1-0381-0373-s005441 to line-1-0459-0399-s007406 midpoint W-Node,safety
SOY-TRK-L1-004,line-1-0459-0399-s007406--line-1-0531-0372-s009357,track-section,standard-urban,line-1 section 004,line-1,SOY-SYS-001,line-1-0459-0399-s007406 to line-1-0531-0372-s009357,7.406,9.357,line-1-0459-0399-s007406 to Quindombele,safety
SOY-WPT-L1-004,w-node-line-1-0459-0399-s007406--line-1-0531-0372-s009357,waypoint,wayside-node,line-1 waypoint 004,line-1,SOY-TRK-L1-004,line-1-0459-0399-s007406 to line-1-0531-0372-s009357,8.382,8.382,line-1-0459-0399-s007406 to Quindombele midpoint W-Node,safety
SOY-TRK-L2-001,line-2-0593-0351-s000000--line-2-0481-0364-s003016,track-section,standard-urban,line-2 section 001,line-2,SOY-SYS-001,line-2-0593-0351-s000000 to line-2-0481-0364-s003016,0.000,3.016,Quintambe to line-2-0481-0364-s003016,safety
SOY-WPT-L2-001,w-node-line-2-0593-0351-s000000--line-2-0481-0364-s003016,waypoint,wayside-node,line-2 waypoint 001,line-2,SOY-TRK-L2-001,line-2-0593-0351-s000000 to line-2-0481-0364-s003016,1.508,1.508,Quintambe to line-2-0481-0364-s003016 midpoint W-Node,safety
SOY-TRK-L2-002,line-2-0481-0364-s003016--line-2-0381-0373-s005090,track-section,standard-urban,line-2 section 002,line-2,SOY-SYS-001,line-2-0481-0364-s003016 to line-2-0381-0373-s005090,3.016,5.090,line-2-0481-0364-s003016 to line-2-0381-0373-s005090,safety
SOY-WPT-L2-002,w-node-line-2-0481-0364-s003016--line-2-0381-0373-s005090,waypoint,wayside-node,line-2 waypoint 002,line-2,SOY-TRK-L2-002,line-2-0481-0364-s003016 to line-2-0381-0373-s005090,4.053,4.053,line-2-0481-0364-s003016 to line-2-0381-0373-s005090 midpoint W-Node,safety
SOY-TRK-L2-003,line-2-0381-0373-s005090--line-2-0474-0480-s008544,track-section,standard-urban,line-2 section 003,line-2,SOY-SYS-001,line-2-0381-0373-s005090 to line-2-0474-0480-s008544,5.090,8.544,line-2-0381-0373-s005090 to Cajueiro Soyo,safety
SOY-WPT-L2-003,w-node-line-2-0381-0373-s005090--line-2-0474-0480-s008544,waypoint,wayside-node,line-2 waypoint 003,line-2,SOY-TRK-L2-003,line-2-0381-0373-s005090 to line-2-0474-0480-s008544,6.817,6.817,line-2-0381-0373-s005090 to Cajueiro Soyo midpoint W-Node,safety
SOY-TRK-L3-001,line-3-0340-0286-s000000--line-3-0381-0373-s002233,track-section,standard-urban,line-3 section 001,line-3,SOY-SYS-001,line-3-0340-0286-s000000 to line-3-0381-0373-s002233,0.000,2.233,Figueira to line-3-0381-0373-s002233,safety
SOY-WPT-L3-001,w-node-line-3-0340-0286-s000000--line-3-0381-0373-s002233,waypoint,wayside-node,line-3 waypoint 001,line-3,SOY-TRK-L3-001,line-3-0340-0286-s000000 to line-3-0381-0373-s002233,1.116,1.116,Figueira to line-3-0381-0373-s002233 midpoint W-Node,safety
SOY-TRK-L3-002,line-3-0381-0373-s002233--line-3-0455-0427-s004195,track-section,standard-urban,line-3 section 002,line-3,SOY-SYS-001,line-3-0381-0373-s002233 to line-3-0455-0427-s004195,2.233,4.195,line-3-0381-0373-s002233 to line-3-0455-0427-s004195,safety
