asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality
RAN-SYS-001,ranchi,system,whole railway,Ranchi railway system,,,,,,"23.2,85.1526 to 23.4882,85.4666",system
RAN-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-019,line-1-019,rolling-stock,revenue,line-1 trainset 019,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-020,line-1-020,rolling-stock,revenue,line-1 trainset 020,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-021,line-1-021,rolling-stock,revenue,line-1 trainset 021,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-022,line-1-022,rolling-stock,revenue,line-1 trainset 022,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-023,line-1-023,rolling-stock,revenue,line-1 trainset 023,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-024,line-1-024,rolling-stock,revenue,line-1 trainset 024,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-025,line-1-025,rolling-stock,revenue,line-1 trainset 025,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-026,line-1-026,rolling-stock,revenue,line-1 trainset 026,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-027,line-1-027,rolling-stock,revenue,line-1 trainset 027,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-028,line-1-028,rolling-stock,revenue,line-1 trainset 028,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-029,line-1-029,rolling-stock,revenue,line-1 trainset 029,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-030,line-1-030,rolling-stock,revenue,line-1 trainset 030,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-031,line-1-031,rolling-stock,revenue,line-1 trainset 031,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-032,line-1-032,rolling-stock,revenue,line-1 trainset 032,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-033,line-1-033,rolling-stock,revenue,line-1 trainset 033,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-034,line-1-034,rolling-stock,revenue,line-1 trainset 034,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-035,line-1-035,rolling-stock,revenue,line-1 trainset 035,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-036,line-1-036,rolling-stock,revenue,line-1 trainset 036,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-037,line-1-037,rolling-stock,revenue,line-1 trainset 037,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-038,line-1-038,rolling-stock,revenue,line-1 trainset 038,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-039,line-1-039,rolling-stock,revenue,line-1 trainset 039,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-040,line-1-040,rolling-stock,revenue,line-1 trainset 040,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-041,line-1-041,rolling-stock,revenue,line-1 trainset 041,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-042,line-1-042,rolling-stock,revenue,line-1 trainset 042,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-043,line-1-043,rolling-stock,revenue,line-1 trainset 043,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-044,line-1-044,rolling-stock,revenue,line-1 trainset 044,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-045,line-1-045,rolling-stock,revenue,line-1 trainset 045,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-046,line-1-046,rolling-stock,revenue,line-1 trainset 046,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-047,line-1-047,rolling-stock,revenue,line-1 trainset 047,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-048,line-1-048,rolling-stock,revenue,line-1 trainset 048,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-049,line-1-049,rolling-stock,revenue,line-1 trainset 049,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-050,line-1-050,rolling-stock,revenue,line-1 trainset 050,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-051,line-1-051,rolling-stock,revenue,line-1 trainset 051,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-052,line-1-052,rolling-stock,spare,line-1 trainset 052,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-053,line-1-053,rolling-stock,spare,line-1 trainset 053,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-054,line-1-054,rolling-stock,spare,line-1 trainset 054,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-055,line-1-055,rolling-stock,spare,line-1 trainset 055,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-056,line-1-056,rolling-stock,spare,line-1 trainset 056,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L1-057,line-1-057,rolling-stock,cold-reserve,line-1 trainset 057,line-1,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-001,line-2-001,rolling-stock,revenue,line-2 trainset 001,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-002,line-2-002,rolling-stock,revenue,line-2 trainset 002,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-003,line-2-003,rolling-stock,revenue,line-2 trainset 003,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-004,line-2-004,rolling-stock,revenue,line-2 trainset 004,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-005,line-2-005,rolling-stock,revenue,line-2 trainset 005,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-006,line-2-006,rolling-stock,revenue,line-2 trainset 006,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-007,line-2-007,rolling-stock,revenue,line-2 trainset 007,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-008,line-2-008,rolling-stock,revenue,line-2 trainset 008,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-009,line-2-009,rolling-stock,revenue,line-2 trainset 009,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-010,line-2-010,rolling-stock,revenue,line-2 trainset 010,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-011,line-2-011,rolling-stock,revenue,line-2 trainset 011,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-012,line-2-012,rolling-stock,revenue,line-2 trainset 012,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-013,line-2-013,rolling-stock,revenue,line-2 trainset 013,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-014,line-2-014,rolling-stock,revenue,line-2 trainset 014,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-015,line-2-015,rolling-stock,revenue,line-2 trainset 015,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-016,line-2-016,rolling-stock,revenue,line-2 trainset 016,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-017,line-2-017,rolling-stock,revenue,line-2 trainset 017,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-018,line-2-018,rolling-stock,revenue,line-2 trainset 018,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-019,line-2-019,rolling-stock,revenue,line-2 trainset 019,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-020,line-2-020,rolling-stock,revenue,line-2 trainset 020,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-021,line-2-021,rolling-stock,revenue,line-2 trainset 021,line-2,RAN-SYS-001,,,,fleet,service
RAN-RS-L2-022,line-2-022,rolling-stock,revenue,line-2 trainset 022,line-2,RAN-SYS-001,,,,fleet,service
