task_uid,city,asset_id,asset_name,asset_type,line,task_id,cadence,trigger,scope,evidence_required,owner,next_due_basis,status,severity
basra:BAS-RS-L1-001:rs-daily,basra,BAS-RS-L1-001,line-1 trainset 001,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-002:rs-daily,basra,BAS-RS-L1-002,line-1 trainset 002,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-003:rs-daily,basra,BAS-RS-L1-003,line-1 trainset 003,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-004:rs-daily,basra,BAS-RS-L1-004,line-1 trainset 004,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-005:rs-daily,basra,BAS-RS-L1-005,line-1 trainset 005,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-006:rs-daily,basra,BAS-RS-L1-006,line-1 trainset 006,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-007:rs-daily,basra,BAS-RS-L1-007,line-1 trainset 007,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-008:rs-daily,basra,BAS-RS-L1-008,line-1 trainset 008,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-009:rs-daily,basra,BAS-RS-L1-009,line-1 trainset 009,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-010:rs-daily,basra,BAS-RS-L1-010,line-1 trainset 010,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-011:rs-daily,basra,BAS-RS-L1-011,line-1 trainset 011,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-012:rs-daily,basra,BAS-RS-L1-012,line-1 trainset 012,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-013:rs-daily,basra,BAS-RS-L1-013,line-1 trainset 013,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-014:rs-daily,basra,BAS-RS-L1-014,line-1 trainset 014,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-015:rs-daily,basra,BAS-RS-L1-015,line-1 trainset 015,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-016:rs-daily,basra,BAS-RS-L1-016,line-1 trainset 016,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-017:rs-daily,basra,BAS-RS-L1-017,line-1 trainset 017,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-018:rs-daily,basra,BAS-RS-L1-018,line-1 trainset 018,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-019:rs-daily,basra,BAS-RS-L1-019,line-1 trainset 019,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-020:rs-daily,basra,BAS-RS-L1-020,line-1 trainset 020,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-021:rs-daily,basra,BAS-RS-L1-021,line-1 trainset 021,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-022:rs-daily,basra,BAS-RS-L1-022,line-1 trainset 022,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-023:rs-daily,basra,BAS-RS-L1-023,line-1 trainset 023,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-024:rs-daily,basra,BAS-RS-L1-024,line-1 trainset 024,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-025:rs-daily,basra,BAS-RS-L1-025,line-1 trainset 025,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-026:rs-daily,basra,BAS-RS-L1-026,line-1 trainset 026,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-027:rs-daily,basra,BAS-RS-L1-027,line-1 trainset 027,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
basra:BAS-RS-L1-028:rs-daily,basra,BAS-RS-L1-028,line-1 trainset 028,rolling-stock,line-1,rs-daily,daily / each depot return,calendar,"walk-around, wheel/tread visual, doors, HVAC, coupler face, saloon damage, emergency equipment, fault-log download",daily inspection work order,fleet maintenance,opening_date + 1 day,scheduled,routine
