s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6713331E-004, 2.1501666E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6711180E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0129659E+000, 4.5019216E+001, 0.0000000E+000,-1.1234677E+001, 5.7422047E-001,-2.7096800E-001,-2.7860232E-003, 0.0000000E+000, 0.0000000E+000, 3.2038315E+001, 3.4085006E+001, 0.0000000E+000, 9.0938852E-004, 0.0000000E+000
 6.0288539E+000, 1.0926099E+002, 0.0000000E+000,-3.1447228E+001, 1.2604677E+000,-3.1706067E+000,-7.9352887E-003, 0.0000000E+000, 0.0000000E+000, 7.5198121E+001, 7.5895687E+001, 0.0000000E+000, 2.6503830E-003, 0.0000000E+000
 9.0415459E+000, 1.8462459E+002, 0.0000000E+000,-5.3923027E+001, 1.1582475E+000,-8.9941201E+000,-1.3014767E-002, 0.0000000E+000, 0.0000000E+000, 1.2211221E+002, 1.2285268E+002, 0.0000000E+000, 4.4091621E-003, 0.0000000E+000
 1.2031594E+001, 2.4448081E+002, 0.0000000E+000,-6.8880429E+001,-1.9989056E+000,-1.5465642E+001,-1.7055874E-002, 0.0000000E+000, 0.0000000E+000, 1.5780949E+002, 1.5811878E+002, 0.0000000E+000, 5.7481612E-003, 0.0000000E+000
 1.5018236E+001, 2.4979499E+002, 0.0000000E+000,-6.7719256E+001,-4.7617341E+000,-2.2106909E+001,-1.7473534E-002, 0.0000000E+000, 0.0000000E+000, 1.5536799E+002, 1.5518962E+002, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 1.8014362E+001, 2.4999139E+002, 0.0000000E+000,-7.2171614E+001,-7.1886707E+000,-2.9022426E+001,-1.7316708E-002, 0.0000000E+000, 0.0000000E+000, 1.4169326E+002, 1.4159137E+002, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 2.1018637E+001, 2.4889610E+002, 0.0000000E+000,-7.5888274E+001,-1.9677642E+001,-3.4885989E+001,-1.7310180E-002, 0.0000000E+000, 0.0000000E+000, 1.1862861E+002, 1.1842689E+002, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 2.4021935E+001, 2.4967943E+002, 0.0000000E+000,-8.0969749E+001,-2.7750280E+001,-4.0805547E+001,-1.7197899E-002, 0.0000000E+000, 0.0000000E+000, 1.0031672E+002, 1.0013666E+002, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 2.7008553E+001, 2.5008029E+002, 0.0000000E+000,-8.8563606E+001,-3.6885701E+001,-4.5774543E+001,-1.7195505E-002, 0.0000000E+000, 0.0000000E+000, 7.9013941E+001, 7.8839247E+001, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 3.0013325E+001, 2.5024344E+002, 0.0000000E+000,-9.3956576E+001,-4.1612743E+001,-5.0077402E+001,-1.7236289E-002, 0.0000000E+000, 0.0000000E+000, 6.4727186E+001, 6.4579480E+001, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 3.3025753E+001, 2.4940132E+002, 0.0000000E+000,-1.0063247E+002,-4.8654160E+001,-5.3481703E+001,-1.7115623E-002, 0.0000000E+000, 0.0000000E+000, 4.6731178E+001, 4.6615865E+001, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
