s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4292250E-005, 2.1501666E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4270749E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0157042E+000, 4.8906796E+001, 0.0000000E+000,-1.4287294E+001, 5.8948901E-001,-2.7607070E-001,-2.7935381E-003, 0.0000000E+000, 0.0000000E+000, 3.3237206E+001, 3.4930127E+001, 0.0000000E+000, 9.1049050E-004, 0.0000000E+000
 6.0226626E+000, 1.0852062E+002, 0.0000000E+000,-3.1130297E+001,-1.5220800E+001,-3.2556594E+000,-7.9695190E-003, 0.0000000E+000, 0.0000000E+000, 5.8578477E+001, 5.8905894E+001, 0.0000000E+000, 2.6493673E-003, 0.0000000E+000
 9.0067978E+000, 1.8425978E+002, 0.0000000E+000,-5.3248883E+001,-9.0314285E+001,-7.4324470E+000,-1.2997117E-002, 0.0000000E+000, 0.0000000E+000, 3.3499691E+001, 3.3251165E+001, 0.0000000E+000, 4.3961406E-003, 0.0000000E+000
 1.2014710E+001, 2.4519390E+002, 0.0000000E+000,-6.8833925E+001,-1.4280715E+002,-1.0979843E+001,-1.6937501E-002, 0.0000000E+000, 0.0000000E+000, 2.3296758E+001, 2.2556050E+001, 0.0000000E+000, 5.7415225E-003, 0.0000000E+000
 1.5015815E+001, 2.4913618E+002, 0.0000000E+000,-6.6885360E+001,-1.7036580E+002,-1.2389720E+001,-1.7313480E-002, 0.0000000E+000, 0.0000000E+000, 5.0756019E-001,-5.2201308E-001, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 1.8001986E+001, 2.5012594E+002, 0.0000000E+000,-6.5148185E+001,-1.7276657E+002,-1.2634667E+001,-1.7302235E-002, 0.0000000E+000, 0.0000000E+000, 6.1471759E-001,-4.4078931E-001, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 2.1025053E+001, 2.4881782E+002, 0.0000000E+000,-6.5338621E+001,-1.7272746E+002,-1.2611746E+001,-1.7369883E-002, 0.0000000E+000, 0.0000000E+000,-8.1274997E-001,-1.8773723E+000, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
 2.4020462E+001, 2.4994873E+002, 0.0000000E+000,-6.5423694E+001,-1.7124295E+002,-1.2581221E+001,-1.7317993E-002, 0.0000000E+000, 0.0000000E+000, 1.5442808E+000, 6.8355431E-001, 0.0000000E+000, 5.8334557E-003, 0.0000000E+000
