
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

         9 -6.862904E-17 -1.307979E-14 -8.035271E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         1   1 -1.094634E-01  2.419453E-03 -8.738061E-03 -8.690021E-03 -1.357475E-01 -4.236628E-03
         1   2 -3.480717E-01 -6.705654E-03 -2.729724E-03 -6.226499E-03 -7.624214E-02  4.556485E-04
         1   3 -5.752687E-01  1.079557E-02  1.468990E-02 -3.762978E-03 -1.378587E-01 -3.294914E-04
         1   4  4.823300E-14  1.258547E-14  3.138535E-14 -4.035638E-14 -1.474062E-01 -4.236628E-03
         1   5  1.244978E-13 -3.271013E-16 -9.120771E-16 -8.462200E-15 -8.790083E-02  4.556485E-04
         1   6  2.153755E-13 -7.785776E-15  5.895622E-15 -4.375731E-14 -1.495174E-01 -3.294914E-04
         1   7  1.094634E-01 -2.419453E-03  8.738061E-03  8.690021E-03 -1.357475E-01 -4.236628E-03
         1   8  3.480717E-01  6.705654E-03  2.729724E-03  6.226499E-03 -7.624214E-02  4.556485E-04
         1   9  5.752687E-01 -1.079557E-02 -1.468990E-02  3.762978E-03 -1.378587E-01 -3.294914E-04
         1  10 -1.031896E-01  5.108214E-03 -6.049301E-03 -1.209201E-13 -1.292179E-01  1.658598E-14
         1  11 -3.417979E-01 -4.016894E-03 -4.096370E-05 -9.135594E-14 -6.733741E-02 -5.089588E-15
         1  12 -5.689949E-01  1.348433E-02  1.737866E-02 -1.213993E-13 -1.265789E-01 -8.686444E-15
         1  13  2.600700E-15  4.288305E-15  1.623916E-14 -4.104974E-14 -1.408766E-01  2.139444E-14
         1  14 -8.952646E-15  2.239822E-15 -5.993360E-15 -1.342433E-14 -7.899610E-02 -3.872000E-15
         1  15 -1.244755E-14  5.681521E-16  6.304833E-16 -5.284460E-14 -1.382376E-01 -1.737015E-15
         1  16  1.031896E-01 -5.108214E-03  6.049301E-03  2.735893E-14 -1.292179E-01  2.477755E-14
         1  17  3.417979E-01  4.016894E-03  4.096370E-05  5.620775E-14 -6.733741E-02 -6.751126E-15
         1  18  5.689949E-01 -1.348433E-02 -1.737866E-02  7.838654E-15 -1.265789E-01 -7.262961E-15
         1  19 -1.094634E-01  2.419453E-03 -8.738061E-03  8.690021E-03 -1.357475E-01  4.236628E-03
         1  20 -3.480717E-01 -6.705654E-03 -2.729724E-03  6.226499E-03 -7.624214E-02 -4.556485E-04
         1  21 -5.752687E-01  1.079557E-02  1.468990E-02  3.762978E-03 -1.378587E-01  3.294914E-04
         1  22 -4.507027E-14 -4.668556E-15  8.863191E-16 -3.583285E-14 -1.474062E-01  4.236628E-03
