
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

        17  1.359437E-16 -4.296761E-14 -6.173757E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         1   1 -3.836635E-02  4.997034E-03 -3.127209E-04 -6.808017E-03 -1.045751E-01 -1.759485E-03
         1   2 -1.485373E-01 -4.590157E-03 -2.912814E-03 -5.406134E-03 -9.291953E-02  4.947287E-04
         1   3 -2.536166E-01 -2.296818E-03 -4.212502E-04 -4.004252E-03 -1.060637E-01  5.157595E-04
         1   4  2.332969E-14  2.542362E-15 -4.228427E-15 -1.973850E-14 -1.151624E-01 -1.759485E-03
         1   5  8.512406E-14 -7.965916E-16  1.126223E-15 -7.917147E-15 -1.035069E-01  4.947287E-04
         1   6  1.535696E-13  2.147871E-15  1.525286E-14 -1.182865E-14 -1.166510E-01  5.157595E-04
         1   7  3.836635E-02 -4.997034E-03  3.127209E-04  6.808017E-03 -1.045751E-01 -1.759485E-03
         1   8  1.485373E-01  4.590157E-03  2.912814E-03  5.406134E-03 -9.291953E-02  4.947287E-04
         1   9  2.536166E-01  2.296818E-03  4.212502E-04  4.004252E-03 -1.060637E-01  5.157595E-04
         1  10 -2.868398E-02  9.146624E-03  3.836868E-03 -1.745099E-14 -9.952930E-02 -1.272808E-14
         1  11 -1.388549E-01 -4.405678E-04  1.236776E-03 -8.260446E-15 -8.619909E-02 -2.545033E-15
         1  12 -2.439342E-01  1.852771E-03  3.728339E-03 -2.540132E-14 -9.766858E-02 -5.072766E-15
         1  13  1.385334E-14  5.268837E-15 -1.781491E-15 -2.831799E-14 -1.101167E-01 -1.311175E-14
         1  14  2.568333E-14  3.061367E-15  1.912196E-15 -1.905321E-14 -9.678645E-02 -5.849141E-15
         1  15  3.973143E-14  5.436580E-15  1.316031E-14 -2.634310E-14 -1.082559E-01 -1.030783E-14
         1  16  2.868398E-02 -9.146624E-03 -3.836868E-03 -5.213625E-14 -9.952930E-02 -1.384957E-14
         1  17  1.388549E-01  4.405678E-04 -1.236776E-03 -4.131098E-14 -8.619909E-02 -5.778959E-15
         1  18  2.439342E-01 -1.852771E-03 -3.728339E-03 -4.116563E-14 -9.766858E-02 -1.157549E-14
         1  19 -3.836635E-02  4.997034E-03 -3.127209E-04  6.808017E-03 -1.045751E-01  1.759485E-03
         1  20 -1.485373E-01 -4.590157E-03 -2.912814E-03  5.406134E-03 -9.291953E-02 -4.947287E-04
         1  21 -2.536166E-01 -2.296818E-03 -4.212502E-04  4.004252E-03 -1.060637E-01 -5.157595E-04
         1  22 -1.242960E-14  1.041428E-15 -5.712202E-15 -2.945528E-14 -1.151624E-01  1.759485E-03
         1  23 -4.740513E-14  2.575925E-15  1.867898E-15 -2.281744E-14 -1.035069E-01 -4.947287E-04
         1  24 -8.088009E-14  7.976625E-15  1.532708E-14 -3.574724E-14 -1.166510E-01 -5.157595E-04
         1  25  3.836635E-02 -4.997034E-03  3.127209E-04 -6.808017E-03 -1.045751E-01  1.759485E-03
         1  26  1.485373E-01  4.590157E-03  2.912814E-03 -5.406134E-03 -9.291953E-02 -4.947287E-04
         1  27  2.536166E-01  2.296818E-03  4.212502E-04 -4.004252E-03 -1.060637E-01 -5.157595E-04
         2   1 -3.203956E-01 -1.273164E-03 -8.495301E-04 -1.243390E-03 -1.064027E-01  4.518894E-05
         2   2 -4.278156E-01  5.955432E-04  4.762462E-04 -1.683204E-03 -9.368923E-02 -6.504096E-05
         2   3 -5.355408E-01  1.752169E-03  1.496845E-03 -2.123018E-03 -1.062094E-01 -4.142108E-05
         2   4  1.834866E-13  4.500037E-17  1.272478E-14 -1.937248E-14 -1.168832E-01  4.518894E-05
         2   5  2.304321E-13 -7.175685E-15 -3.818076E-15 -1.624367E-14 -1.041698E-01 -6.504096E-05
         2   6  2.836686E-13 -1.064107E-14 -5.518259E-15 -3.008785E-14 -1.166900E-01 -4.142108E-05
         2   7  3.203956E-01  1.273164E-03  8.495301E-04  1.243390E-03 -1.064027E-01  4.518894E-05
         2   8  4.278156E-01 -5.955432E-04 -4.762462E-04  1.683204E-03 -9.368923E-02 -6.504096E-05
         2   9  5.355408E-01 -1.752169E-03 -1.496845E-03  2.123018E-03 -1.062094E-01 -4.142108E-05
         2  10 -3.216526E-01 -1.811878E-03 -1.388245E-03 -3.993856E-14 -9.756859E-02  2.701443E-17
         2  11 -4.290726E-01  5.682833E-05 -6.246861E-05 -3.029323E-14 -8.507258E-02  8.574629E-15
         2  12 -5.367978E-01  1.213454E-03  9.581302E-04 -4.485739E-14 -9.781016E-02 -2.178906E-15
         2  13  2.155801E-14 -3.334715E-15  4.043972E-15 -3.279419E-14 -1.080492E-01 -6.793378E-15
         2  14  2.005534E-14 -5.563880E-15 -3.479147E-15 -2.680990E-14 -9.555314E-02  5.218043E-15
         2  15  2.682330E-14 -3.135534E-15  4.793931E-15 -3.916945E-14 -1.082907E-01 -2.738599E-15
         2  16  3.216526E-01  1.811878E-03  1.388245E-03 -3.567935E-14 -9.756859E-02 -9.202133E-15
         2  17  4.290726E-01 -5.682833E-05  6.246861E-05 -3.050136E-14 -8.507258E-02 -1.980953E-15
         2  18  5.367978E-01 -1.213454E-03 -9.581302E-04 -3.467583E-14 -9.781016E-02 -1.302471E-14
         2  19 -3.203956E-01 -1.273164E-03 -8.495301E-04  1.243390E-03 -1.064027E-01 -4.518894E-05
         2  20 -4.278156E-01  5.955432E-04  4.762462E-04  1.683204E-03 -9.368923E-02  6.504096E-05
         2  21 -5.355408E-01  1.752169E-03  1.496845E-03  2.123018E-03 -1.062094E-01  4.142108E-05
         2  22 -1.307942E-13 -9.713798E-16  4.939549E-15 -3.869153E-14 -1.168832E-01 -4.518894E-05
         2  23 -1.839557E-13 -4.149834E-15 -1.018367E-14 -3.114717E-14 -1.041698E-01  6.504096E-05
         2  24 -2.297285E-13 -5.207448E-15 -1.702878E-14 -4.153927E-14 -1.166900E-01  4.142108E-05
         2  25  3.203956E-01  1.273164E-03  8.495301E-04 -1.243390E-03 -1.064027E-01 -4.518894E-05
         2  26  4.278156E-01 -5.955432E-04 -4.762462E-04 -1.683204E-03 -9.368923E-02  6.504096E-05
         2  27  5.355408E-01 -1.752169E-03 -1.496845E-03 -2.123018E-03 -1.062094E-01  4.142108E-05
         3   1 -6.066043E-01 -1.298557E-03 -1.450882E-03 -2.326917E-03 -1.061331E-01 -2.569106E-06
         3   2 -7.142105E-01 -1.054662E-04 -8.789954E-05 -2.264680E-03 -9.353313E-02  2.031618E-06
         3   3 -8.217499E-01  1.243345E-03  1.341820E-03 -2.202443E-03 -1.061655E-01 -2.263842E-05
         3   4  3.162472E-13 -9.537782E-15  2.362861E-15 -3.348334E-14 -1.167076E-01 -2.569106E-06
         3   5  3.742707E-13 -1.126476E-15  3.083138E-14 -2.587413E-14 -1.041076E-01  2.031618E-06
         3   6  4.499514E-13  2.467700E-14  1.007653E-13 -4.111580E-14 -1.167400E-01 -2.263842E-05
         3   7  6.066043E-01  1.298557E-03  1.450882E-03  2.326917E-03 -1.061331E-01 -2.569106E-06
         3   8  7.142105E-01  1.054662E-04  8.789954E-05  2.264680E-03 -9.353313E-02  2.031618E-06
