
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

        33  3.868103E-16  5.181741E-15 -4.718545E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         1   1 -1.874571E-02  4.640508E-03 -1.936410E-04 -3.233792E-03 -9.104439E-02 -1.433281E-03
         1   2 -6.589088E-02 -2.783802E-03 -2.688209E-03 -3.899344E-03 -8.915078E-02  1.039371E-04
         1   3 -1.102418E-01 -3.688192E-03 -2.388525E-03 -4.564895E-03 -9.194665E-02  5.234547E-04
         1   4 -1.907584E-14 -2.883625E-15 -1.326866E-14  9.871836E-15 -1.007115E-01 -1.433281E-03
         1   5  4.998524E-15 -1.654011E-15 -5.401164E-15  1.426024E-14 -9.881785E-02  1.039371E-04
         1   6  2.777422E-14 -4.900049E-16  2.946432E-15  1.953320E-14 -1.016137E-01  5.234547E-04
         1   7  1.874571E-02 -4.640508E-03  1.936410E-04  3.233792E-03 -9.104439E-02 -1.433281E-03
         1   8  6.589088E-02  2.783802E-03  2.688209E-03  3.899344E-03 -8.915078E-02  1.039371E-04
         1   9  1.102418E-01  3.688192E-03  2.388525E-03  4.564895E-03 -9.194665E-02  5.234547E-04
         1  10 -5.875728E-03  1.015622E-02  5.322066E-03  3.417508E-13 -8.720551E-02 -1.799340E-13
         1  11 -5.302090E-02  2.731905E-03  2.827498E-03  2.956456E-13 -8.429686E-02 -7.902679E-14
         1  12 -9.737182E-02  1.827515E-03  3.127182E-03  2.538257E-13 -8.607769E-02 -3.383424E-14
         1  13  1.785579E-14  1.461436E-14  6.957867E-15  1.834530E-15 -9.687259E-02 -1.800443E-13
         1  14  1.886479E-14  7.942583E-15  7.506210E-15  5.066836E-15 -9.396394E-02 -7.325183E-14
         1  15  3.522022E-14  7.991705E-15  1.454134E-14  6.382485E-15 -9.574476E-02 -2.028985E-14
         1  16  5.875728E-03 -1.015622E-02 -5.322066E-03 -3.473342E-13 -8.720551E-02 -1.828507E-13
         1  17  5.302090E-02 -2.731905E-03 -2.827498E-03 -3.018419E-13 -8.429686E-02 -7.821314E-14
         1  18  9.737182E-02 -1.827515E-03 -3.127182E-03 -2.639025E-13 -8.607769E-02 -2.749643E-14
         1  19 -1.874571E-02  4.640508E-03 -1.936410E-04  3.233792E-03 -9.104439E-02  1.433281E-03
         1  20 -6.589088E-02 -2.783802E-03 -2.688209E-03  3.899344E-03 -8.915078E-02 -1.039371E-04
         1  21 -1.102418E-01 -3.688192E-03 -2.388525E-03  4.564895E-03 -9.194665E-02 -5.234547E-04
         1  22  6.975398E-15  1.111868E-14  5.017567E-15 -4.402279E-15 -1.007115E-01  1.433281E-03
         1  23  8.273422E-15  5.120836E-15  3.483698E-15 -5.195207E-15 -9.881785E-02 -1.039371E-04
         1  24  2.917696E-15 -4.122076E-15 -2.754116E-15 -6.672776E-15 -1.016137E-01 -5.234547E-04
         1  25  1.874571E-02 -4.640508E-03  1.936410E-04 -3.233792E-03 -9.104439E-02  1.433281E-03
         1  26  6.589088E-02  2.783802E-03  2.688209E-03 -3.899344E-03 -8.915078E-02 -1.039371E-04
         1  27  1.102418E-01  3.688192E-03  2.388525E-03 -4.564895E-03 -9.194665E-02 -5.234547E-04
         2   1 -1.333088E-01 -1.437597E-03 -5.896613E-04 -2.993790E-03 -9.208689E-02  3.776346E-04
         2   2 -1.790116E-01 -9.426238E-04 -3.858560E-04 -2.391173E-03 -8.971643E-02  1.965907E-04
         2   3 -2.247845E-01 -6.113153E-04 -2.521927E-04 -1.788555E-03 -9.222049E-02  4.360367E-05
         2   4  2.469721E-14 -4.402040E-15 -1.026524E-15  1.081716E-14 -1.016772E-01  3.776346E-04
         2   5  9.694883E-16 -1.422568E-14 -1.811807E-14  1.143921E-14 -9.930678E-02  1.965907E-04
         2   6 -1.427835E-14 -1.821942E-14 -2.700339E-14  1.547360E-14 -1.018108E-01  4.360367E-05
         2   7  1.333088E-01  1.437597E-03  5.896613E-04  2.993790E-03 -9.208689E-02  3.776346E-04
         2   8  1.790116E-01  9.426238E-04  3.858560E-04  2.391173E-03 -8.971643E-02  1.965907E-04
         2   9  2.247845E-01  6.113153E-04  2.521927E-04  1.788555E-03 -9.222049E-02  4.360367E-05
         2  10 -1.314032E-01 -6.209089E-04  2.270267E-04  2.453626E-13 -8.607163E-02 -2.390964E-14
         2  11 -1.771060E-01 -1.259357E-04  4.308320E-04  2.421366E-13 -8.355088E-02 -6.400770E-15
         2  12 -2.228789E-01  2.053727E-04  5.644953E-04  2.410963E-13 -8.590464E-02  9.910767E-16
         2  13  1.808743E-14 -2.128390E-15  5.499221E-15  3.517069E-15 -9.566197E-02 -9.976804E-15
         2  14  1.709680E-14 -4.531096E-15 -1.435821E-16  2.708894E-15 -9.314122E-02  3.786893E-15
         2  15  1.261971E-14 -7.600306E-15 -7.254618E-15  3.401044E-15 -9.549498E-02  8.970606E-15
         2  16  1.314032E-01  6.209089E-04 -2.270267E-04 -2.567421E-13 -8.607163E-02 -1.705581E-14
         2  17  1.771060E-01  1.259357E-04 -4.308320E-04 -2.570746E-13 -8.355088E-02 -3.189800E-15
         2  18  2.228789E-01 -2.053727E-04 -5.644953E-04 -2.550998E-13 -8.590464E-02  2.409512E-15
         2  19 -1.333088E-01 -1.437597E-03 -5.896613E-04  2.993790E-03 -9.208689E-02 -3.776346E-04
         2  20 -1.790116E-01 -9.426238E-04 -3.858560E-04  2.391173E-03 -8.971643E-02 -1.965907E-04
         2  21 -2.247845E-01 -6.113153E-04 -2.521927E-04  1.788555E-03 -9.222049E-02 -4.360367E-05
         2  22 -1.274578E-14 -1.423295E-14 -1.165116E-14 -6.965764E-15 -1.016772E-01 -3.776346E-04
         2  23  9.383359E-15 -8.276158E-15 -3.136440E-15 -9.363128E-15 -9.930678E-02 -1.965907E-04
         2  24  3.346498E-14 -8.479297E-16  5.671711E-15 -1.222511E-14 -1.018108E-01 -4.360367E-05
         2  25  1.333088E-01  1.437597E-03  5.896613E-04 -2.993790E-03 -9.208689E-02 -3.776346E-04
         2  26  1.790116E-01  9.426238E-04  3.858560E-04 -2.391173E-03 -8.971643E-02 -1.965907E-04
         2  27  2.247845E-01  6.113153E-04  2.521927E-04 -1.788555E-03 -9.222049E-02 -4.360367E-05
         3   1 -2.512400E-01 -3.645949E-04 -1.034379E-04 -1.684274E-03 -9.229967E-02 -3.329609E-06
         3   2 -2.969510E-01 -7.302581E-05  3.571938E-05 -1.609567E-03 -8.986567E-02 -1.564814E-05
         3   3 -3.427165E-01  9.120503E-05  1.203031E-04 -1.534860E-03 -9.229851E-02 -6.137246E-06
         3   4  5.556464E-15 -1.011331E-14 -1.879899E-14  2.065266E-14 -1.018892E-01 -3.329609E-06
         3   5  1.571891E-14 -8.840786E-15 -1.465699E-14  1.773673E-14 -9.945520E-02 -1.564814E-05
         3   6  2.012602E-14 -9.116137E-15 -1.866484E-14  1.632333E-14 -1.018880E-01 -6.137246E-06
         3   7  2.512400E-01  3.645949E-04  1.034379E-04  1.684274E-03 -9.229967E-02 -3.329609E-06
         3   8  2.969510E-01  7.302581E-05 -3.571938E-05  1.609567E-03 -8.986567E-02 -1.564814E-05
         3   9  3.427165E-01 -9.120503E-05 -1.203031E-04  1.534860E-03 -9.229851E-02 -6.137246E-06
         3  10 -2.512567E-01 -3.717247E-04 -1.105677E-04  2.484986E-13 -8.580263E-02  1.295810E-15
         3  11 -2.969676E-01 -8.015560E-05  2.858959E-05  2.498526E-13 -8.336994E-02  1.652675E-15
         3  12 -3.427332E-01  8.407524E-05  1.131733E-04  2.510066E-13 -8.580409E-02  1.287081E-15
         3  13  1.131437E-14 -8.262990E-15 -6.199662E-15  2.990388E-15 -9.539217E-02  7.748450E-15
         3  14  2.380654E-14 -4.382250E-15 -1.643544E-15  3.006547E-15 -9.295947E-02  6.734617E-15
         3  15  3.441491E-14  1.853168E-15  3.765346E-15  3.577281E-15 -9.539362E-02  9.207033E-15
         3  16  2.512567E-01  3.717247E-04  1.105677E-04 -2.611340E-13 -8.580263E-02  1.223642E-15
         3  17  2.969676E-01  8.015560E-05 -2.858959E-05 -2.642954E-13 -8.336994E-02 -1.293460E-15
         3  18  3.427332E-01 -8.407524E-05 -1.131733E-04 -2.656073E-13 -8.580409E-02 -3.516208E-15
         3  19 -2.512400E-01 -3.645949E-04 -1.034379E-04  1.684274E-03 -9.229967E-02  3.329609E-06
         3  20 -2.969510E-01 -7.302581E-05  3.571938E-05  1.609567E-03 -8.986567E-02  1.564814E-05
         3  21 -3.427165E-01  9.120503E-05  1.203031E-04  1.534860E-03 -9.229851E-02  6.137246E-06
         3  22 -6.686424E-16 -1.652007E-14 -9.425660E-15 -1.376394E-14 -1.018892E-01  3.329609E-06
         3  23  2.786093E-14 -3.405356E-15  3.779135E-15 -1.056023E-14 -9.945520E-02  1.564814E-05
         3  24  4.384746E-14  7.397440E-15  1.306107E-14 -9.197296E-15 -1.018880E-01  6.137246E-06
         3  25  2.512400E-01  3.645949E-04  1.034379E-04 -1.684274E-03 -9.229967E-02  3.329609E-06
         3  26  2.969510E-01  7.302581E-05 -3.571938E-05 -1.609567E-03 -8.986567E-02  1.564814E-05
         3  27  3.427165E-01 -9.120503E-05 -1.203031E-04 -1.534860E-03 -9.229851E-02  6.137246E-06
         4   1 -3.700087E-01 -1.245693E-04 -1.106741E-04 -1.541634E-03 -9.227507E-02 -3.751607E-07
         4   2 -4.157437E-01  9.177487E-06  9.525419E-06 -1.541767E-03 -8.984182E-02 -2.369701E-06
         4   3 -4.614856E-01  1.266051E-04  1.227310E-04 -1.541900E-03 -9.227233E-02 -1.566670E-06
         4   4  4.974382E-14  5.876435E-15 -6.082170E-15  1.437351E-14 -1.018894E-01 -3.751607E-07
         4   5  4.358984E-14  9.396062E-15 -4.026445E-15  7.556820E-15 -9.945614E-02 -2.369701E-06
         4   6  3.879506E-14  1.093328E-14 -2.010364E-16  3.269034E-15 -1.018866E-01 -1.566670E-06
         4   7  3.700087E-01  1.245693E-04  1.106741E-04  1.541634E-03 -9.227507E-02 -3.751607E-07
         4   8  4.157437E-01 -9.177487E-06 -9.525419E-06  1.541767E-03 -8.984182E-02 -2.369701E-06
         4   9  4.614856E-01 -1.266051E-04 -1.227310E-04  1.541900E-03 -9.227233E-02 -1.566670E-06
         4  10 -3.700478E-01 -1.413074E-04 -1.274122E-04  2.502985E-13 -8.580706E-02  1.432917E-17
         4  11 -4.157827E-01 -7.560571E-06 -7.212639E-06  2.499871E-13 -8.337689E-02 -6.679849E-15
         4  12 -4.615246E-01  1.098671E-04  1.059930E-04  2.522251E-13 -8.581048E-02 -8.400698E-15
         4  13  8.205759E-15 -8.583786E-15 -1.149753E-14  4.170640E-15 -9.542138E-02  4.477933E-15
         4  14  1.814950E-14 -1.618685E-15 -4.290354E-15  2.069826E-15 -9.299121E-02 -4.422827E-15
         4  15  1.710048E-14 -3.519102E-15 -5.886695E-15  4.226009E-16 -9.542480E-02 -2.451995E-15
         4  16  3.700478E-01  1.413074E-04  1.274122E-04 -2.645144E-13 -8.580706E-02 -5.972160E-15
         4  17  4.157827E-01  7.560571E-06  7.212639E-06 -2.636434E-13 -8.337689E-02 -7.905587E-15
         4  18  4.615246E-01 -1.098671E-04 -1.059930E-04 -2.625359E-13 -8.581048E-02 -1.013716E-14
         4  19 -3.700087E-01 -1.245693E-04 -1.106741E-04  1.541634E-03 -9.227507E-02  3.751607E-07
         4  20 -4.157437E-01  9.177487E-06  9.525419E-06  1.541767E-03 -8.984182E-02  2.369701E-06
         4  21 -4.614856E-01  1.266051E-04  1.227310E-04  1.541900E-03 -9.227233E-02  1.566670E-06
         4  22  1.386548E-14 -3.769909E-15  1.826409E-16 -8.605215E-15 -1.018894E-01  3.751607E-07
         4  23  2.964642E-14  1.308099E-15  5.017310E-15 -4.976541E-15 -9.945614E-02  2.369701E-06
         4  24  4.595597E-14  5.202221E-15  1.516958E-14 -3.730703E-15 -1.018866E-01  1.566670E-06
         4  25  3.700087E-01  1.245693E-04  1.106741E-04 -1.541634E-03 -9.227507E-02  3.751607E-07
         4  26  4.157437E-01 -9.177487E-06 -9.525419E-06 -1.541767E-03 -8.984182E-02  2.369701E-06
         4  27  4.614856E-01 -1.266051E-04 -1.227310E-04 -1.541900E-03 -9.227233E-02  1.566670E-06
         5   1 -4.888116E-01 -1.111383E-04 -1.141040E-04 -1.545888E-03 -9.227043E-02 -6.897779E-07
         5   2 -5.345502E-01  2.698053E-06  8.486681E-07 -1.547577E-03 -8.983858E-02 -3.475575E-07
         5   3 -5.802885E-01  1.170978E-04  1.160429E-04 -1.549266E-03 -9.227007E-02 -1.019346E-07
         5   4  4.367392E-14  9.227381E-15 -1.205793E-15 -5.781620E-17 -1.018860E-01 -6.897779E-07
         5   5  5.552292E-14  4.583542E-15  2.442468E-16 -4.280454E-15 -9.945416E-02 -3.475575E-07
         5   6  8.524833E-14  1.638370E-14  3.297989E-14 -8.376555E-15 -1.018857E-01 -1.019346E-07
         5   7  4.888116E-01  1.111383E-04  1.141040E-04  1.545888E-03 -9.227043E-02 -6.897779E-07
         5   8  5.345502E-01 -2.698053E-06 -8.486681E-07  1.547577E-03 -8.983858E-02 -3.475575E-07
         5   9  5.802885E-01 -1.170978E-04 -1.160429E-04  1.549266E-03 -9.227007E-02 -1.019346E-07
         5  10 -4.888167E-01 -1.133215E-04 -1.162873E-04  2.716033E-13 -8.581138E-02 -1.009586E-14
         5  11 -5.345553E-01  5.147700E-07 -1.334615E-06  2.707424E-13 -8.337993E-02 -5.486972E-15
         5  12 -5.802936E-01  1.149146E-04  1.138596E-04  2.708491E-13 -8.581183E-02 -3.156711E-15
         5  13  5.730895E-14  9.663135E-15  5.861472E-15 -6.234717E-15 -9.542697E-02 -4.528746E-15
         5  14  5.121615E-14  3.724298E-16 -5.157148E-15 -7.399639E-15 -9.299552E-02 -5.232760E-15
         5  15  5.378149E-14  3.256780E-15  9.996405E-15 -1.033099E-14 -9.542742E-02  2.144031E-15
